"","easy.time","easy.time2","batvalue","latitude","longitude"
"58",2018-02-15 12:09:30,"2018-02-15 12:09:31",84,40.4435764558485,-79.944914973497
"59",2018-02-15 12:12:31,"2018-02-15 12:12:31",86,40.4435781961655,-79.944917163109
"60",2018-02-15 12:15:31,"2018-02-15 12:15:31",88,40.4435898250865,-79.9449365973063
"61",2018-02-15 12:15:31,"2018-02-15 12:15:31",88,40.4435898250865,-79.9449365973063
"62",2018-02-15 12:18:31,"2018-02-15 12:18:31",89,40.443576625116,-79.944911911024
"63",2018-02-15 12:21:31,"2018-02-15 12:21:31",90,40.443576918273,-79.9449143364005
"64",2018-02-15 12:24:30,"2018-02-15 12:24:31",91,40.4435767311985,-79.9449142567055
"65",2018-02-15 12:27:31,"2018-02-15 12:27:31",92,40.4435767312015,-79.9449142567065
"66",2018-02-15 12:30:31,"2018-02-15 12:30:31",93,40.4435898781325,-79.944937770155
"67",2018-02-15 12:30:31,"2018-02-15 12:30:31",93,40.4435898781325,-79.944937770155
"68",2018-02-15 12:33:31,"2018-02-15 12:33:31",94,40.4435771099695,-79.9449107291655
"69",2018-02-15 12:36:30,"2018-02-15 12:36:31",95,40.443576935513,-79.944909728255
"70",2018-02-15 12:39:30,"2018-02-15 12:39:31",95,40.443573999905,-79.944902539457
"71",2018-02-15 12:42:31,"2018-02-15 12:42:31",96,40.4435764060355,-79.944910701057
"72",2018-02-15 12:45:31,"2018-02-15 12:45:31",97,40.443589715548,-79.9449359923117
"73",2018-02-15 12:45:31,"2018-02-15 12:45:31",97,40.443589715548,-79.9449359923117
"74",2018-02-15 12:48:31,"2018-02-15 12:48:31",97,40.443576406035,-79.9449107010215
"75",2018-02-15 12:51:30,"2018-02-15 12:51:31",98,40.4435747345845,-79.944912037371
"76",2018-02-15 12:54:31,"2018-02-15 12:54:31",98,40.4435841016175,-79.9449165945395
"77",2018-02-15 12:57:31,"2018-02-15 12:57:31",98,40.443575285884,-79.944907293902
"78",2018-02-15 13:00:31,"2018-02-15 13:00:31",98,40.4435892628153,-79.9449349436375
"79",2018-02-15 13:00:31,"2018-02-15 13:00:31",98,40.4435892628153,-79.9449349436375
"80",2018-02-15 13:03:31,"2018-02-15 13:03:31",98,40.443575500564,-79.944908602546
"81",2018-02-15 13:06:31,"2018-02-15 13:06:31",99,40.443575500564,-79.9449086025545
"82",2018-02-15 13:09:31,"2018-02-15 13:09:31",99,40.4435745850735,-79.9449087184655
"83",2018-02-15 13:12:31,"2018-02-15 13:12:31",99,40.4435725290085,-79.944876707409
"84",2018-02-15 13:15:31,"2018-02-15 13:15:31",99,40.4435908264842,-79.9449274521904
"85",2018-02-15 19:15:21,"2018-02-15 19:15:21",47,40.441754525267,-79.919865653258
"86",2018-02-15 19:18:20,"2018-02-15 19:18:21",47,40.4417175356775,-79.919966560377
"87",2018-02-15 19:21:21,"2018-02-15 19:21:21",47,40.441704342011,-79.919996950301
"88",2018-02-15 19:24:21,"2018-02-15 19:24:21",47,40.441712361991,-79.9200144736425
"89",2018-02-15 19:27:21,"2018-02-15 19:27:21",47,40.441697269834,-79.919979707354
"90",2018-02-15 19:30:21,"2018-02-15 19:30:21",47,40.441678631108,-79.9199309194305
"91",2018-02-15 19:33:21,"2018-02-15 19:33:21",47,40.4416786260855,-79.919930944485
"92",2018-02-15 19:36:21,"2018-02-15 19:36:21",47,40.441678626086,-79.9199309444825
"93",2018-02-15 19:39:21,"2018-02-15 19:39:21",47,40.441688525327,-79.9199664740085
"94",2018-02-15 19:42:20,"2018-02-15 19:42:21",47,40.441724515169,-79.9200034776845
"95",2018-02-15 19:45:21,"2018-02-15 19:45:21",47,40.441695180265,-79.919943112358
"96",2018-02-15 19:48:21,"2018-02-15 19:48:21",47,40.4417094703905,-79.9199638654875
"97",2018-02-16 01:09:57,"2018-02-16 01:09:57",10,40.44167248446,-79.920118773096
"98",2018-02-16 01:13:34,"2018-02-16 01:13:35",10,40.441637380896,-79.920211830896
"99",2018-02-16 01:19:34,"2018-02-16 01:19:35",8,40.4416744785365,-79.920055035414
"100",2018-02-16 01:22:34,"2018-02-16 01:22:35",8,40.44161594502,-79.91998696508
"101",2018-02-16 01:25:34,"2018-02-16 01:25:35",7,40.441697082905,-79.9200329489225
"102",2018-02-16 01:28:34,"2018-02-16 01:28:35",7,40.4416961925992,-79.9200610245302
"103",2018-02-16 01:31:34,"2018-02-16 01:31:35",7,40.4416931604715,-79.920056557714
"104",2018-02-16 01:37:34,"2018-02-16 01:37:35",11,40.4416687695695,-79.9200039172165
"105",2018-02-16 01:40:34,"2018-02-16 01:40:35",13.5,40.4416687695635,-79.920003917216
"106",2018-02-16 01:40:35,"2018-02-16 01:40:35",13.5,40.4416687695635,-79.920003917216
"107",2018-02-16 01:43:34,"2018-02-16 01:43:35",16,40.441668769563,-79.920003917217
"108",2018-02-16 01:46:34,"2018-02-16 01:46:35",19,40.441668769563,-79.920003917218
"109",2018-02-16 01:49:34,"2018-02-16 01:49:35",22,40.4416687695625,-79.9200039172185
"110",2018-02-16 01:52:34,"2018-02-16 01:52:35",24,40.441594426652,-79.9200120342925
"111",2018-02-16 01:55:34,"2018-02-16 01:55:35",26,40.441608826947,-79.9200603574383
"112",2018-02-16 01:58:34,"2018-02-16 01:58:35",29,40.4415670355615,-79.9200038956935
"113",2018-02-16 02:00:07,"2018-02-16 02:00:08",30,40.44144171642,-79.919834526899
"114",2018-02-16 02:03:07,"2018-02-16 02:03:08",31,40.44144171642,-79.919834526899
"115",2018-02-16 02:06:07,"2018-02-16 02:06:08",33,40.441441713549,-79.919834526041
"116",2018-02-16 02:09:07,"2018-02-16 02:09:08",35,40.441538192373,-79.919840932545
"117",2018-02-16 02:22:59,"2018-02-16 02:22:59",47,40.4414708361795,-79.9198128079935
"118",2018-02-16 02:43:59,"2018-02-16 02:43:59",63,40.441470821852,-79.919812821758
"119",2018-02-16 08:46:58,"2018-02-16 08:46:59",87,40.438373540566,-79.919374859966
"120",2018-02-16 09:00:17,"2018-02-16 09:00:18",83,40.444158888415,-79.942818611253
"121",2018-02-16 09:03:18,"2018-02-16 09:03:18",81,40.444573121625,-79.945399765166
"122",2018-02-16 09:03:57,"2018-02-16 09:03:58",81,40.4441506369195,-79.9445135432425
"123",2018-02-16 09:04:10,"2018-02-16 09:04:10",80,40.4441465111718,-79.9453610092372
"124",2018-02-16 09:07:10,"2018-02-16 09:07:10",80,40.444067550571,-79.9461421540535
"125",2018-02-16 09:10:10,"2018-02-16 09:10:10",80,40.444067550571,-79.9461421540535
"126",2018-02-16 09:13:10,"2018-02-16 09:13:10",80,40.4440675505685,-79.946142154052
"127",2018-02-16 09:16:10,"2018-02-16 09:16:10",80,40.4440675505685,-79.946142154052
"128",2018-02-16 09:19:10,"2018-02-16 09:19:10",79,40.444032022827,-79.94609935485
"129",2018-02-16 09:22:10,"2018-02-16 09:22:10",78,40.444062757171,-79.94612732793
"130",2018-02-16 09:25:10,"2018-02-16 09:25:10",78,40.4440386974655,-79.946112497188
"131",2018-02-16 09:28:10,"2018-02-16 09:28:10",77,40.4440499020795,-79.9461086474655
"132",2018-02-16 09:31:10,"2018-02-16 09:31:10",77,40.4440143305965,-79.946103210973
