"","easy.time","easy.time2","batvalue","latitude","longitude"
"60",2018-02-15 11:57:31,"2018-02-15 11:57:31",79,40.4435723587595,-79.944906194275
"61",2018-02-15 11:57:31,"2018-02-15 11:57:31",79,40.4435723587595,-79.944906194275
"62",NA,"2018-02-15 12:00:31",80,40.4435906777163,-79.944937938764
"63",2018-02-15 12:03:31,"2018-02-15 12:03:31",82,40.443578656476,-79.9449150526235
"64",2018-02-15 12:06:31,"2018-02-15 12:06:31",84,40.4435775880605,-79.944912763047
"65",NA,"2018-02-15 12:09:31",84.5,40.4435764558485,-79.944914973497
"66",2018-02-15 12:12:31,"2018-02-15 12:12:31",86,40.4435781961655,-79.944917163109
"67",2018-02-15 12:15:31,"2018-02-15 12:15:31",88,40.4435898250865,-79.9449365973063
"68",2018-02-15 12:15:31,"2018-02-15 12:15:31",88,40.4435898250865,-79.9449365973063
"69",2018-02-15 12:18:31,"2018-02-15 12:18:31",89,40.443576625116,-79.944911911024
"70",2018-02-15 12:21:31,"2018-02-15 12:21:31",90,40.443576918273,-79.9449143364005
"71",2018-02-15 12:24:30,"2018-02-15 12:24:30",91,40.443550437336,-79.944867229809
"72",NA,"2018-02-15 12:24:31",91.25,40.443603025061,-79.944961283602
"73",2018-02-15 12:27:31,"2018-02-15 12:27:31",92,40.4435767312015,-79.9449142567065
"74",2018-02-15 12:30:31,"2018-02-15 12:30:31",93,40.4435898781325,-79.944937770155
"75",2018-02-15 12:30:31,"2018-02-15 12:30:31",93,40.4435898781325,-79.944937770155
"76",2018-02-15 12:33:31,"2018-02-15 12:33:31",94,40.4435771099695,-79.9449107291655
"77",NA,"2018-02-15 12:36:31",94.5714285714286,40.443576935513,-79.944909728255
"78",NA,"2018-02-15 12:39:31",95.1964285714286,40.443573999905,-79.944902539457
"79",2018-02-15 12:42:31,"2018-02-15 12:42:31",96,40.4435764060355,-79.944910701057
"80",2018-02-15 12:45:31,"2018-02-15 12:45:31",97,40.443589715548,-79.9449359923117
"81",2018-02-15 12:45:31,"2018-02-15 12:45:31",97,40.443589715548,-79.9449359923117
"82",2018-02-15 12:48:31,"2018-02-15 12:48:31",97,40.443576406035,-79.9449107010215
"83",NA,"2018-02-15 12:51:31",97.375,40.4435747345845,-79.944912037371
"84",2018-02-15 12:54:31,"2018-02-15 12:54:31",98,40.4435841016175,-79.9449165945395
"85",2018-02-15 12:57:31,"2018-02-15 12:57:31",98,40.443575285884,-79.944907293902
"86",2018-02-15 13:00:31,"2018-02-15 13:00:31",98,40.4435892628153,-79.9449349436375
"87",2018-02-15 13:00:31,"2018-02-15 13:00:31",98,40.4435892628153,-79.9449349436375
"88",2018-02-15 13:03:31,"2018-02-15 13:03:31",98,40.443575500564,-79.944908602546
"89",2018-02-15 13:06:31,"2018-02-15 13:06:31",99,40.443575500564,-79.9449086025545
"90",2018-02-15 13:09:31,"2018-02-15 13:09:31",99,40.4435745850735,-79.9449087184655
"91",2018-02-15 13:12:31,"2018-02-15 13:12:31",99,40.4435725290085,-79.944876707409
"92",2018-02-15 13:15:31,"2018-02-15 13:15:31",99,40.4435908264842,-79.9449274521904
"93",NA,"2018-02-15 13:18:31",99,40.4435786891905,-79.9449094845645
"94",NA,"2018-02-15 13:21:31",99,40.443578688769,-79.9449094840725
"95",NA,"2018-02-15 13:24:31",99,40.4435710661155,-79.944913857483
"96",NA,"2018-02-15 18:00:20",99,40.4443690339015,-79.9460953785445
"97",NA,"2018-02-15 18:01:02",99,40.4444143678273,-79.9460409692487
"98",NA,"2018-02-15 18:01:08",99,40.444511058551,-79.945913309603
"99",NA,"2018-02-15 18:02:48",99,40.444336883295,-79.94614470304
"100",NA,"2018-02-15 18:02:55",99,40.444304538192,-79.9461255000135
"101",NA,"2018-02-15 18:03:05",99,40.444485272398,-79.94596286779
"102",NA,"2018-02-15 18:03:06",99,40.444358674116,-79.9461094567925
"103",NA,"2018-02-15 18:03:13",99,40.444481577852,-79.9459984667895
"104",NA,"2018-02-15 18:05:38",99,40.44459407806,-79.944595866213
"105",NA,"2018-02-15 18:06:08",99,40.444617397279,-79.943996453795
"106",NA,"2018-02-15 18:06:21",99,40.444630558407,-79.943921530945
"107",NA,"2018-02-15 18:06:58",99,40.444205730001,-79.942877929361
"108",NA,"2018-02-15 18:08:25",99,40.44369657256,-79.941223670594
"109",NA,"2018-02-15 18:08:33",99,40.443716581418,-79.939989355627
"110",NA,"2018-02-15 18:09:21",99,40.4437710286345,-79.939451386257
"111",NA,"2018-02-15 18:10:06",99,40.443885102225,-79.938759493314
"112",NA,"2018-02-15 18:11:02",99,40.443033490482,-79.93818727865
"113",NA,"2018-02-15 18:12:21",99,40.4427558386985,-79.937889402361
"114",NA,"2018-02-15 18:12:41",99,40.442326987855,-79.937370899608
"115",NA,"2018-02-15 18:13:19",99,40.441648218538,-79.93657854698
"116",NA,"2018-02-15 18:14:33",99,40.440751753997,-79.935689168069
"117",NA,"2018-02-15 18:15:21",99,40.4404808795565,-79.9355069962135
"118",NA,"2018-02-15 18:15:26",99,40.439838068034,-79.935004662063
"119",NA,"2018-02-15 18:17:39",99,40.439381591758,-79.933361439105
"120",NA,"2018-02-15 18:18:21",99,40.43940145189,-79.933266814245
"121",NA,"2018-02-15 18:19:08",99,40.440021366324,-79.931006536745
"122",NA,"2018-02-15 18:21:21",99,40.440085637387,-79.930559239693
"123",NA,"2018-02-15 18:22:04",88.6,40.441192176258,-79.927690344671
"124",NA,"2018-02-15 18:23:54",86.52,40.441247855098,-79.925946456856
"125",NA,"2018-02-15 18:24:21",77.8533333333333,40.441258127719,-79.925624713464
"126",NA,"2018-02-15 18:24:33",70.4247619047619,40.441362305809,-79.924228040723
"127",2018-02-15 19:15:21,"2018-02-15 19:15:21",47,40.441754525267,-79.919865653258
"128",NA,"2018-02-15 19:18:21",58.7247619047619,40.4417175356775,-79.919966560377
"129",2018-02-15 19:21:21,"2018-02-15 19:21:21",47,40.441704342011,-79.919996950301
"130",2018-02-15 19:24:21,"2018-02-15 19:24:21",47,40.441712361991,-79.9200144736425
"131",2018-02-15 19:27:21,"2018-02-15 19:27:21",47,40.441697269834,-79.919979707354
"132",2018-02-15 19:30:21,"2018-02-15 19:30:21",47,40.441678631108,-79.9199309194305
"133",2018-02-15 19:33:21,"2018-02-15 19:33:21",47,40.4416786260855,-79.919930944485
"134",2018-02-15 19:36:21,"2018-02-15 19:36:21",47,40.441678626086,-79.9199309444825
"135",2018-02-15 19:39:21,"2018-02-15 19:39:21",47,40.441688525327,-79.9199664740085
"136",NA,"2018-02-15 19:42:21",37.75,40.441724515169,-79.9200034776845
"137",2018-02-15 19:45:21,"2018-02-15 19:45:21",47,40.441695180265,-79.919943112358
"138",2018-02-15 19:48:21,"2018-02-15 19:48:21",47,40.4417094703905,-79.9199638654875
"139",2018-02-16 01:09:57,"2018-02-16 01:09:57",10,40.4417135048635,-79.919992213177
"140",2018-02-16 01:10:34,"2018-02-16 01:10:34",10,40.4416929948675,-79.920055508361
"141",NA,"2018-02-16 01:10:57",18.75,40.4416824204085,-79.920146079766
"142",2018-02-16 01:13:34,"2018-02-16 01:13:34",10,40.441637380896,-79.920211830896
"143",2018-02-16 01:16:34,"2018-02-16 01:16:34",10,40.4417267300475,-79.920027529942
"144",2018-02-16 01:19:34,"2018-02-16 01:19:34",8,40.4416744785365,-79.920055035414
"145",2018-02-16 01:22:34,"2018-02-16 01:22:34",8,40.44161594502,-79.91998696508
"146",2018-02-16 01:25:34,"2018-02-16 01:25:34",7,40.441697082905,-79.9200329489225
"147",2018-02-16 01:28:34,"2018-02-16 01:28:34",7,40.4416961925992,-79.9200610245302
"148",2018-02-16 01:31:34,"2018-02-16 01:31:34",7,40.4416931604715,-79.920056557714
"149",2018-02-16 01:34:34,"2018-02-16 01:34:34",8,40.4415961217395,-79.920023261052
"150",2018-02-16 01:37:34,"2018-02-16 01:37:34",11,40.4416687695695,-79.9200039172165
"151",2018-02-16 01:40:34,"2018-02-16 01:40:34",13,40.4416687695635,-79.920003917216
"152",2018-02-16 01:43:34,"2018-02-16 01:43:34",16,40.441668769563,-79.920003917217
