"","id","time","lat","long","bearing","speed","altitude","provider","accuracy","easy.time","day","hour","minute","second"
"39",39,1518708152861,40.44425306649,-79.946238962481,-1,-1,274.22924804688,"fused",37,2018-02-15 10:22:32,15,10,22,32.8610000610352
"40",40,1518709004625,40.443819221811,-79.944940636008,-1,-1,282.85885620117,"gps",85,2018-02-15 10:36:44,15,10,36,44.625
"41",41,1518709004926,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:36:44,15,10,36,44.9260001182556
"42",42,1518709064401,40.443819221811,-79.944940636008,-1,-1,282.85885620117,"gps",85,2018-02-15 10:37:44,15,10,37,44.4010000228882
"43",43,1518709064761,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:37:44,15,10,37,44.760999917984
"44",44,1518709064789,40.443819221801,-79.944940635977,-1,-1,282.85885620117,"fused",37,2018-02-15 10:37:44,15,10,37,44.7890000343323
"45",45,1518709087987,40.443819221811,-79.944940636008,-1,-1,282.85885620117,"gps",85,2018-02-15 10:38:07,15,10,38,7.98699998855591
"46",46,1518709088327,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:38:08,15,10,38,8.32699990272522
"47",47,1518706030913,40.444215287866,-79.946180638746,-1,-1,275.91952514648,"gps",42,2018-02-15 09:47:10,15,9,47,10.9130001068115
"48",48,1518706030915,40.444215287866,-79.946180638746,-1,-1,275.91952514648,"gps",42,2018-02-15 09:47:10,15,9,47,10.914999961853
"49",49,1518706031456,40.444215287866,-79.946180638746,-1,-1,275.91952514648,"fused",42,2018-02-15 09:47:11,15,9,47,11.4560000896454
"50",50,1518706031459,40.444215287866,-79.946180638746,-1,-1,275.91952514648,"fused",42,2018-02-15 09:47:11,15,9,47,11.4590001106262
"51",51,1518706031483,40.444215287815,-79.946180635493,-1,-1,275.91952514648,"fused",681,2018-02-15 09:47:11,15,9,47,11.4830000400543
"52",52,1518706031828,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 09:47:11,15,9,47,11.8280000686646
"53",53,1518706210913,40.444257233624,-79.946244535632,-1,-1,276.06066894531,"gps",37,2018-02-15 09:50:10,15,9,50,10.9130001068115
"54",54,1518706210971,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 09:50:10,15,9,50,10.970999956131
"55",55,1518706228513,40.444257233968,-79.946244535702,-1,-1,276.10800170898,"gps",37,2018-02-15 09:50:28,15,9,50,28.5130000114441
"56",56,1518706228821,40.444257233968,-79.946244535702,-1,-1,276.10800170898,"fused",37,2018-02-15 09:50:28,15,9,50,28.8210000991821
"57",57,1518706228965,40.444257233968,-79.946244535702,-1,-1,276.10800170898,"fused",37,2018-02-15 09:50:28,15,9,50,28.9649999141693
"58",58,1518706269066,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"gps",37,2018-02-15 09:51:09,15,9,51,9.06599998474121
"59",59,1518706269068,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"gps",37,2018-02-15 09:51:09,15,9,51,9.06800007820129
"60",60,1518706269416,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 09:51:09,15,9,51,9.41599988937378
"61",61,1518706269458,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 09:51:09,15,9,51,9.45799994468689
"62",62,1518706449066,40.444292195466,-79.946254162861,-1,-1,275.54895019531,"gps",37,2018-02-15 09:54:09,15,9,54,9.06599998474121
"63",63,1518706449095,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 09:54:09,15,9,54,9.09500002861023
"64",64,1518706629062,40.444266330731,-79.946284748139,-1,-1,275.07913208008,"gps",37,2018-02-15 09:57:09,15,9,57,9.06200003623962
"65",65,1518706629090,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 09:57:09,15,9,57,9.08999991416931
"66",66,1518706809058,40.444281829412,-79.946294894487,-1,-1,274.56024169922,"gps",37,2018-02-15 10:00:09,15,10,0,9.05800008773804
"67",67,1518706809086,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 10:00:09,15,10,0,9.08599996566772
"68",68,1518706989131,40.444217789552,-79.946259092467,-1,-1,274.68090820312,"gps",37,2018-02-15 10:03:09,15,10,3,9.13100004196167
"69",69,1518706989140,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 10:03:09,15,10,3,9.14000010490417
"70",70,1518707169063,40.444217702932,-79.946259093815,-1,-1,274.30648803711,"gps",37,2018-02-15 10:06:09,15,10,6,9.06299996376038
"71",71,1518707169183,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 10:06:09,15,10,6,9.18300008773804
"72",72,1518707349084,40.444217702934,-79.946259093815,-1,-1,274.23944091797,"gps",37,2018-02-15 10:09:09,15,10,9,9.08400011062622
"73",73,1518707349092,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 10:09:09,15,10,9,9.09200000762939
"74",74,1518707529056,40.444217702936,-79.946259093815,-1,-1,274.21133422852,"gps",37,2018-02-15 10:12:09,15,10,12,9.05599999427795
"75",75,1518707529171,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 10:12:09,15,10,12,9.1710000038147
"76",76,1518707709087,40.444217702952,-79.946259093815,-1,-1,274.19592285156,"gps",37,2018-02-15 10:15:09,15,10,15,9.08699989318848
"77",77,1518707709096,40.444254761934,-79.946241837761,-1,-1,276.13534545898,"fused",37,2018-02-15 10:15:09,15,10,15,9.09599995613098
"78",78,1518707792774,40.444253066472,-79.946238962491,-1,-1,274.22924804688,"gps",37,2018-02-15 10:16:32,15,10,16,32.7739999294281
"79",79,1518707792776,40.444253066472,-79.946238962491,-1,-1,274.22924804688,"gps",37,2018-02-15 10:16:32,15,10,16,32.7760000228882
"80",80,1518707793173,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:16:33,15,10,16,33.1730000972748
"81",81,1518707793189,40.44425306649,-79.946238962481,-1,-1,274.22924804688,"fused",37,2018-02-15 10:16:33,15,10,16,33.1889998912811
"82",82,1518707972772,40.44425306651,-79.94623896247,-1,-1,274.22924804688,"gps",37,2018-02-15 10:19:32,15,10,19,32.7720000743866
"83",83,1518707972812,40.44425306649,-79.946238962481,-1,-1,274.22924804688,"fused",37,2018-02-15 10:19:32,15,10,19,32.8120000362396
"84",84,1518708152851,40.444180050278,-79.946241545095,-1,-1,274.51934814453,"gps",37,2018-02-15 10:22:32,15,10,22,32.8510000705719
"85",85,1518708152861,40.44425306649,-79.946238962481,-1,-1,274.22924804688,"fused",37,2018-02-15 10:22:32,15,10,22,32.8610000610352
"86",86,1518709004625,40.443819221811,-79.944940636008,-1,-1,282.85885620117,"gps",85,2018-02-15 10:36:44,15,10,36,44.625
"87",87,1518709004926,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:36:44,15,10,36,44.9260001182556
"88",88,1518709064401,40.443819221811,-79.944940636008,-1,-1,282.85885620117,"gps",85,2018-02-15 10:37:44,15,10,37,44.4010000228882
"89",89,1518709064761,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:37:44,15,10,37,44.760999917984
"90",90,1518709064789,40.443819221801,-79.944940635977,-1,-1,282.85885620117,"fused",37,2018-02-15 10:37:44,15,10,37,44.7890000343323
"91",91,1518709087987,40.443819221811,-79.944940636008,-1,-1,282.85885620117,"gps",85,2018-02-15 10:38:07,15,10,38,7.98699998855591
"92",92,1518709088327,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:38:08,15,10,38,8.32699990272522
"93",93,1518709088327,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:38:08,15,10,38,8.32699990272522
"94",94,1518709088333,40.443819221801,-79.944940635977,-1,-1,282.85885620117,"fused",37,2018-02-15 10:38:08,15,10,38,8.33299994468689
"95",95,1518709173199,40.443819221812,-79.944940636011,-1,-1,282.85885620117,"fused",712,2018-02-15 10:39:33,15,10,39,33.1989998817444
"96",96,1518709267986,40.443819221812,-79.944940636011,-1,-1,282.85885620117,"gps",712,2018-02-15 10:41:07,15,10,41,7.98600006103516
"97",97,1518709268009,40.443819221812,-79.944940636011,-1,-1,282.85885620117,"fused",712,2018-02-15 10:41:08,15,10,41,8.0090000629425
"98",98,1518709306427,40.443617306998,-79.944999593151,-1,-1,283.39041137695,"fused",37,2018-02-15 10:41:46,15,10,41,46.4270000457764
"99",99,1518709447971,40.443666842731,-79.945226172367,-1,-1,283.95202636719,"gps",37,2018-02-15 10:44:07,15,10,44,7.97099995613098
"100",100,1518709447993,40.443617306998,-79.944999593151,-1,-1,283.39041137695,"fused",37,2018-02-15 10:44:07,15,10,44,7.99300003051758
"101",101,1518709499418,40.443603025598,-79.944961285643,-1,-1,284.5966796875,"gps",37,2018-02-15 10:44:59,15,10,44,59.4179999828339
"102",102,1518709499651,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:44:59,15,10,44,59.6510000228882
"103",103,1518709499665,40.443603025598,-79.944961285643,-1,-1,284.5966796875,"fused",37,2018-02-15 10:44:59,15,10,44,59.664999961853
"104",104,1518709504840,40.443603025598,-79.944961285643,-1,-1,284.5966796875,"gps",37,2018-02-15 10:45:04,15,10,45,4.83999991416931
"105",105,1518709505102,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:45:05,15,10,45,5.10199999809265
"106",106,1518709505123,40.443603025598,-79.944961285643,-1,-1,284.5966796875,"fused",37,2018-02-15 10:45:05,15,10,45,5.12299990653992
"107",107,1518709527379,40.443603025598,-79.944961285643,-1,-1,284.5966796875,"gps",37,2018-02-15 10:45:27,15,10,45,27.3789999485016
"108",108,1518709527636,40.444232075834,-79.946256045795,-1,-1,275.96188354492,"fused",37,2018-02-15 10:45:27,15,10,45,27.635999917984
"109",109,1518709531012,40.443610239564,-79.944974465273,-1,-1,284.71319580078,"gps",37,2018-02-15 10:45:31,15,10,45,31.0120000839233
"110",110,1518709531013,40.443610239564,-79.944974465273,-1,-1,284.71319580078,"gps",37,2018-02-15 10:45:31,15,10,45,31.0130000114441
"111",111,1518709531229,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 10:45:31,15,10,45,31.2290000915527
"112",112,1518709711076,40.443539006007,-79.944856915968,-1,-1,275.80661010742,"gps",37,2018-02-15 10:48:31,15,10,48,31.0759999752045
"113",113,1518709711087,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 10:48:31,15,10,48,31.0869998931885
"114",114,1518709891051,40.443539005942,-79.94485691586,-1,-1,275.80661010742,"gps",37,2018-02-15 10:51:31,15,10,51,31.0510001182556
"115",115,1518709891062,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 10:51:31,15,10,51,31.0620000362396
"116",116,1518710071009,40.443550623559,-79.944874503744,-1,-1,275.96087646484,"gps",37,2018-02-15 10:54:31,15,10,54,31.0090000629425
"117",117,1518710071114,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 10:54:31,15,10,54,31.114000082016
"118",118,1518710251052,40.443568500271,-79.94489575752,-1,-1,275.80206298828,"gps",37,2018-02-15 10:57:31,15,10,57,31.0520000457764
"119",119,1518710251064,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 10:57:31,15,10,57,31.0639998912811
"120",120,1518710431051,40.443550613539,-79.944872636326,-1,-1,275.66632080078,"gps",37,2018-02-15 11:00:31,15,11,0,31.0510001182556
"121",121,1518710431067,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:00:31,15,11,0,31.066999912262
"122",122,1518710431067,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:00:31,15,11,0,31.066999912262
"123",123,1518710431067,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:00:31,15,11,0,31.066999912262
"124",124,1518710431067,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:00:31,15,11,0,31.066999912262
"125",125,1518710611011,40.443558025801,-79.94487814385,-1,-1,276.28997802734,"gps",37,2018-02-15 11:03:31,15,11,3,31.010999917984
"126",126,1518710611027,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:03:31,15,11,3,31.0269999504089
"127",127,1518710611027,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:03:31,15,11,3,31.0269999504089
"128",128,1518710790993,40.44355732554,-79.944885684126,-1,-1,277.11944580078,"gps",37,2018-02-15 11:06:30,15,11,6,30.9930000305176
"129",129,1518710791058,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:06:31,15,11,6,31.058000087738
"130",130,1518710971003,40.443545980605,-79.944857305966,-1,-1,275.72088623047,"gps",37,2018-02-15 11:09:31,15,11,9,31.0030000209808
"131",131,1518710971058,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:09:31,15,11,9,31.058000087738
"132",132,1518711150985,40.44354585265,-79.944856985898,-1,-1,275.66528320312,"gps",37,2018-02-15 11:12:30,15,11,12,30.9849998950958
"133",133,1518711151062,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:12:31,15,11,12,31.0620000362396
"134",134,1518711331017,40.443551153891,-79.94486315406,-1,-1,275.54916381836,"gps",37,2018-02-15 11:15:31,15,11,15,31.0169999599457
"135",135,1518711331033,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:15:31,15,11,15,31.0329999923706
"136",136,1518711331033,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:15:31,15,11,15,31.0329999923706
"137",137,1518711331033,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:15:31,15,11,15,31.0329999923706
"138",138,1518711511074,40.443556673015,-79.944863601287,-1,-1,275.70986938477,"gps",37,2018-02-15 11:18:31,15,11,18,31.0739998817444
"139",139,1518711511084,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:18:31,15,11,18,31.0840001106262
"140",140,1518711691107,40.443556673018,-79.944863601287,-1,-1,275.71166992188,"gps",37,2018-02-15 11:21:31,15,11,21,31.1070001125336
"141",141,1518711691124,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:21:31,15,11,21,31.1240000724792
"142",142,1518711871073,40.443556673017,-79.944863601287,-1,-1,275.71176147461,"gps",37,2018-02-15 11:24:31,15,11,24,31.0729999542236
"143",143,1518711871088,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:24:31,15,11,24,31.0880000591278
"144",144,1518712051051,40.443556673016,-79.944863601287,-1,-1,275.71176147461,"gps",37,2018-02-15 11:27:31,15,11,27,31.0510001182556
"145",145,1518712051066,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:27:31,15,11,27,31.0659999847412
"146",146,1518712231051,40.443556673016,-79.944863601287,-1,-1,275.71176147461,"gps",37,2018-02-15 11:30:31,15,11,30,31.0510001182556
"147",147,1518712231068,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:30:31,15,11,30,31.0680000782013
"148",148,1518712231068,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:30:31,15,11,30,31.0680000782013
"149",149,1518712231068,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:30:31,15,11,30,31.0680000782013
"150",150,1518712410999,40.443542060162,-79.944851800468,-1,-1,276.36804199219,"gps",37,2018-02-15 11:33:30,15,11,33,30.9990000724792
"151",151,1518712411091,40.443603025061,-79.944961283602,-1,-1,284.5966796875,"fused",37,2018-02-15 11:33:31,15,11,33,31.0910000801086
"152",152,1518712591050,40.443541695638,-79.944851108683,-1,-1,276.1237487793,"gps",37,2018-02-15 11:36:31,15,11,36,31.0499999523163
