"","source","donor.continent","target","target.continent","time","value"
"41","Canada","North America","Afghanistan","Asia",1971,2.14
"56","Italy","Europe","Afghanistan","Asia",1971,0.01
"114","Austria","Europe","Afghanistan","Asia",1971,0.05
"153","Denmark","Europe","Afghanistan","Asia",1971,0.02
"395","United Kingdom","Europe","Afghanistan","Asia",1971,0.25
"458","Sweden","Europe","Afghanistan","Asia",1971,0.59
"635","Netherlands","Europe","Afghanistan","Asia",1971,0.02
"638","Japan","Asia","Afghanistan","Asia",1971,0.72
"907","Australia","Oceania","Afghanistan","Asia",1971,0.12
"913","Germany","Europe","Afghanistan","Asia",1971,12.02
"930","United States","North America","Afghanistan","Asia",1971,22
"972","Germany","Europe","Angola","Africa",1971,0.06
"1179","Switzerland","Europe","Angola","Africa",1971,0.02
"2237","Switzerland","Europe","Bangladesh","Asia",1971,3
"2850","Australia","Oceania","Bangladesh","Asia",1971,1.22
"2898","Netherlands","Europe","Bangladesh","Asia",1971,2.57
"3126","Norway","Europe","Bangladesh","Asia",1971,2.58
"3182","Switzerland","Europe","Benin","Africa",1971,0.26
"3304","Belgium","Europe","Benin","Africa",1971,0.14
"3417","France","Europe","Benin","Africa",1971,8.4
"3547","Denmark","Europe","Benin","Africa",1971,0.13
"3624","Canada","North America","Benin","Africa",1971,2.3
"3683","Netherlands","Europe","Benin","Africa",1971,0.08
"3710","United Kingdom","Europe","Benin","Africa",1971,0.07
"3720","Italy","Europe","Benin","Africa",1971,2.37
"3843","Germany","Europe","Benin","Africa",1971,6.05
"3888","United States","North America","Benin","Africa",1971,1
"4128","Germany","Europe","Bhutan","Asia",1971,0.01
"4143","Australia","Oceania","Bhutan","Asia",1971,0.07
"4275","Japan","Asia","Bhutan","Asia",1971,0.05
"4336","Switzerland","Europe","Bhutan","Asia",1971,0.01
"4534","Austria","Europe","Bolivia","South America",1971,0.06
"4549","Belgium","Europe","Bolivia","South America",1971,0.19
"4556","Italy","Europe","Bolivia","South America",1971,0.02
"4717","Germany","Europe","Bolivia","South America",1971,2.17
"4824","United Kingdom","Europe","Bolivia","South America",1971,0.32
"5045","Switzerland","Europe","Bolivia","South America",1971,0.19
"5079","Netherlands","Europe","Bolivia","South America",1971,0.11
"5182","France","Europe","Bolivia","South America",1971,0.2
"5210","Japan","Asia","Bolivia","South America",1971,0.58
"5352","United States","North America","Bolivia","South America",1971,20
"5401","United Kingdom","Europe","Burkina Faso","Africa",1971,0.01
"5494","Austria","Europe","Burkina Faso","Africa",1971,0.05
"5732","Belgium","Europe","Burkina Faso","Africa",1971,0.05
"5749","France","Europe","Burkina Faso","Africa",1971,10.3
"5783","Switzerland","Europe","Burkina Faso","Africa",1971,0.04
"5890","Canada","North America","Burkina Faso","Africa",1971,0.2
"5891","Germany","Europe","Burkina Faso","Africa",1971,1.21
"5982","United States","North America","Burkina Faso","Africa",1971,4
"6089","Netherlands","Europe","Burkina Faso","Africa",1971,0.04
"6236","Switzerland","Europe","Burundi","Africa",1971,0.18
"6325","Sweden","Europe","Burundi","Africa",1971,0.19
"6362","United States","North America","Burundi","Africa",1971,1
"6365","Canada","North America","Burundi","Africa",1971,0.15
"6463","Denmark","Europe","Burundi","Africa",1971,0.01
"6643","Germany","Europe","Burundi","Africa",1971,0.44
"6659","France","Europe","Burundi","Africa",1971,1.3
"6849","Belgium","Europe","Burundi","Africa",1971,10.14
"7006","Norway","Europe","Burundi","Africa",1971,0.09
"7878","France","Europe","Cambodia","Asia",1971,5.4
"7989","Canada","North America","Cambodia","Asia",1971,0.08
"8020","Belgium","Europe","Cambodia","Asia",1971,0.02
"8115","Switzerland","Europe","Cambodia","Asia",1971,0.01
"8141","Germany","Europe","Cambodia","Asia",1971,0.19
"8369","Denmark","Europe","Cambodia","Asia",1971,1.73
"8383","Australia","Oceania","Cambodia","Asia",1971,1.03
"8439","United States","North America","Cambodia","Asia",1971,25
"8559","Japan","Asia","Cambodia","Asia",1971,4.74
"8565","United Kingdom","Europe","Cambodia","Asia",1971,0.26
"8618","Netherlands","Europe","Cambodia","Asia",1971,0.02
"8836","Canada","North America","Cameroon","Africa",1971,4.02
"8937","Switzerland","Europe","Cameroon","Africa",1971,0.5
"9043","Belgium","Europe","Cameroon","Africa",1971,0.28
"9049","Germany","Europe","Cameroon","Africa",1971,5.11
"9084","United Kingdom","Europe","Cameroon","Africa",1971,0.61
"9181","United States","North America","Cameroon","Africa",1971,4
"9198","Netherlands","Europe","Cameroon","Africa",1971,1.34
"9333","Austria","Europe","Cameroon","Africa",1971,0.01
"9344","France","Europe","Cameroon","Africa",1971,9.9
"9508","United Kingdom","Europe","Central African Republic","Africa",1971,0.06
"9560","Germany","Europe","Central African Republic","Africa",1971,0.61
"9567","Canada","North America","Central African Republic","Africa",1971,0.17
"9643","Belgium","Europe","Central African Republic","Africa",1971,0.04
"9822","France","Europe","Central African Republic","Africa",1971,7.6
"9954","Japan","Asia","Central African Republic","Africa",1971,0.01
"9993","Sweden","Europe","Central African Republic","Africa",1971,0.04
"10265","Canada","North America","Chad","Africa",1971,0.25
"10297","Belgium","Europe","Chad","Africa",1971,0.01
"10342","Denmark","Europe","Chad","Africa",1971,0.07
