"","source","donor.continent","target","target.continent","time","value"
"24","Denmark","Europe","Afghanistan","Asia",1991,2.71
"42","Sweden","Europe","Afghanistan","Asia",1991,4.84
"52","Canada","North America","Afghanistan","Asia",1991,5.31
"79","Luxembourg","Europe","Afghanistan","Asia",1991,0.15
"86","Switzerland","Europe","Afghanistan","Asia",1991,2.74
"133","Italy","Europe","Afghanistan","Asia",1991,0.4
"191","United States","North America","Afghanistan","Asia",1991,59
"286","Japan","Asia","Afghanistan","Asia",1991,0.02
"401","Finland","Europe","Afghanistan","Asia",1991,2.28
"460","United Kingdom","Europe","Afghanistan","Asia",1991,3.21
"481","Norway","Europe","Afghanistan","Asia",1991,7.99
"482","Korea","Asia","Afghanistan","Asia",1991,0.11
"546","Austria","Europe","Afghanistan","Asia",1991,0.62
"704","France","Europe","Afghanistan","Asia",1991,1.5
"756","Germany","Europe","Afghanistan","Asia",1991,5.52
"865","Australia","Oceania","Afghanistan","Asia",1991,4.75
"868","Netherlands","Europe","Afghanistan","Asia",1991,0.72
"1029","United Kingdom","Europe","Angola","Africa",1991,3.28
"1100","France","Europe","Angola","Africa",1991,10.58
"1132","Finland","Europe","Angola","Africa",1991,1.44
"1135","Australia","Oceania","Angola","Africa",1991,0.26
"1139","Denmark","Europe","Angola","Africa",1991,2.52
"1146","Italy","Europe","Angola","Africa",1991,29.97
"1207","Switzerland","Europe","Angola","Africa",1991,1.85
"1221","Germany","Europe","Angola","Africa",1991,8.85
"1228","Netherlands","Europe","Angola","Africa",1991,2.15
"1243","Portugal","Europe","Angola","Africa",1991,12.93
"1330","Japan","Asia","Angola","Africa",1991,0.08
"1364","Canada","North America","Angola","Africa",1991,6.34
"1375","Ireland","Europe","Angola","Africa",1991,0.09
"1491","Spain","Europe","Angola","Africa",1991,27.73
"1618","Korea","Asia","Angola","Africa",1991,0.01
"1654","United States","North America","Angola","Africa",1991,10
"1705","Sweden","Europe","Angola","Africa",1991,31.72
"1727","Belgium","Europe","Angola","Africa",1991,0.77
"1730","Norway","Europe","Angola","Africa",1991,7.8
"2160","Austria","Europe","Armenia","Europe",1991,2.71
"2162","Australia","Oceania","Armenia","Europe",1991,0.01
"2236","Norway","Europe","Bangladesh","Asia",1991,42.15
"2251","Finland","Europe","Bangladesh","Asia",1991,15.8
"2256","Luxembourg","Europe","Bangladesh","Asia",1991,0.46
"2276","Denmark","Europe","Bangladesh","Asia",1991,57.48
"2282","Germany","Europe","Bangladesh","Asia",1991,97.36
"2310","Japan","Asia","Bangladesh","Asia",1991,114.98
"2319","Italy","Europe","Bangladesh","Asia",1991,4.81
"2329","Spain","Europe","Bangladesh","Asia",1991,0.46
"2493","Korea","Asia","Bangladesh","Asia",1991,0.21
"2500","Australia","Oceania","Bangladesh","Asia",1991,13.42
"2515","France","Europe","Bangladesh","Asia",1991,26.89
"2518","Netherlands","Europe","Bangladesh","Asia",1991,57.27
"2555","Sweden","Europe","Bangladesh","Asia",1991,36.04
"2570","Canada","North America","Bangladesh","Asia",1991,94.58
"2696","New Zealand","Oceania","Bangladesh","Asia",1991,0.05
"2778","Austria","Europe","Bangladesh","Asia",1991,4.08
"2795","Ireland","Europe","Bangladesh","Asia",1991,0.56
"2835","Belgium","Europe","Bangladesh","Asia",1991,4.01
"2915","Switzerland","Europe","Bangladesh","Asia",1991,14.51
"3020","United Kingdom","Europe","Bangladesh","Asia",1991,97.9
"3109","United States","North America","Bangladesh","Asia",1991,129
"3165","Canada","North America","Benin","Africa",1991,1.38
"3183","Denmark","Europe","Benin","Africa",1991,7.4
"3196","Sweden","Europe","Benin","Africa",1991,0.02
"3235","Japan","Asia","Benin","Africa",1991,11.6
"3240","United States","North America","Benin","Africa",1991,3
"3272","Luxembourg","Europe","Benin","Africa",1991,0.08
"3312","Finland","Europe","Benin","Africa",1991,0.06
"3456","France","Europe","Benin","Africa",1991,83.89
"3491","United Kingdom","Europe","Benin","Africa",1991,0.34
"3521","Belgium","Europe","Benin","Africa",1991,1.62
"3534","Netherlands","Europe","Benin","Africa",1991,13.11
"3768","Norway","Europe","Benin","Africa",1991,2.9
"3790","Germany","Europe","Benin","Africa",1991,24.64
"3797","Spain","Europe","Benin","Africa",1991,0.03
"3813","Korea","Asia","Benin","Africa",1991,0.08
"3820","Italy","Europe","Benin","Africa",1991,1.9
"3886","Switzerland","Europe","Benin","Africa",1991,8
"3909","New Zealand","Oceania","Bhutan","Asia",1991,0.02
"3911","Switzerland","Europe","Bhutan","Asia",1991,4.82
"3945","Norway","Europe","Bhutan","Asia",1991,8.41
"3948","Austria","Europe","Bhutan","Asia",1991,0.27
"3967","Sweden","Europe","Bhutan","Asia",1991,0.07
"3992","Finland","Europe","Bhutan","Asia",1991,0.22
"4040","Japan","Asia","Bhutan","Asia",1991,16.94
"4105","Korea","Asia","Bhutan","Asia",1991,0.22
"4117","United Kingdom","Europe","Bhutan","Asia",1991,0.99
"4181","Netherlands","Europe","Bhutan","Asia",1991,0.12
"4248","Australia","Oceania","Bhutan","Asia",1991,0.6
"4315","Canada","North America","Bhutan","Asia",1991,0.07
"4332","Belgium","Europe","Bhutan","Asia",1991,0.05
"4405","Denmark","Europe","Bhutan","Asia",1991,2.62
"4485","Italy","Europe","Bhutan","Asia",1991,0.2
"4490","Germany","Europe","Bhutan","Asia",1991,2.11
"4513","Denmark","Europe","Bolivia","South America",1991,1.97
"4553","Japan","Asia","Bolivia","South America",1991,55.14
"4630","Luxembourg","Europe","Bolivia","South America",1991,0.04
"4699","Italy","Europe","Bolivia","South America",1991,25.72
"4743","Canada","North America","Bolivia","South America",1991,7.58
"4772","United States","North America","Bolivia","South America",1991,81
"4892","France","Europe","Bolivia","South America",1991,16.59
"4899","Spain","Europe","Bolivia","South America",1991,8.24
"4905","Finland","Europe","Bolivia","South America",1991,0.03
"4917","Norway","Europe","Bolivia","South America",1991,3.06
"4922","United Kingdom","Europe","Bolivia","South America",1991,7.89
"4931","Netherlands","Europe","Bolivia","South America",1991,35.93
"4960","Belgium","Europe","Bolivia","South America",1991,4.38
"4961","Switzerland","Europe","Bolivia","South America",1991,17.21
"5004","Sweden","Europe","Bolivia","South America",1991,9.52
"5056","Germany","Europe","Bolivia","South America",1991,80.92
"5142","New Zealand","Oceania","Bolivia","South America",1991,0.02
"5165","Austria","Europe","Bolivia","South America",1991,0.85
"5337","Korea","Asia","Bolivia","South America",1991,0.21
"5417","Canada","North America","Burkina Faso","Africa",1991,16.17
"5552","Netherlands","Europe","Burkina Faso","Africa",1991,28.5
"5559","Italy","Europe","Burkina Faso","Africa",1991,8.72
"5648","France","Europe","Burkina Faso","Africa",1991,115.95
"5656","Sweden","Europe","Burkina Faso","Africa",1991,1.14
"5660","Japan","Asia","Burkina Faso","Africa",1991,4.35
"5664","United Kingdom","Europe","Burkina Faso","Africa",1991,2.24
"5811","Ireland","Europe","Burkina Faso","Africa",1991,0.09
"5877","Switzerland","Europe","Burkina Faso","Africa",1991,5.27
"5910","Finland","Europe","Burkina Faso","Africa",1991,0.05
"5954","Australia","Oceania","Burkina Faso","Africa",1991,0.04
"5981","Luxembourg","Europe","Burkina Faso","Africa",1991,1.04
"6030","Denmark","Europe","Burkina Faso","Africa",1991,11.01
"6032","Germany","Europe","Burkina Faso","Africa",1991,44.96
"6037","Austria","Europe","Burkina Faso","Africa",1991,1.55
"6065","Norway","Europe","Burkina Faso","Africa",1991,4.26
"6072","Spain","Europe","Burkina Faso","Africa",1991,0.07
"6075","Belgium","Europe","Burkina Faso","Africa",1991,2.73
"6161","United States","North America","Burkina Faso","Africa",1991,22
"6206","Korea","Asia","Burkina Faso","Africa",1991,0.02
"6242","Spain","Europe","Burundi","Africa",1991,0.09
"6293","Luxembourg","Europe","Burundi","Africa",1991,1.27
"6314","Italy","Europe","Burundi","Africa",1991,1.86
"6394","United Kingdom","Europe","Burundi","Africa",1991,0.36
"6420","Switzerland","Europe","Burundi","Africa",1991,1.66
"6505","Canada","North America","Burundi","Africa",1991,1.22
"6527","Australia","Oceania","Burundi","Africa",1991,0.02
"6571","Sweden","Europe","Burundi","Africa",1991,1.79
"6607","United States","North America","Burundi","Africa",1991,6
