"","source","donor.continent","target","target.continent","time","value"
"4","Denmark","Europe","Afghanistan","Asia",2001,2.41
"22","Greece","Europe","Afghanistan","Asia",2001,1.38
"34","France","Europe","Afghanistan","Asia",2001,9.61
"118","Poland","Europe","Afghanistan","Asia",2001,0.1
"147","Italy","Europe","Afghanistan","Asia",2001,22.11
"167","Austria","Europe","Afghanistan","Asia",2001,9.74
"181","Canada","North America","Afghanistan","Asia",2001,14.23
"224","Norway","Europe","Afghanistan","Asia",2001,39.71
"366","New Zealand","Oceania","Afghanistan","Asia",2001,0.6
"374","Sweden","Europe","Afghanistan","Asia",2001,20.6
"386","United Kingdom","Europe","Afghanistan","Asia",2001,35.44
"409","Switzerland","Europe","Afghanistan","Asia",2001,7.47
"483","Australia","Oceania","Afghanistan","Asia",2001,6.18
"490","Japan","Asia","Afghanistan","Asia",2001,0.58
"540","Belgium","Europe","Afghanistan","Asia",2001,3.69
"571","Czech Republic","Europe","Afghanistan","Asia",2001,0.64
"577","Luxembourg","Europe","Afghanistan","Asia",2001,6.08
"654","Netherlands","Europe","Afghanistan","Asia",2001,71.95
"687","Spain","Europe","Afghanistan","Asia",2001,5.92
"844","United States","North America","Afghanistan","Asia",2001,7.7
"856","Germany","Europe","Afghanistan","Asia",2001,44.14
"935","Ireland","Europe","Afghanistan","Asia",2001,4.6
"943","Finland","Europe","Afghanistan","Asia",2001,8.72
"996","Canada","North America","Angola","Africa",2001,2.32
"1007","Spain","Europe","Angola","Africa",2001,10.21
"1024","Denmark","Europe","Angola","Africa",2001,2.98
"1045","Poland","Europe","Angola","Africa",2001,0.06
"1156","Germany","Europe","Angola","Africa",2001,9.94
"1218","Luxembourg","Europe","Angola","Africa",2001,0.44
"1263","Belgium","Europe","Angola","Africa",2001,1.66
"1266","Korea","Asia","Angola","Africa",2001,1.04
"1268","France","Europe","Angola","Africa",2001,5.94
"1289","Italy","Europe","Angola","Africa",2001,11.89
"1315","Ireland","Europe","Angola","Africa",2001,1.93
"1318","United States","North America","Angola","Africa",2001,33.95
"1343","Austria","Europe","Angola","Africa",2001,0.04
"1344","Finland","Europe","Angola","Africa",2001,2.04
"1411","Japan","Asia","Angola","Africa",2001,20.71
"1444","Norway","Europe","Angola","Africa",2001,17.47
"1482","United Kingdom","Europe","Angola","Africa",2001,7.86
"1531","Portugal","Europe","Angola","Africa",2001,11.87
"1532","Netherlands","Europe","Angola","Africa",2001,20.49
"1548","Switzerland","Europe","Angola","Africa",2001,4.32
"1662","Sweden","Europe","Angola","Africa",2001,13.37
"1742","Italy","Europe","Armenia","Europe",2001,0.9
"1751","United States","North America","Armenia","Europe",2001,77.95
"1769","Sweden","Europe","Armenia","Europe",2001,0.86
"1776","Spain","Europe","Armenia","Europe",2001,0.11
"1783","Denmark","Europe","Armenia","Europe",2001,0.25
"1790","Greece","Europe","Armenia","Europe",2001,1.58
"1794","Japan","Asia","Armenia","Europe",2001,5.18
"1823","Poland","Europe","Armenia","Europe",2001,0.02
"1846","United Kingdom","Europe","Armenia","Europe",2001,2.38
"1858","Canada","North America","Armenia","Europe",2001,0.43
"1905","Austria","Europe","Armenia","Europe",2001,1.57
"1910","Czech Republic","Europe","Armenia","Europe",2001,0.51
"1953","Switzerland","Europe","Armenia","Europe",2001,1.77
"1980","Korea","Asia","Armenia","Europe",2001,0.02
"2034","France","Europe","Armenia","Europe",2001,4.12
"2138","Germany","Europe","Armenia","Europe",2001,16.8
"2148","Norway","Europe","Armenia","Europe",2001,2.43
"2173","Netherlands","Europe","Armenia","Europe",2001,7.86
"2206","Switzerland","Europe","Bangladesh","Asia",2001,12.28
"2214","Italy","Europe","Bangladesh","Asia",2001,0.41
"2228","United States","North America","Bangladesh","Asia",2001,87.13
"2240","Czech Republic","Europe","Bangladesh","Asia",2001,0.17
"2252","Australia","Oceania","Bangladesh","Asia",2001,16.24
"2317","Korea","Asia","Bangladesh","Asia",2001,0.87
"2324","Austria","Europe","Bangladesh","Asia",2001,1.38
"2351","Norway","Europe","Bangladesh","Asia",2001,20.58
"2382","New Zealand","Oceania","Bangladesh","Asia",2001,0.53
"2400","Canada","North America","Bangladesh","Asia",2001,30.29
"2466","Finland","Europe","Bangladesh","Asia",2001,0.5
"2471","Sweden","Europe","Bangladesh","Asia",2001,28.38
"2482","United Kingdom","Europe","Bangladesh","Asia",2001,124.47
"2561","Netherlands","Europe","Bangladesh","Asia",2001,43.23
"2586","Spain","Europe","Bangladesh","Asia",2001,0.08
"2647","Germany","Europe","Bangladesh","Asia",2001,30.09
"2688","Ireland","Europe","Bangladesh","Asia",2001,0.59
"2796","Belgium","Europe","Bangladesh","Asia",2001,1.7
"2838","France","Europe","Bangladesh","Asia",2001,13.06
"2990","Japan","Asia","Bangladesh","Asia",2001,125.64
"3093","Denmark","Europe","Bangladesh","Asia",2001,41.81
"3155","Italy","Europe","Benin","Africa",2001,0.21
"3173","Netherlands","Europe","Benin","Africa",2001,8.01
"3194","Germany","Europe","Benin","Africa",2001,21.87
"3203","Korea","Asia","Benin","Africa",2001,0.03
"3234","United States","North America","Benin","Africa",2001,27.43
"3236","Austria","Europe","Benin","Africa",2001,0.19
"3380","Switzerland","Europe","Benin","Africa",2001,5.73
"3403","New Zealand","Oceania","Benin","Africa",2001,0.06
"3451","United Kingdom","Europe","Benin","Africa",2001,0.07
"3464","Greece","Europe","Benin","Africa",2001,0.06
"3511","Sweden","Europe","Benin","Africa",2001,0.09
"3514","Spain","Europe","Benin","Africa",2001,0.59
"3526","Denmark","Europe","Benin","Africa",2001,22.93
"3543","Finland","Europe","Benin","Africa",2001,0.14
"3617","France","Europe","Benin","Africa",2001,42.52
"3632","Ireland","Europe","Benin","Africa",2001,0.06
"3649","Japan","Asia","Benin","Africa",2001,8.26
"3733","Belgium","Europe","Benin","Africa",2001,4.38
"3802","Canada","North America","Benin","Africa",2001,1.75
"3866","Norway","Europe","Benin","Africa",2001,0.1
"3924","Canada","North America","Bhutan","Asia",2001,0.52
"3962","France","Europe","Bhutan","Asia",2001,0.06
"4078","Norway","Europe","Bhutan","Asia",2001,0.66
"4200","Sweden","Europe","Bhutan","Asia",2001,0.3
"4225","Korea","Asia","Bhutan","Asia",2001,0.12
"4226","Austria","Europe","Bhutan","Asia",2001,5.09
"4256","Denmark","Europe","Bhutan","Asia",2001,12.24
"4271","Germany","Europe","Bhutan","Asia",2001,0.79
"4299","Japan","Asia","Bhutan","Asia",2001,11.78
"4341","Netherlands","Europe","Bhutan","Asia",2001,6.49
"4364","Italy","Europe","Bhutan","Asia",2001,0.02
"4409","Switzerland","Europe","Bhutan","Asia",2001,3.79
"4448","New Zealand","Oceania","Bhutan","Asia",2001,0.27
"4467","Australia","Oceania","Bhutan","Asia",2001,0.49
"4499","Belgium","Europe","Bolivia","South America",2001,9.5
"4514","Denmark","Europe","Bolivia","South America",2001,26.42
"4593","Germany","Europe","Bolivia","South America",2001,51.65
"4600","Luxembourg","Europe","Bolivia","South America",2001,0.12
"4614","Switzerland","Europe","Bolivia","South America",2001,10.64
