"","source","donor.continent","target","target.continent","time","value"
"29","Austria","Europe","Afghanistan","Asia",2009,0.82
"33","Germany","Europe","Afghanistan","Asia",2009,337.34
"43","France","Europe","Afghanistan","Asia",2009,49.81
"50","Finland","Europe","Afghanistan","Asia",2009,28.04
"106","United States","North America","Afghanistan","Asia",2009,2979.93
"160","Slovenia","Europe","Afghanistan","Asia",2009,0.14
"212","New Zealand","Oceania","Afghanistan","Asia",2009,4.16
"299","Korea","Asia","Afghanistan","Asia",2009,24.09
"317","Australia","Oceania","Afghanistan","Asia",2009,96.74
"337","Luxembourg","Europe","Afghanistan","Asia",2009,3.74
"450","Japan","Asia","Afghanistan","Asia",2009,335.93
"456","Belgium","Europe","Afghanistan","Asia",2009,18.69
"480","Canada","North America","Afghanistan","Asia",2009,232.58
"495","Switzerland","Europe","Afghanistan","Asia",2009,20.03
"497","United Kingdom","Europe","Afghanistan","Asia",2009,324.39
"590","Spain","Europe","Afghanistan","Asia",2009,98.91
"600","Hungary","Europe","Afghanistan","Asia",2009,8.45
"659","Greece","Europe","Afghanistan","Asia",2009,17.97
"661","Slovak Republic","Europe","Afghanistan","Asia",2009,0.52
"679","Ireland","Europe","Afghanistan","Asia",2009,7.11
"724","Sweden","Europe","Afghanistan","Asia",2009,80.07
"739","Portugal","Europe","Afghanistan","Asia",2009,11.64
"794","Netherlands","Europe","Afghanistan","Asia",2009,147.93
"859","Denmark","Europe","Afghanistan","Asia",2009,86.01
"888","Poland","Europe","Afghanistan","Asia",2009,6.34
"896","Iceland","Europe","Afghanistan","Asia",2009,1.43
"911","Czech Republic","Europe","Afghanistan","Asia",2009,26.09
"921","Italy","Europe","Afghanistan","Asia",2009,67.41
"926","Norway","Europe","Afghanistan","Asia",2009,115.93
"1027","Finland","Europe","Angola","Africa",2009,2.16
"1062","Norway","Europe","Angola","Africa",2009,17.84
"1097","Germany","Europe","Angola","Africa",2009,8.4
"1129","Ireland","Europe","Angola","Africa",2009,2.41
"1142","Switzerland","Europe","Angola","Africa",2009,0.67
"1152","Denmark","Europe","Angola","Africa",2009,3.79
"1173","Japan","Asia","Angola","Africa",2009,6.76
"1178","Poland","Europe","Angola","Africa",2009,7.33
"1383","Korea","Asia","Angola","Africa",2009,28.34
"1399","United Kingdom","Europe","Angola","Africa",2009,4.44
"1409","United States","North America","Angola","Africa",2009,41.5
"1427","Spain","Europe","Angola","Africa",2009,20.29
"1435","Sweden","Europe","Angola","Africa",2009,1.94
"1459","Canada","North America","Angola","Africa",2009,0.9
"1615","France","Europe","Angola","Africa",2009,4.15
"1650","Czech Republic","Europe","Angola","Africa",2009,2.32
"1651","Greece","Europe","Angola","Africa",2009,0.02
"1676","Italy","Europe","Angola","Africa",2009,1.45
"1696","Austria","Europe","Angola","Africa",2009,0.06
"1748","Greece","Europe","Armenia","Europe",2009,2.91
"1762","Switzerland","Europe","Armenia","Europe",2009,2.81
"1813","Japan","Asia","Armenia","Europe",2009,98.7
"1815","Belgium","Europe","Armenia","Europe",2009,0.1
"1875","United Kingdom","Europe","Armenia","Europe",2009,1.02
"1881","Norway","Europe","Armenia","Europe",2009,3.12
"1908","United States","North America","Armenia","Europe",2009,78.45
"1938","Sweden","Europe","Armenia","Europe",2009,2.27
"1940","Netherlands","Europe","Armenia","Europe",2009,3.01
"1942","Poland","Europe","Armenia","Europe",2009,0.51
"1946","Korea","Asia","Armenia","Europe",2009,0.04
"1987","Canada","North America","Armenia","Europe",2009,0.73
"2024","Denmark","Europe","Armenia","Europe",2009,2.74
"2036","Austria","Europe","Armenia","Europe",2009,1.28
"2065","France","Europe","Armenia","Europe",2009,5.67
"2096","Spain","Europe","Armenia","Europe",2009,0.35
"2146","Finland","Europe","Armenia","Europe",2009,0.3
"2156","Czech Republic","Europe","Armenia","Europe",2009,0.41
"2180","Germany","Europe","Armenia","Europe",2009,30.99
"2185","Italy","Europe","Armenia","Europe",2009,0.52
"2218","Poland","Europe","Bangladesh","Asia",2009,0.05
"2283","United States","North America","Bangladesh","Asia",2009,63.82
"2289","Sweden","Europe","Bangladesh","Asia",2009,46.43
"2295","Switzerland","Europe","Bangladesh","Asia",2009,22.91
"2402","United Kingdom","Europe","Bangladesh","Asia",2009,250.08
"2433","Luxembourg","Europe","Bangladesh","Asia",2009,0.62
"2443","Spain","Europe","Bangladesh","Asia",2009,6.01
"2485","Japan","Asia","Bangladesh","Asia",2009,14.09
"2517","Denmark","Europe","Bangladesh","Asia",2009,47.41
"2566","Norway","Europe","Bangladesh","Asia",2009,14.64
"2676","Greece","Europe","Bangladesh","Asia",2009,0.21
"2679","Slovak Republic","Europe","Bangladesh","Asia",2009,0.05
"2719","Finland","Europe","Bangladesh","Asia",2009,1.22
"2722","Netherlands","Europe","Bangladesh","Asia",2009,70.35
"2730","Czech Republic","Europe","Bangladesh","Asia",2009,0.08
"2738","Australia","Oceania","Bangladesh","Asia",2009,41.36
"2836","Korea","Asia","Bangladesh","Asia",2009,13.55
"2861","Austria","Europe","Bangladesh","Asia",2009,0.58
"2864","Canada","North America","Bangladesh","Asia",2009,52.45
"2916","Italy","Europe","Bangladesh","Asia",2009,7.22
"2926","Ireland","Europe","Bangladesh","Asia",2009,2.34
"2998","New Zealand","Oceania","Bangladesh","Asia",2009,1.31
"3017","Germany","Europe","Bangladesh","Asia",2009,67.3
"3161","United States","North America","Benin","Africa",2009,58.9
"3205","United Kingdom","Europe","Benin","Africa",2009,0.03
"3221","Ireland","Europe","Benin","Africa",2009,0.04
"3293","Switzerland","Europe","Benin","Africa",2009,13.47
"3372","Finland","Europe","Benin","Africa",2009,0.45
"3455","Luxembourg","Europe","Benin","Africa",2009,1.16
"3495","Belgium","Europe","Benin","Africa",2009,25.58
"3528","Netherlands","Europe","Benin","Africa",2009,41.97
"3596","Australia","Oceania","Benin","Africa",2009,0.16
"3616","Korea","Asia","Benin","Africa",2009,0.02
"3676","Japan","Asia","Benin","Africa",2009,25.84
"3677","Sweden","Europe","Benin","Africa",2009,0.88
"3690","Canada","North America","Benin","Africa",2009,7.04
"3692","Denmark","Europe","Benin","Africa",2009,51.36
"3699","France","Europe","Benin","Africa",2009,50.39
"3746","Spain","Europe","Benin","Africa",2009,3.45
"3757","Germany","Europe","Benin","Africa",2009,43.12
"3763","Austria","Europe","Benin","Africa",2009,0.01
