"","source","donor.continent","target","target.continent","time","value"
"175","United States","North America","Afghanistan","Asia",1962,13
"398","Japan","Asia","Afghanistan","Asia",1962,0.11
"526","Germany","Europe","Afghanistan","Asia",1962,2.15
"3204","United States","North America","Benin","Africa",1962,2
"3629","Germany","Europe","Benin","Africa",1962,0.04
"4653","Italy","Europe","Bolivia","South America",1962,0.07
"4736","Germany","Europe","Bolivia","South America",1962,2.4
"4825","Japan","Asia","Bolivia","South America",1962,0.03
"4858","Sweden","Europe","Bolivia","South America",1962,0.01
"4918","United States","North America","Bolivia","South America",1962,29
"5096","United Kingdom","Europe","Bolivia","South America",1962,0.17
"6066","United States","North America","Burkina Faso","Africa",1962,1
"6345","Belgium","Europe","Burundi","Africa",1962,8.55
"6561","Germany","Europe","Burundi","Africa",1962,0.01
"6896","United States","North America","Burundi","Africa",1962,1.5
"8009","Japan","Asia","Cambodia","Asia",1962,1.08
"8147","United States","North America","Cambodia","Asia",1962,20
"8247","Canada","North America","Cambodia","Asia",1962,0.1
"8666","Canada","North America","Cameroon","Africa",1962,0.13
"8766","United States","North America","Cameroon","Africa",1962,2
"9104","Germany","Europe","Cameroon","Africa",1962,0.03
"9167","United Kingdom","Europe","Cameroon","Africa",1962,2.85
"10149","Germany","Europe","Central African Republic","Africa",1962,0.03
"10187","Germany","Europe","Chad","Africa",1962,0.04
"11321","Canada","North America","Congo","Africa",1962,0.02
"12033","Germany","Europe","Cote d'Ivoire","Africa",1962,0.02
"12361","United States","North America","Cote d'Ivoire","Africa",1962,2
"13530","Belgium","Europe","Democratic Republic of the Congo","Africa",1962,46.3
"13912","Germany","Europe","Democratic Republic of the Congo","Africa",1962,3.95
"13990","United States","North America","Democratic Republic of the Congo","Africa",1962,64
"14764","United States","North America","Egypt","Africa",1962,177
"14905","Japan","Asia","Egypt","Africa",1962,0.03
"15418","Germany","Europe","Egypt","Africa",1962,3.2
"15524","United States","North America","El Salvador","North America",1962,6
"15802","Japan","Asia","El Salvador","North America",1962,0.03
"16186","Germany","Europe","El Salvador","North America",1962,0.03
"17194","United States","North America","Ethiopia","Africa",1962,23
"17590","Austria","Europe","Ethiopia","Africa",1962,0.01
