"","source","donor.continent","target","target.continent","time","value"
"348","Japan","Asia","Afghanistan","Asia",1960,0.01
"772","Germany","Europe","Afghanistan","Asia",1960,0.65
"838","United States","North America","Afghanistan","Asia",1960,15
"862","Italy","Europe","Afghanistan","Asia",1960,0.01
"4776","United States","North America","Bolivia","South America",1960,13
"5125","Italy","Europe","Bolivia","South America",1960,0.01
"6851","Belgium","Europe","Burundi","Africa",1960,7.5
"7972","France","Europe","Cambodia","Asia",1960,1.2
"8212","Germany","Europe","Cambodia","Asia",1960,0.01
"8464","Canada","North America","Cambodia","Asia",1960,0.14
"8546","United States","North America","Cambodia","Asia",1960,25
"8552","Japan","Asia","Cambodia","Asia",1960,0.48
"8832","United Kingdom","Europe","Cameroon","Africa",1960,0.29
"8958","Germany","Europe","Cameroon","Africa",1960,0.01
"13330","Denmark","Europe","Democratic Republic of the Congo","Africa",1960,0.1
"13355","Germany","Europe","Democratic Republic of the Congo","Africa",1960,0.09
"13976","Canada","North America","Democratic Republic of the Congo","Africa",1960,0.01
"14108","Belgium","Europe","Democratic Republic of the Congo","Africa",1960,71
"14765","United States","North America","Egypt","Africa",1960,113
"15483","Japan","Asia","Egypt","Africa",1960,0.03
"15508","Italy","Europe","Egypt","Africa",1960,60.55
"15827","United States","North America","El Salvador","North America",1960,1
"16243","Japan","Asia","El Salvador","North America",1960,0.01
"17296","United States","North America","Ethiopia","Africa",1960,8
"17344","Sweden","Europe","Ethiopia","Africa",1960,0.27
"17550","Japan","Asia","Ethiopia","Africa",1960,0.01
"17605","Italy","Europe","Ethiopia","Africa",1960,6.13
"18212","Germany","Europe","Ethiopia","Africa",1960,0.3
"18765","United Kingdom","Europe","Gambia","Africa",1960,0.54
"19879","Sweden","Europe","Ghana","Africa",1960,0.01
"20288","United Kingdom","Europe","Ghana","Africa",1960,0.34
"20312","United States","North America","Ghana","Africa",1960,2
"20347","Canada","North America","Ghana","Africa",1960,0.12
"20380","Italy","Europe","Ghana","Africa",1960,0.01
"20438","Germany","Europe","Ghana","Africa",1960,0.05
"20911","United States","North America","Guatemala","North America",1960,16
"21108","Italy","Europe","Guatemala","North America",1960,0.01
