"","source","donor.continent","target","target.continent","time","value"
"102","Austria","Europe","Afghanistan","Asia",1992,1.49
"134","Belgium","Europe","Afghanistan","Asia",1992,0.08
"192","United Kingdom","Europe","Afghanistan","Asia",1992,3.06
"194","Switzerland","Europe","Afghanistan","Asia",1992,3.93
"267","Spain","Europe","Afghanistan","Asia",1992,0.02
"282","Finland","Europe","Afghanistan","Asia",1992,1.43
"304","Canada","North America","Afghanistan","Asia",1992,4.67
"335","Australia","Oceania","Afghanistan","Asia",1992,0.44
"431","Norway","Europe","Afghanistan","Asia",1992,8.47
"465","Japan","Asia","Afghanistan","Asia",1992,0.02
"520","Germany","Europe","Afghanistan","Asia",1992,14.99
"612","Netherlands","Europe","Afghanistan","Asia",1992,5.21
"750","Korea","Asia","Afghanistan","Asia",1992,0.2
"757","Denmark","Europe","Afghanistan","Asia",1992,3.15
"808","United States","North America","Afghanistan","Asia",1992,65
"833","Sweden","Europe","Afghanistan","Asia",1992,12.97
"845","France","Europe","Afghanistan","Asia",1992,1.41
"899","Luxembourg","Europe","Afghanistan","Asia",1992,0.34
"975","Norway","Europe","Angola","Africa",1992,5.75
"1050","Portugal","Europe","Angola","Africa",1992,16.25
"1063","Belgium","Europe","Angola","Africa",1992,2.49
"1150","Denmark","Europe","Angola","Africa",1992,1.41
"1194","Japan","Asia","Angola","Africa",1992,2.99
"1262","Spain","Europe","Angola","Africa",1992,33.99
"1319","Canada","North America","Angola","Africa",1992,4.1
"1381","United States","North America","Angola","Africa",1992,3
"1419","Netherlands","Europe","Angola","Africa",1992,1.24
"1430","Sweden","Europe","Angola","Africa",1992,36.2
"1483","Korea","Asia","Angola","Africa",1992,0.17
"1498","Switzerland","Europe","Angola","Africa",1992,1.7
"1502","France","Europe","Angola","Africa",1992,26.97
"1547","Germany","Europe","Angola","Africa",1992,6.81
"1602","Luxembourg","Europe","Angola","Africa",1992,0.19
"1626","Finland","Europe","Angola","Africa",1992,0.42
"1663","United Kingdom","Europe","Angola","Africa",1992,3.03
