"","source","donor.continent","target","target.continent","time","value"
"30","Italy","Europe","Afghanistan","Asia",1988,1.08
"75","Finland","Europe","Afghanistan","Asia",1988,0.54
"145","Ireland","Europe","Afghanistan","Asia",1988,0.11
"158","France","Europe","Afghanistan","Asia",1988,0.66
"171","United Kingdom","Europe","Afghanistan","Asia",1988,2.31
"295","Netherlands","Europe","Afghanistan","Asia",1988,3.48
"365","Canada","North America","Afghanistan","Asia",1988,2.19
"441","Sweden","Europe","Afghanistan","Asia",1988,14.72
"443","Germany","Europe","Afghanistan","Asia",1988,7.89
"649","Australia","Oceania","Afghanistan","Asia",1988,0.03
"678","Hungary","Europe","Afghanistan","Asia",1988,0.5
"826","Austria","Europe","Afghanistan","Asia",1988,0.14
"893","United States","North America","Afghanistan","Asia",1988,29
"938","Switzerland","Europe","Afghanistan","Asia",1988,4.78
"992","Norway","Europe","Angola","Africa",1988,4.5
"995","Italy","Europe","Angola","Africa",1988,24.34
"1017","Netherlands","Europe","Angola","Africa",1988,12.44
"1202","Sweden","Europe","Angola","Africa",1988,32.65
"1219","United Kingdom","Europe","Angola","Africa",1988,0.9
"1248","Finland","Europe","Angola","Africa",1988,1.3
"1259","Canada","North America","Angola","Africa",1988,5.95
"1303","Belgium","Europe","Angola","Africa",1988,0.37
"1313","United States","North America","Angola","Africa",1988,6
"1317","Denmark","Europe","Angola","Africa",1988,4.25
"1421","Germany","Europe","Angola","Africa",1988,7.18
"1436","Austria","Europe","Angola","Africa",1988,0.65
"1596","Switzerland","Europe","Angola","Africa",1988,1.73
"1632","Australia","Oceania","Angola","Africa",1988,0.01
"1668","France","Europe","Angola","Africa",1988,5.8
"2216","Finland","Europe","Bangladesh","Asia",1988,18.1
"2225","Belgium","Europe","Bangladesh","Asia",1988,3.54
"2290","Japan","Asia","Bangladesh","Asia",1988,341.96
"2296","Korea","Asia","Bangladesh","Asia",1988,0.55
"2312","Netherlands","Europe","Bangladesh","Asia",1988,71.8
"2385","New Zealand","Oceania","Bangladesh","Asia",1988,0.08
"2448","United States","North America","Bangladesh","Asia",1988,120
"2454","Italy","Europe","Bangladesh","Asia",1988,0.2
"2564","Switzerland","Europe","Bangladesh","Asia",1988,6.63
"2625","Canada","North America","Bangladesh","Asia",1988,116.98
"2632","Ireland","Europe","Bangladesh","Asia",1988,0.42
"2698","Sweden","Europe","Bangladesh","Asia",1988,17.25
"2741","France","Europe","Bangladesh","Asia",1988,21.46
"2817","Norway","Europe","Bangladesh","Asia",1988,36.19
"2932","United Kingdom","Europe","Bangladesh","Asia",1988,73.17
"2941","Australia","Oceania","Bangladesh","Asia",1988,11.22
"2960","Austria","Europe","Bangladesh","Asia",1988,0.74
"3041","Germany","Europe","Bangladesh","Asia",1988,57.41
"3082","Denmark","Europe","Bangladesh","Asia",1988,33.79
"3156","Austria","Europe","Benin","Africa",1988,0.01
"3167","Italy","Europe","Benin","Africa",1988,2.84
"3201","Canada","North America","Benin","Africa",1988,2.09
"3280","Switzerland","Europe","Benin","Africa",1988,2.18
"3322","Denmark","Europe","Benin","Africa",1988,0.26
"3330","Netherlands","Europe","Benin","Africa",1988,5.68
"3370","United States","North America","Benin","Africa",1988,4
"3423","United Kingdom","Europe","Benin","Africa",1988,0.61
"3609","Belgium","Europe","Benin","Africa",1988,0.99
"3748","France","Europe","Benin","Africa",1988,39.61
"3767","Norway","Europe","Benin","Africa",1988,0.09
"3862","Germany","Europe","Benin","Africa",1988,28.29
"3883","Japan","Asia","Benin","Africa",1988,6.54
"3933","Japan","Asia","Bhutan","Asia",1988,6.77
