"","source","donor.continent","target","target.continent","time","value"
"109","Luxembourg","Europe","Afghanistan","Asia",1993,0.14
"129","France","Europe","Afghanistan","Asia",1993,2.05
"150","Korea","Asia","Afghanistan","Asia",1993,0.14
"208","Belgium","Europe","Afghanistan","Asia",1993,0.1
"281","Finland","Europe","Afghanistan","Asia",1993,1.47
"321","Ireland","Europe","Afghanistan","Asia",1993,0.1
"368","Japan","Asia","Afghanistan","Asia",1993,0.02
"466","Australia","Oceania","Afghanistan","Asia",1993,0.76
"474","United States","North America","Afghanistan","Asia",1993,42
"576","Switzerland","Europe","Afghanistan","Asia",1993,1.5
"609","Norway","Europe","Afghanistan","Asia",1993,8.86
"629","Netherlands","Europe","Afghanistan","Asia",1993,9.95
"664","Canada","North America","Afghanistan","Asia",1993,7.63
"691","Sweden","Europe","Afghanistan","Asia",1993,9.09
"693","Denmark","Europe","Afghanistan","Asia",1993,4.32
"735","New Zealand","Oceania","Afghanistan","Asia",1993,0.03
"755","Italy","Europe","Afghanistan","Asia",1993,0.32
"768","Germany","Europe","Afghanistan","Asia",1993,16.06
"883","United Kingdom","Europe","Afghanistan","Asia",1993,2.21
"904","Austria","Europe","Afghanistan","Asia",1993,0.65
"1001","Italy","Europe","Angola","Africa",1993,34.53
"1084","Finland","Europe","Angola","Africa",1993,0.75
"1110","Netherlands","Europe","Angola","Africa",1993,0.72
"1148","Ireland","Europe","Angola","Africa",1993,1.17
"1164","Norway","Europe","Angola","Africa",1993,8.88
"1171","Japan","Asia","Angola","Africa",1993,0.1
"1187","Spain","Europe","Angola","Africa",1993,12.72
"1208","France","Europe","Angola","Africa",1993,18.55
"1216","Denmark","Europe","Angola","Africa",1993,0.01
"1320","United States","North America","Angola","Africa",1993,14
"1378","Australia","Oceania","Angola","Africa",1993,0.21
"1412","Sweden","Europe","Angola","Africa",1993,18.1
"1424","Portugal","Europe","Angola","Africa",1993,19.84
"1460","Germany","Europe","Angola","Africa",1993,8.37
"1496","Korea","Asia","Angola","Africa",1993,0.13
"1543","Canada","North America","Angola","Africa",1993,2.77
"1572","Switzerland","Europe","Angola","Africa",1993,2.76
"1585","Belgium","Europe","Angola","Africa",1993,2.59
"1643","United Kingdom","Europe","Angola","Africa",1993,4.84
"1735","Luxembourg","Europe","Armenia","Europe",1993,0.14
"1746","United Kingdom","Europe","Armenia","Europe",1993,0.53
"1828","Netherlands","Europe","Armenia","Europe",1993,0.54
"1853","Austria","Europe","Armenia","Europe",1993,0.08
"1870","Switzerland","Europe","Armenia","Europe",1993,0.22
"1895","Italy","Europe","Armenia","Europe",1993,3.24
"1991","Germany","Europe","Armenia","Europe",1993,0.47
"2002","Sweden","Europe","Armenia","Europe",1993,0.37
"2047","United States","North America","Armenia","Europe",1993,62
"2093","Canada","North America","Armenia","Europe",1993,0.59
"2109","Australia","Oceania","Armenia","Europe",1993,0.03
"2129","France","Europe","Armenia","Europe",1993,2.2
"2233","Denmark","Europe","Bangladesh","Asia",1993,28.85
"2267","Canada","North America","Bangladesh","Asia",1993,41.25
"2299","France","Europe","Bangladesh","Asia",1993,35.24
"2343","Switzerland","Europe","Bangladesh","Asia",1993,14.64
