"","source","donor.continent","target","target.continent","time","value"
"17","United Kingdom","Europe","Afghanistan","Asia",1973,0.43
"89","United States","North America","Afghanistan","Asia",1973,33
"110","Australia","Oceania","Afghanistan","Asia",1973,0.58
"151","New Zealand","Oceania","Afghanistan","Asia",1973,0.01
"300","Finland","Europe","Afghanistan","Asia",1973,0.02
"429","Germany","Europe","Afghanistan","Asia",1973,5.08
"440","Netherlands","Europe","Afghanistan","Asia",1973,0.35
"516","Switzerland","Europe","Afghanistan","Asia",1973,0.05
"573","Norway","Europe","Afghanistan","Asia",1973,0.02
"581","Denmark","Europe","Afghanistan","Asia",1973,0.12
"604","Italy","Europe","Afghanistan","Asia",1973,0.03
"632","Canada","North America","Afghanistan","Asia",1973,2.22
"806","Japan","Asia","Afghanistan","Asia",1973,0.9
"940","Belgium","Europe","Afghanistan","Asia",1973,0.01
"957","Sweden","Europe","Afghanistan","Asia",1973,0.42
"1028","Germany","Europe","Angola","Africa",1973,0.06
"1475","Switzerland","Europe","Angola","Africa",1973,0.1
"2245","United States","North America","Bangladesh","Asia",1973,135
"2250","Norway","Europe","Bangladesh","Asia",1973,1.9
"2264","Australia","Oceania","Bangladesh","Asia",1973,4.06
"2274","Italy","Europe","Bangladesh","Asia",1973,0.01
"2350","Finland","Europe","Bangladesh","Asia",1973,0.26
"2356","Germany","Europe","Bangladesh","Asia",1973,53.91
"2387","United Kingdom","Europe","Bangladesh","Asia",1973,6.54
"2761","Canada","North America","Bangladesh","Asia",1973,54.91
"2790","Netherlands","Europe","Bangladesh","Asia",1973,2.45
"2792","Japan","Asia","Bangladesh","Asia",1973,28.97
"2800","Denmark","Europe","Bangladesh","Asia",1973,5.43
"2831","France","Europe","Bangladesh","Asia",1973,1.3
"2894","Switzerland","Europe","Bangladesh","Asia",1973,0.27
"2956","Sweden","Europe","Bangladesh","Asia",1973,10.19
"2957","Belgium","Europe","Bangladesh","Asia",1973,1.04
"2958","New Zealand","Oceania","Bangladesh","Asia",1973,0.76
"3180","Germany","Europe","Benin","Africa",1973,1.65
"3323","France","Europe","Benin","Africa",1973,7.89
"3325","Netherlands","Europe","Benin","Africa",1973,0.18
"3386","Canada","North America","Benin","Africa",1973,1.4
"3563","Switzerland","Europe","Benin","Africa",1973,0.26
"3659","Denmark","Europe","Benin","Africa",1973,1.63
"3661","Austria","Europe","Benin","Africa",1973,0.15
"3719","United Kingdom","Europe","Benin","Africa",1973,0.08
"3818","Belgium","Europe","Benin","Africa",1973,0.41
"3940","Australia","Oceania","Bhutan","Asia",1973,0.19
"4244","Switzerland","Europe","Bhutan","Asia",1973,0.19
"4403","Norway","Europe","Bhutan","Asia",1973,0.01
"4496","Japan","Asia","Bhutan","Asia",1973,0.09
"4497","New Zealand","Oceania","Bhutan","Asia",1973,0.03
"4548","Italy","Europe","Bolivia","South America",1973,0.2
"4578","United States","North America","Bolivia","South America",1973,11
"4706","Netherlands","Europe","Bolivia","South America",1973,0.35
"4756","United Kingdom","Europe","Bolivia","South America",1973,0.2
"4768","Germany","Europe","Bolivia","South America",1973,3.28
"4793","Switzerland","Europe","Bolivia","South America",1973,0.53
"4901","Austria","Europe","Bolivia","South America",1973,0.12
"5223","Belgium","Europe","Bolivia","South America",1973,0.33
"5296","Canada","North America","Bolivia","South America",1973,0.48
"5332","Denmark","Europe","Bolivia","South America",1973,0.42
"5340","Japan","Asia","Bolivia","South America",1973,0.73
"5395","Austria","Europe","Burkina Faso","Africa",1973,0.34
"5501","Germany","Europe","Burkina Faso","Africa",1973,3.68
"5691","United States","North America","Burkina Faso","Africa",1973,6
"5944","France","Europe","Burkina Faso","Africa",1973,21.61
"5974","Italy","Europe","Burkina Faso","Africa",1973,0.18
"5999","Canada","North America","Burkina Faso","Africa",1973,1.37
"6017","Belgium","Europe","Burkina Faso","Africa",1973,0.95
"6091","Norway","Europe","Burkina Faso","Africa",1973,0.04
"6095","Netherlands","Europe","Burkina Faso","Africa",1973,0.15
"6116","United Kingdom","Europe","Burkina Faso","Africa",1973,0.05
"6129","Japan","Asia","Burkina Faso","Africa",1973,0.01
"6176","Switzerland","Europe","Burkina Faso","Africa",1973,0.35
