"","source","donor.continent","target","target.continent","time","value"
"20","United States","North America","Afghanistan","Asia",1977,12
"115","Austria","Europe","Afghanistan","Asia",1977,0.09
"137","United Kingdom","Europe","Afghanistan","Asia",1977,2.95
"248","Australia","Oceania","Afghanistan","Asia",1977,0.65
"306","Norway","Europe","Afghanistan","Asia",1977,0.06
"330","New Zealand","Oceania","Afghanistan","Asia",1977,0.01
"445","Germany","Europe","Afghanistan","Asia",1977,2.3
"469","Netherlands","Europe","Afghanistan","Asia",1977,1.56
"598","Switzerland","Europe","Afghanistan","Asia",1977,0.54
"663","Japan","Asia","Afghanistan","Asia",1977,6.08
"697","Denmark","Europe","Afghanistan","Asia",1977,0.06
"775","Canada","North America","Afghanistan","Asia",1977,0.34
"795","Belgium","Europe","Afghanistan","Asia",1977,0.03
"837","Italy","Europe","Afghanistan","Asia",1977,0.07
"853","Sweden","Europe","Afghanistan","Asia",1977,0.86
"1054","Italy","Europe","Angola","Africa",1977,0.56
"1061","Norway","Europe","Angola","Africa",1977,0.33
"1103","Belgium","Europe","Angola","Africa",1977,0.42
"1197","Netherlands","Europe","Angola","Africa",1977,4.72
"1235","Sweden","Europe","Angola","Africa",1977,1.64
"1515","Switzerland","Europe","Angola","Africa",1977,0.17
"1693","Denmark","Europe","Angola","Africa",1977,0.13
"2361","Netherlands","Europe","Bangladesh","Asia",1977,27.06
"2445","New Zealand","Oceania","Bangladesh","Asia",1977,0.36
"2463","United States","North America","Bangladesh","Asia",1977,81
"2504","France","Europe","Bangladesh","Asia",1977,9.6
"2546","Austria","Europe","Bangladesh","Asia",1977,0.01
"2552","Australia","Oceania","Bangladesh","Asia",1977,6.44
"2600","Japan","Asia","Bangladesh","Asia",1977,65.88
"2627","Finland","Europe","Bangladesh","Asia",1977,2
"2728","Belgium","Europe","Bangladesh","Asia",1977,4.85
"2747","Denmark","Europe","Bangladesh","Asia",1977,9.6
"2812","Canada","North America","Bangladesh","Asia",1977,42.14
"2823","Germany","Europe","Bangladesh","Asia",1977,51.83
"2855","Sweden","Europe","Bangladesh","Asia",1977,23.02
"2893","Norway","Europe","Bangladesh","Asia",1977,17.12
"2897","Italy","Europe","Bangladesh","Asia",1977,0.11
"2925","United Kingdom","Europe","Bangladesh","Asia",1977,38.38
"3043","Switzerland","Europe","Bangladesh","Asia",1977,4.57
"3046","Poland","Europe","Bangladesh","Asia",1977,0.5
"3052","Ireland","Europe","Bangladesh","Asia",1977,0.04
"3131","Belgium","Europe","Benin","Africa",1977,0.82
"3137","Netherlands","Europe","Benin","Africa",1977,0.67
"3378","Japan","Asia","Benin","Africa",1977,0.14
"3402","France","Europe","Benin","Africa",1977,10.2
"3425","Switzerland","Europe","Benin","Africa",1977,0.33
"3551","Canada","North America","Benin","Africa",1977,3.06
"3574","Italy","Europe","Benin","Africa",1977,0.08
"3589","United Kingdom","Europe","Benin","Africa",1977,0.02
"3685","United States","North America","Benin","Africa",1977,8
"3771","Germany","Europe","Benin","Africa",1977,2.79
"3861","Denmark","Europe","Benin","Africa",1977,0.5
"3926","Switzerland","Europe","Bhutan","Asia",1977,0.3
"3963","New Zealand","Oceania","Bhutan","Asia",1977,0.02
"4232","United Kingdom","Europe","Bhutan","Asia",1977,0.05
"4268","Japan","Asia","Bhutan","Asia",1977,0.06
"4444","Australia","Oceania","Bhutan","Asia",1977,0.19
"4627","United States","North America","Bolivia","South America",1977,23
"4652","United Kingdom","Europe","Bolivia","South America",1977,2.55
"4697","Belgium","Europe","Bolivia","South America",1977,2.58
"4827","Germany","Europe","Bolivia","South America",1977,12.06
"4875","Australia","Oceania","Bolivia","South America",1977,0.02
"4919","Austria","Europe","Bolivia","South America",1977,0.6
"4977","Japan","Asia","Bolivia","South America",1977,7.65
"5018","Italy","Europe","Bolivia","South America",1977,0.68
"5069","Switzerland","Europe","Bolivia","South America",1977,1.54
"5117","Canada","North America","Bolivia","South America",1977,0.05
"5190","Netherlands","Europe","Bolivia","South America",1977,2.2
"5378","Denmark","Europe","Bolivia","South America",1977,4.67
"5455","Austria","Europe","Burkina Faso","Africa",1977,0.47
"5500","United Kingdom","Europe","Burkina Faso","Africa",1977,0.1
"5512","Netherlands","Europe","Burkina Faso","Africa",1977,7.74
"5531","France","Europe","Burkina Faso","Africa",1977,28.3
"5599","Belgium","Europe","Burkina Faso","Africa",1977,0.69
"5657","Denmark","Europe","Burkina Faso","Africa",1977,0.09
"5676","Italy","Europe","Burkina Faso","Africa",1977,0.12
"5680","Switzerland","Europe","Burkina Faso","Africa",1977,2.95
"5936","Australia","Oceania","Burkina Faso","Africa",1977,0.05
"5975","Germany","Europe","Burkina Faso","Africa",1977,13.58
"6083","Norway","Europe","Burkina Faso","Africa",1977,2.15
"6087","Japan","Asia","Burkina Faso","Africa",1977,0.21
"6101","United States","North America","Burkina Faso","Africa",1977,14
"6221","Canada","North America","Burkina Faso","Africa",1977,1.24
"6465","Switzerland","Europe","Burundi","Africa",1977,0.45
"6470","Netherlands","Europe","Burundi","Africa",1977,0.51
"6600","United Kingdom","Europe","Burundi","Africa",1977,0.01
"6668","Belgium","Europe","Burundi","Africa",1977,16.52
"6716","Germany","Europe","Burundi","Africa",1977,3.78
"6772","United States","North America","Burundi","Africa",1977,1
"6904","France","Europe","Burundi","Africa",1977,6.2
"6915","Italy","Europe","Burundi","Africa",1977,0.18
"6927","Canada","North America","Burundi","Africa",1977,0.05
"6989","Austria","Europe","Burundi","Africa",1977,0.05
"7088","Switzerland","Europe","Cabo Verde","Africa",1977,0.14
"7091","Sweden","Europe","Cabo Verde","Africa",1977,5.66
"7122","United States","North America","Cabo Verde","Africa",1977,4
"7187","Canada","North America","Cabo Verde","Africa",1977,0.87
"7297","Norway","Europe","Cabo Verde","Africa",1977,0.02
"7304","Netherlands","Europe","Cabo Verde","Africa",1977,1.35
"7337","Italy","Europe","Cabo Verde","Africa",1977,0.18
"7385","Belgium","Europe","Cabo Verde","Africa",1977,0.64
"7409","France","Europe","Cabo Verde","Africa",1977,0.8
"7415","Denmark","Europe","Cabo Verde","Africa",1977,0.03
"7433","Germany","Europe","Cabo Verde","Africa",1977,2.06
"8096","United Kingdom","Europe","Cambodia","Asia",1977,0.01
"8113","Australia","Oceania","Cambodia","Asia",1977,0.07
"8190","New Zealand","Oceania","Cambodia","Asia",1977,0.05
"8465","Germany","Europe","Cambodia","Asia",1977,0.02
"8500","Switzerland","Europe","Cambodia","Asia",1977,0.01
"8573","Japan","Asia","Cambodia","Asia",1977,0.1
"8678","Switzerland","Europe","Cameroon","Africa",1977,2.84
"8801","Japan","Asia","Cameroon","Africa",1977,0.08
"8831","Norway","Europe","Cameroon","Africa",1977,9.53
"8833","United Kingdom","Europe","Cameroon","Africa",1977,0.78
"8842","United States","North America","Cameroon","Africa",1977,6
"9042","Austria","Europe","Cameroon","Africa",1977,26.16
"9158","Belgium","Europe","Cameroon","Africa",1977,1.84
"9193","Canada","North America","Cameroon","Africa",1977,8.71
"9254","France","Europe","Cameroon","Africa",1977,42.6
"9291","Germany","Europe","Cameroon","Africa",1977,20.27
"9428","Netherlands","Europe","Cameroon","Africa",1977,3.87
"9608","France","Europe","Central African Republic","Africa",1977,27
"9807","Austria","Europe","Central African Republic","Africa",1977,0.05
"9836","Italy","Europe","Central African Republic","Africa",1977,0.22
"9875","Belgium","Europe","Central African Republic","Africa",1977,0.19
"9896","Netherlands","Europe","Central African Republic","Africa",1977,0.12
"9919","Japan","Asia","Central African Republic","Africa",1977,0.01
"10111","Germany","Europe","Central African Republic","Africa",1977,2.45
"10117","Switzerland","Europe","Central African Republic","Africa",1977,0.05
"10137","Canada","North America","Central African Republic","Africa",1977,0.07
"10327","Norway","Europe","Chad","Africa",1977,1.05
"10367","Italy","Europe","Chad","Africa",1977,0.09
"10382","Belgium","Europe","Chad","Africa",1977,0.24
"10446","Netherlands","Europe","Chad","Africa",1977,1.67
"10506","United Kingdom","Europe","Chad","Africa",1977,1.21
"10523","Denmark","Europe","Chad","Africa",1977,0.1
"10530","United States","North America","Chad","Africa",1977,9
"10683","Switzerland","Europe","Chad","Africa",1977,0.93
"10689","France","Europe","Chad","Africa",1977,31.5
"10819","Canada","North America","Chad","Africa",1977,3.88
"10900","France","Europe","Comoros","Africa",1977,0.7
"10940","Netherlands","Europe","Comoros","Africa",1977,0.59
"10956","Switzerland","Europe","Comoros","Africa",1977,0.05
"11006","Italy","Europe","Comoros","Africa",1977,0.14
"11038","Germany","Europe","Comoros","Africa",1977,0.02
"11072","Norway","Europe","Comoros","Africa",1977,0.1
"11111","United Kingdom","Europe","Comoros","Africa",1977,0.01
"11140","Belgium","Europe","Comoros","Africa",1977,0.18
"11425","Austria","Europe","Congo","Africa",1977,0.01
"11437","United Kingdom","Europe","Congo","Africa",1977,0.14
"11448","Netherlands","Europe","Congo","Africa",1977,1.5
"11580","Belgium","Europe","Congo","Africa",1977,0.22
"11615","Norway","Europe","Congo","Africa",1977,0.03
"11708","Italy","Europe","Congo","Africa",1977,0.04
"11765","France","Europe","Congo","Africa",1977,28.1
"11845","Denmark","Europe","Congo","Africa",1977,0.01
"11850","Switzerland","Europe","Congo","Africa",1977,0.05
"11878","Canada","North America","Congo","Africa",1977,2.1
"11904","Germany","Europe","Congo","Africa",1977,0.53
"11974","Norway","Europe","Cote d'Ivoire","Africa",1977,0.08
"12028","Italy","Europe","Cote d'Ivoire","Africa",1977,0.12
"12224","France","Europe","Cote d'Ivoire","Africa",1977,55.7
"12227","Switzerland","Europe","Cote d'Ivoire","Africa",1977,0.07
"12285","Austria","Europe","Cote d'Ivoire","Africa",1977,0.15
"12363","United States","North America","Cote d'Ivoire","Africa",1977,1
"12390","Belgium","Europe","Cote d'Ivoire","Africa",1977,4.09
"12466","Netherlands","Europe","Cote d'Ivoire","Africa",1977,1.58
"12513","Japan","Asia","Cote d'Ivoire","Africa",1977,0.23
"12520","Germany","Europe","Cote d'Ivoire","Africa",1977,5.65
"12625","United Kingdom","Europe","Cote d'Ivoire","Africa",1977,0.15
"12740","Canada","North America","Cote d'Ivoire","Africa",1977,6.49
"13326","Austria","Europe","Democratic Republic of the Congo","Africa",1977,0.08
"13372","Italy","Europe","Democratic Republic of the Congo","Africa",1977,0.49
"13520","Switzerland","Europe","Democratic Republic of the Congo","Africa",1977,0.34
"13539","Canada","North America","Democratic Republic of the Congo","Africa",1977,1.81
"13650","Belgium","Europe","Democratic Republic of the Congo","Africa",1977,108.61
"13759","Norway","Europe","Democratic Republic of the Congo","Africa",1977,0.11
"13780","Denmark","Europe","Democratic Republic of the Congo","Africa",1977,2.05
"13845","United Kingdom","Europe","Democratic Republic of the Congo","Africa",1977,0.16
"13950","United States","North America","Democratic Republic of the Congo","Africa",1977,24
"14042","France","Europe","Democratic Republic of the Congo","Africa",1977,15
"14062","Japan","Asia","Democratic Republic of the Congo","Africa",1977,2.52
"14074","Netherlands","Europe","Democratic Republic of the Congo","Africa",1977,1.27
"14079","Germany","Europe","Democratic Republic of the Congo","Africa",1977,14.5
"14168","France","Europe","Djibouti","Africa",1977,32.6
"14304","Germany","Europe","Djibouti","Africa",1977,0.1
"14564","Australia","Oceania","Egypt","Africa",1977,0.02
"14589","Germany","Europe","Egypt","Africa",1977,54.72
"14630","Norway","Europe","Egypt","Africa",1977,0.16
"14646","United Kingdom","Europe","Egypt","Africa",1977,5.96
"14692","United States","North America","Egypt","Africa",1977,418
"14888","Finland","Europe","Egypt","Africa",1977,0.45
"14909","Netherlands","Europe","Egypt","Africa",1977,13.56
