"","source","donor.continent","target","target.continent","time","value"
"88","United States","North America","Afghanistan","Asia",1969,15
"179","United Kingdom","Europe","Afghanistan","Asia",1969,0.42
"230","Australia","Oceania","Afghanistan","Asia",1969,0.74
"231","Austria","Europe","Afghanistan","Asia",1969,0.01
"446","Denmark","Europe","Afghanistan","Asia",1969,0.02
"448","Italy","Europe","Afghanistan","Asia",1969,0.01
"528","Germany","Europe","Afghanistan","Asia",1969,5.57
"617","Japan","Asia","Afghanistan","Asia",1969,0.21
"715","Switzerland","Europe","Afghanistan","Asia",1969,0.02
"763","Sweden","Europe","Afghanistan","Asia",1969,0.51
"924","Canada","North America","Afghanistan","Asia",1969,0.01
"1329","Germany","Europe","Angola","Africa",1969,0.01
"1537","Switzerland","Europe","Angola","Africa",1969,0.02
"3150","Switzerland","Europe","Benin","Africa",1969,0.45
"3281","Belgium","Europe","Benin","Africa",1969,0.09
"3432","United States","North America","Benin","Africa",1969,1
"3448","France","Europe","Benin","Africa",1969,6.1
"3468","Germany","Europe","Benin","Africa",1969,0.19
"3717","Canada","North America","Benin","Africa",1969,0.3
"3903","United Kingdom","Europe","Benin","Africa",1969,0.05
"3934","Japan","Asia","Bhutan","Asia",1969,0.05
"4230","Australia","Oceania","Bhutan","Asia",1969,0.05
"4560","Switzerland","Europe","Bolivia","South America",1969,0.18
"4631","United Kingdom","Europe","Bolivia","South America",1969,1.4
"4651","Germany","Europe","Bolivia","South America",1969,2.25
"4834","Austria","Europe","Bolivia","South America",1969,0.07
"5161","Japan","Asia","Bolivia","South America",1969,0.06
"5278","Belgium","Europe","Bolivia","South America",1969,0.2
"5334","United States","North America","Bolivia","South America",1969,25
"5339","Italy","Europe","Bolivia","South America",1969,0.02
"5354","France","Europe","Bolivia","South America",1969,0.3
"5545","Canada","North America","Burkina Faso","Africa",1969,0.02
"5594","France","Europe","Burkina Faso","Africa",1969,11.5
"5617","Switzerland","Europe","Burkina Faso","Africa",1969,0.06
"5636","United States","North America","Burkina Faso","Africa",1969,2
"5860","Austria","Europe","Burkina Faso","Africa",1969,0.13
"5952","Belgium","Europe","Burkina Faso","Africa",1969,0.04
"6011","Germany","Europe","Burkina Faso","Africa",1969,1.4
"6100","United Kingdom","Europe","Burkina Faso","Africa",1969,0.01
"6323","Switzerland","Europe","Burundi","Africa",1969,0.17
"6558","Germany","Europe","Burundi","Africa",1969,0.56
"6612","Belgium","Europe","Burundi","Africa",1969,8.29
"6706","Sweden","Europe","Burundi","Africa",1969,0.3
"6758","United Kingdom","Europe","Burundi","Africa",1969,0.02
"6778","Canada","North America","Burundi","Africa",1969,0.02
"6980","France","Europe","Burundi","Africa",1969,1.2
"7268","Germany","Europe","Cabo Verde","Africa",1969,0.01
"7770","Japan","Asia","Cambodia","Asia",1969,2.97
"7785","Australia","Oceania","Cambodia","Asia",1969,0.3
"7872","Belgium","Europe","Cambodia","Asia",1969,0.02
"8055","Germany","Europe","Cambodia","Asia",1969,1.02
"8078","Canada","North America","Cambodia","Asia",1969,0.19
"8224","United Kingdom","Europe","Cambodia","Asia",1969,0.9
"8376","France","Europe","Cambodia","Asia",1969,5.4
"8474","Italy","Europe","Cambodia","Asia",1969,0.01
"8704","Germany","Europe","Cameroon","Africa",1969,3.47
"8812","Switzerland","Europe","Cameroon","Africa",1969,0.64
"8876","United Kingdom","Europe","Cameroon","Africa",1969,0.58
"8895","Belgium","Europe","Cameroon","Africa",1969,0.2
"9017","Canada","North America","Cameroon","Africa",1969,1.57
"9129","France","Europe","Cameroon","Africa",1969,16.2
"9258","Norway","Europe","Cameroon","Africa",1969,0.03
"9380","United States","North America","Cameroon","Africa",1969,2
"9453","Italy","Europe","Cameroon","Africa",1969,2.77
"9464","Denmark","Europe","Cameroon","Africa",1969,0.01
"9491","United Kingdom","Europe","Central African Republic","Africa",1969,0.12
"9527","Germany","Europe","Central African Republic","Africa",1969,1.76
"9859","Belgium","Europe","Central African Republic","Africa",1969,0.03
"9868","Canada","North America","Central African Republic","Africa",1969,0.02
"9901","France","Europe","Central African Republic","Africa",1969,11.8
"9936","Italy","Europe","Central African Republic","Africa",1969,0.02
"10130","Sweden","Europe","Central African Republic","Africa",1969,0.04
"10220","Germany","Europe","Chad","Africa",1969,0.66
"10224","United States","North America","Chad","Africa",1969,1
"10272","United Kingdom","Europe","Chad","Africa",1969,0.01
"10282","Belgium","Europe","Chad","Africa",1969,0.02
"10309","France","Europe","Chad","Africa",1969,12.2
"10638","Switzerland","Europe","Chad","Africa",1969,0.12
"10671","Denmark","Europe","Chad","Africa",1969,0.05
"10782","Canada","North America","Chad","Africa",1969,0.23
"10831","Italy","Europe","Chad","Africa",1969,0.02
"11204","France","Europe","Comoros","Africa",1969,6.3
"11290","Switzerland","Europe","Congo","Africa",1969,0.04
"11300","Germany","Europe","Congo","Africa",1969,0.35
"11335","United Kingdom","Europe","Congo","Africa",1969,0.02
"11364","Belgium","Europe","Congo","Africa",1969,0.03
"11675","Canada","North America","Congo","Africa",1969,0.03
"11911","France","Europe","Congo","Africa",1969,12.6
"11965","United Kingdom","Europe","Cote d'Ivoire","Africa",1969,0.14
"11982","Germany","Europe","Cote d'Ivoire","Africa",1969,5.89
"11987","France","Europe","Cote d'Ivoire","Africa",1969,26.3
"12024","Japan","Asia","Cote d'Ivoire","Africa",1969,0.01
"12108","Switzerland","Europe","Cote d'Ivoire","Africa",1969,0.03
"12215","Belgium","Europe","Cote d'Ivoire","Africa",1969,0.16
"12291","Canada","North America","Cote d'Ivoire","Africa",1969,0.85
"12327","United States","North America","Cote d'Ivoire","Africa",1969,4
"12478","Italy","Europe","Cote d'Ivoire","Africa",1969,0.01
"13199","United Kingdom","Europe","Democratic Republic of the Congo","Africa",1969,0.01
"13364","Switzerland","Europe","Democratic Republic of the Congo","Africa",1969,0.25
"13540","France","Europe","Democratic Republic of the Congo","Africa",1969,4.2
"13623","United States","North America","Democratic Republic of the Congo","Africa",1969,12
"13656","Austria","Europe","Democratic Republic of the Congo","Africa",1969,0.02
"13710","Canada","North America","Democratic Republic of the Congo","Africa",1969,0.2
"13781","Sweden","Europe","Democratic Republic of the Congo","Africa",1969,0.12
"13901","Norway","Europe","Democratic Republic of the Congo","Africa",1969,0.3
"13961","Belgium","Europe","Democratic Republic of the Congo","Africa",1969,46.76
"13981","Italy","Europe","Democratic Republic of the Congo","Africa",1969,0.18
"13987","Japan","Asia","Democratic Republic of the Congo","Africa",1969,0.3
"14036","Denmark","Europe","Democratic Republic of the Congo","Africa",1969,1.89
"14307","France","Europe","Djibouti","Africa",1969,10.3
"14599","Switzerland","Europe","Egypt","Africa",1969,0.16
"14622","Germany","Europe","Egypt","Africa",1969,3.66
"14675","United Kingdom","Europe","Egypt","Africa",1969,0.07
"14947","Japan","Asia","Egypt","Africa",1969,0.11
"15013","Norway","Europe","Egypt","Africa",1969,0.06
"15220","France","Europe","Egypt","Africa",1969,0.3
"15332","Denmark","Europe","Egypt","Africa",1969,0.45
"15447","Belgium","Europe","Egypt","Africa",1969,0.16
"15549","Switzerland","Europe","El Salvador","North America",1969,0.01
"15783","Canada","North America","El Salvador","North America",1969,1.41
"15785","United States","North America","El Salvador","North America",1969,9
"15848","Sweden","Europe","El Salvador","North America",1969,0.01
"15895","Germany","Europe","El Salvador","North America",1969,0.35
"16008","Japan","Asia","El Salvador","North America",1969,0.11
"16180","United Kingdom","Europe","El Salvador","North America",1969,0.18
"16297","Belgium","Europe","El Salvador","North America",1969,0.04
"17177","Germany","Europe","Ethiopia","Africa",1969,3.68
"17201","Canada","North America","Ethiopia","Africa",1969,0.04
"17291","Italy","Europe","Ethiopia","Africa",1969,1.89
"17327","United States","North America","Ethiopia","Africa",1969,15
"17437","Japan","Asia","Ethiopia","Africa",1969,0.28
"17458","Australia","Oceania","Ethiopia","Africa",1969,0.01
"17497","Sweden","Europe","Ethiopia","Africa",1969,8.16
"17520","Denmark","Europe","Ethiopia","Africa",1969,0.07
"17701","Norway","Europe","Ethiopia","Africa",1969,0.2
"17962","Switzerland","Europe","Ethiopia","Africa",1969,0.01
"18018","United Kingdom","Europe","Ethiopia","Africa",1969,0.77
"18032","Belgium","Europe","Ethiopia","Africa",1969,0.08
"18285","Canada","North America","Gambia","Africa",1969,0.05
"18421","Germany","Europe","Gambia","Africa",1969,0.16
"18444","Australia","Oceania","Gambia","Africa",1969,0.03
"18626","Switzerland","Europe","Gambia","Africa",1969,0.01
"18643","United States","North America","Gambia","Africa",1969,1
"18916","United Kingdom","Europe","Gambia","Africa",1969,2.16
"19535","Australia","Oceania","Ghana","Africa",1969,0.12
"19627","Germany","Europe","Ghana","Africa",1969,7.04
"19760","France","Europe","Ghana","Africa",1969,2.7
"19802","Japan","Asia","Ghana","Africa",1969,0.29
"19874","Switzerland","Europe","Ghana","Africa",1969,0.18
"19880","Norway","Europe","Ghana","Africa",1969,0.36
"19896","Canada","North America","Ghana","Africa",1969,4.07
"20010","United Kingdom","Europe","Ghana","Africa",1969,13.02
"20138","United States","North America","Ghana","Africa",1969,31
"20459","Denmark","Europe","Ghana","Africa",1969,1.98
"20462","Italy","Europe","Ghana","Africa",1969,0.02
"20616","Germany","Europe","Guatemala","North America",1969,1.37
"20734","Switzerland","Europe","Guatemala","North America",1969,0.01
"20744","Sweden","Europe","Guatemala","North America",1969,0.01
"20808","Japan","Asia","Guatemala","North America",1969,0.01
"20865","United Kingdom","Europe","Guatemala","North America",1969,0.01
"20961","United States","North America","Guatemala","North America",1969,11
"21093","Austria","Europe","Guatemala","North America",1969,0.03
"21131","Belgium","Europe","Guatemala","North America",1969,0.01
"21222","Italy","Europe","Guatemala","North America",1969,0.01
"21476","Germany","Europe","Guinea","Africa",1969,1.52
"21540","Switzerland","Europe","Guinea","Africa",1969,0.03
"21730","Canada","North America","Guinea","Africa",1969,0.02
"21759","Italy","Europe","Guinea","Africa",1969,3.24
"21855","Belgium","Europe","Guinea","Africa",1969,0.02
"21898","United States","North America","Guinea","Africa",1969,8
"22105","Switzerland","Europe","Guinea-Bissau","Africa",1969,0.05
"22192","Japan","Asia","Guinea-Bissau","Africa",1969,0.01
"22367","Germany","Europe","Guinea-Bissau","Africa",1969,0.01
"22770","Germany","Europe","Guyana","South America",1969,0.06
"22795","United Kingdom","Europe","Guyana","South America",1969,4.85
"23020","United States","North America","Guyana","South America",1969,10
"23064","Canada","North America","Guyana","South America",1969,2.27
"23398","United States","North America","Haiti","North America",1969,3
"23739","Switzerland","Europe","Haiti","North America",1969,0.06
"23831","Germany","Europe","Haiti","North America",1969,0.23
