"","source","donor.continent","target","target.continent","time","value"
"45","Korea","Asia","Afghanistan","Asia",2005,8.89
"94","Germany","Europe","Afghanistan","Asia",2005,99.23
"112","Slovak Republic","Europe","Afghanistan","Asia",2005,4.41
"131","Greece","Europe","Afghanistan","Asia",2005,17.28
"170","United States","North America","Afghanistan","Asia",2005,1318.3
"195","Denmark","Europe","Afghanistan","Asia",2005,23.64
"223","Poland","Europe","Afghanistan","Asia",2005,0.33
"278","Italy","Europe","Afghanistan","Asia",2005,27.39
"296","Belgium","Europe","Afghanistan","Asia",2005,5.08
"319","Austria","Europe","Afghanistan","Asia",2005,7.68
"355","Spain","Europe","Afghanistan","Asia",2005,19
"370","Iceland","Europe","Afghanistan","Asia",2005,2.91
"396","Australia","Oceania","Afghanistan","Asia",2005,15.85
"432","Japan","Asia","Afghanistan","Asia",2005,71.05
"451","Sweden","Europe","Afghanistan","Asia",2005,44.22
"515","Czech Republic","Europe","Afghanistan","Asia",2005,1.96
"537","Hungary","Europe","Afghanistan","Asia",2005,0.07
"541","Switzerland","Europe","Afghanistan","Asia",2005,17.67
"551","Ireland","Europe","Afghanistan","Asia",2005,3.13
"564","United Kingdom","Europe","Afghanistan","Asia",2005,219.92
"625","Luxembourg","Europe","Afghanistan","Asia",2005,1.46
"674","Canada","North America","Afghanistan","Asia",2005,89.47
"760","Portugal","Europe","Afghanistan","Asia",2005,5.55
"764","Finland","Europe","Afghanistan","Asia",2005,14.57
"832","New Zealand","Oceania","Afghanistan","Asia",2005,9.22
"842","France","Europe","Afghanistan","Asia",2005,17.71
"908","Netherlands","Europe","Afghanistan","Asia",2005,79.09
"946","Norway","Europe","Afghanistan","Asia",2005,59.95
"967","Denmark","Europe","Angola","Africa",2005,4.22
"977","Korea","Asia","Angola","Africa",2005,0.02
"982","Czech Republic","Europe","Angola","Africa",2005,0.33
"990","Belgium","Europe","Angola","Africa",2005,2.51
"1106","United Kingdom","Europe","Angola","Africa",2005,14.05
"1115","Finland","Europe","Angola","Africa",2005,2.91
"1134","Greece","Europe","Angola","Africa",2005,0.37
"1166","Canada","North America","Angola","Africa",2005,4.04
"1226","Switzerland","Europe","Angola","Africa",2005,5.11
"1294","Germany","Europe","Angola","Africa",2005,12.24
"1440","United States","North America","Angola","Africa",2005,67.24
"1495","Japan","Asia","Angola","Africa",2005,26.3
"1535","Ireland","Europe","Angola","Africa",2005,3.55
"1579","Austria","Europe","Angola","Africa",2005,1.74
"1604","France","Europe","Angola","Africa",2005,9.93
"1613","Slovak Republic","Europe","Angola","Africa",2005,0.02
"1617","Netherlands","Europe","Angola","Africa",2005,12.8
"1621","Norway","Europe","Angola","Africa",2005,20.91
"1644","Italy","Europe","Angola","Africa",2005,11.55
"1647","Poland","Europe","Angola","Africa",2005,0.18
"1648","Sweden","Europe","Angola","Africa",2005,11.15
"1684","Portugal","Europe","Angola","Africa",2005,20.93
"1687","Spain","Europe","Angola","Africa",2005,16.13
"1753","Italy","Europe","Armenia","Europe",2005,1.24
"1757","Spain","Europe","Armenia","Europe",2005,0.39
"1767","Czech Republic","Europe","Armenia","Europe",2005,0.5
"1771","Germany","Europe","Armenia","Europe",2005,29.98
"1795","Greece","Europe","Armenia","Europe",2005,1.98
"1803","Denmark","Europe","Armenia","Europe",2005,0.16
"1836","Belgium","Europe","Armenia","Europe",2005,0.29
"1904","Austria","Europe","Armenia","Europe",2005,1.73
"1923","Finland","Europe","Armenia","Europe",2005,0.07
"1930","Luxembourg","Europe","Armenia","Europe",2005,0.08
"1951","United States","North America","Armenia","Europe",2005,53.26
"1986","Switzerland","Europe","Armenia","Europe",2005,2.23
"2021","United Kingdom","Europe","Armenia","Europe",2005,6.22
"2070","Ireland","Europe","Armenia","Europe",2005,0.2
"2073","Korea","Asia","Armenia","Europe",2005,0.06
"2103","Netherlands","Europe","Armenia","Europe",2005,11.64
"2145","Canada","North America","Armenia","Europe",2005,0.97
"2163","Japan","Asia","Armenia","Europe",2005,5.37
"2174","Norway","Europe","Armenia","Europe",2005,5.18
"2175","France","Europe","Armenia","Europe",2005,3.81
"2177","Poland","Europe","Armenia","Europe",2005,0.1
"2192","Sweden","Europe","Armenia","Europe",2005,1.57
"2221","Ireland","Europe","Bangladesh","Asia",2005,1.58
"2227","Poland","Europe","Bangladesh","Asia",2005,0.01
"2347","Germany","Europe","Bangladesh","Asia",2005,46.07
"2362","United States","North America","Bangladesh","Asia",2005,49.15
"2366","Australia","Oceania","Bangladesh","Asia",2005,15.09
"2494","Finland","Europe","Bangladesh","Asia",2005,0.98
"2499","Spain","Europe","Bangladesh","Asia",2005,0.21
"2531","Denmark","Europe","Bangladesh","Asia",2005,50.36
"2580","United Kingdom","Europe","Bangladesh","Asia",2005,203.27
"2598","Greece","Europe","Bangladesh","Asia",2005,0.03
"2604","Korea","Asia","Bangladesh","Asia",2005,31.94
"2651","Czech Republic","Europe","Bangladesh","Asia",2005,0.01
"2674","Sweden","Europe","Bangladesh","Asia",2005,23.89
"2707","Italy","Europe","Bangladesh","Asia",2005,1.87
"2713","Canada","North America","Bangladesh","Asia",2005,50.75
"2815","Luxembourg","Europe","Bangladesh","Asia",2005,0.3
"2840","Netherlands","Europe","Bangladesh","Asia",2005,60.68
"2885","Austria","Europe","Bangladesh","Asia",2005,2.75
"2917","Norway","Europe","Bangladesh","Asia",2005,32.91
"3075","New Zealand","Oceania","Bangladesh","Asia",2005,0.92
"3080","Switzerland","Europe","Bangladesh","Asia",2005,10.7
"3294","Switzerland","Europe","Benin","Africa",2005,8.7
"3321","Greece","Europe","Benin","Africa",2005,0.18
"3371","Sweden","Europe","Benin","Africa",2005,1.42
"3395","Austria","Europe","Benin","Africa",2005,0.04
"3408","Germany","Europe","Benin","Africa",2005,27.6
"3501","Ireland","Europe","Benin","Africa",2005,0.03
"3507","Luxembourg","Europe","Benin","Africa",2005,1.58
"3508","Belgium","Europe","Benin","Africa",2005,13.12
"3620","Norway","Europe","Benin","Africa",2005,0.06
"3625","Denmark","Europe","Benin","Africa",2005,35.87
"3666","Spain","Europe","Benin","Africa",2005,0.45
"3729","Korea","Asia","Benin","Africa",2005,0.08
"3734","Japan","Asia","Benin","Africa",2005,17.86
"3742","France","Europe","Benin","Africa",2005,42.72
"3775","Czech Republic","Europe","Benin","Africa",2005,0.01
"3801","Netherlands","Europe","Benin","Africa",2005,22.7
"3804","United States","North America","Benin","Africa",2005,24.41
"3868","Italy","Europe","Benin","Africa",2005,0.02
"3880","Canada","North America","Benin","Africa",2005,10.84
"3969","Finland","Europe","Bhutan","Asia",2005,0.08
"3971","Denmark","Europe","Bhutan","Asia",2005,17.93
"4088","Australia","Oceania","Bhutan","Asia",2005,0.86
"4102","Netherlands","Europe","Bhutan","Asia",2005,8.37
"4137","Japan","Asia","Bhutan","Asia",2005,16.8
"4180","New Zealand","Oceania","Bhutan","Asia",2005,0.35
"4191","Switzerland","Europe","Bhutan","Asia",2005,5.17
"4282","France","Europe","Bhutan","Asia",2005,0.18
"4391","Korea","Asia","Bhutan","Asia",2005,0.26
"4412","Germany","Europe","Bhutan","Asia",2005,1.44
"4420","Norway","Europe","Bhutan","Asia",2005,0.81
"4462","Sweden","Europe","Bhutan","Asia",2005,0.25
"4484","Austria","Europe","Bhutan","Asia",2005,3.65
"4492","Canada","North America","Bhutan","Asia",2005,1.05
"4541","Czech Republic","Europe","Bolivia","South America",2005,0.14
"4611","Spain","Europe","Bolivia","South America",2005,66.68
"4613","Denmark","Europe","Bolivia","South America",2005,26.16
"4659","Belgium","Europe","Bolivia","South America",2005,10.33
"4718","Italy","Europe","Bolivia","South America",2005,4.58
"4724","Japan","Asia","Bolivia","South America",2005,40.58
"4795","Germany","Europe","Bolivia","South America",2005,51.43
"4826","Austria","Europe","Bolivia","South America",2005,0.24
"4853","Netherlands","Europe","Bolivia","South America",2005,46.68
"4859","Finland","Europe","Bolivia","South America",2005,0.28
"4883","Korea","Asia","Bolivia","South America",2005,4.36
"4896","Canada","North America","Bolivia","South America",2005,14.87
"5024","Luxembourg","Europe","Bolivia","South America",2005,1.12
"5179","Ireland","Europe","Bolivia","South America",2005,0.12
"5198","Switzerland","Europe","Bolivia","South America",2005,17.99
"5205","Norway","Europe","Bolivia","South America",2005,3.7
"5206","France","Europe","Bolivia","South America",2005,16.42
"5350","United States","North America","Bolivia","South America",2005,139.61
"5367","Sweden","Europe","Bolivia","South America",2005,20.76
"5487","Netherlands","Europe","Burkina Faso","Africa",2005,53.75
"5488","Denmark","Europe","Burkina Faso","Africa",2005,48.79
"5493","Italy","Europe","Burkina Faso","Africa",2005,1.5
"5573","Germany","Europe","Burkina Faso","Africa",2005,29.7
"5729","Sweden","Europe","Burkina Faso","Africa",2005,15.21
"5752","Korea","Asia","Burkina Faso","Africa",2005,0.13
"5799","Belgium","Europe","Burkina Faso","Africa",2005,11.75
"5800","Switzerland","Europe","Burkina Faso","Africa",2005,20.8
"5803","Czech Republic","Europe","Burkina Faso","Africa",2005,0.29
"5925","Finland","Europe","Burkina Faso","Africa",2005,1.21
"5945","United States","North America","Burkina Faso","Africa",2005,20.11
"5993","Norway","Europe","Burkina Faso","Africa",2005,0.22
