"","source","donor.continent","target","target.continent","time","value"
"277","Japan","Asia","Afghanistan","Asia",1963,0.07
"439","Germany","Europe","Afghanistan","Asia",1963,2.81
"623","United States","North America","Afghanistan","Asia",1963,32
"1541","Germany","Europe","Angola","Africa",1963,0.01
"3745","Germany","Europe","Benin","Africa",1963,1.22
"3759","Canada","North America","Benin","Africa",1963,0.01
"3783","United States","North America","Benin","Africa",1963,1
"3949","Japan","Asia","Bhutan","Asia",1963,0.01
"4665","Japan","Asia","Bolivia","South America",1963,0.04
"4855","Austria","Europe","Bolivia","South America",1963,0.01
"4879","United States","North America","Bolivia","South America",1963,44
"4884","United Kingdom","Europe","Bolivia","South America",1963,0.55
"5080","Germany","Europe","Bolivia","South America",1963,2.28
"5238","Sweden","Europe","Bolivia","South America",1963,0.01
"5301","Switzerland","Europe","Bolivia","South America",1963,0.01
"5469","United States","North America","Burkina Faso","Africa",1963,1
"5712","Switzerland","Europe","Burkina Faso","Africa",1963,0.01
"6096","Germany","Europe","Burkina Faso","Africa",1963,0.07
"6475","Germany","Europe","Burundi","Africa",1963,0.02
"6606","United States","North America","Burundi","Africa",1963,1
"6982","Belgium","Europe","Burundi","Africa",1963,5.13
"6987","Switzerland","Europe","Burundi","Africa",1963,0.04
"8264","Japan","Asia","Cambodia","Asia",1963,0.78
"8273","United Kingdom","Europe","Cambodia","Asia",1963,0.06
"8278","United States","North America","Cambodia","Asia",1963,20
"8299","Canada","North America","Cambodia","Asia",1963,0.11
"8301","Germany","Europe","Cambodia","Asia",1963,0.06
"8525","France","Europe","Cambodia","Asia",1963,1.8
"8733","Switzerland","Europe","Cameroon","Africa",1963,0.01
"8748","United States","North America","Cameroon","Africa",1963,3
"9292","Germany","Europe","Cameroon","Africa",1963,0.47
"9401","Canada","North America","Cameroon","Africa",1963,0.01
"9984","Sweden","Europe","Central African Republic","Africa",1963,0.05
"10140","Germany","Europe","Central African Republic","Africa",1963,0.01
"10165","Canada","North America","Central African Republic","Africa",1963,0.01
"10725","Germany","Europe","Chad","Africa",1963,0.08
"11653","Canada","North America","Congo","Africa",1963,0.01
"11832","United States","North America","Congo","Africa",1963,1
"11855","Germany","Europe","Congo","Africa",1963,0.05
"11994","United States","North America","Cote d'Ivoire","Africa",1963,2
"12519","Germany","Europe","Cote d'Ivoire","Africa",1963,0.11
"13197","United States","North America","Democratic Republic of the Congo","Africa",1963,36
"13510","Switzerland","Europe","Democratic Republic of the Congo","Africa",1963,0.09
"13707","Austria","Europe","Democratic Republic of the Congo","Africa",1963,0.01
"13813","Belgium","Europe","Democratic Republic of the Congo","Africa",1963,64.33
"13896","Germany","Europe","Democratic Republic of the Congo","Africa",1963,3.96
"14636","Italy","Europe","Egypt","Africa",1963,8.13
"14903","Japan","Asia","Egypt","Africa",1963,0.05
"14960","Germany","Europe","Egypt","Africa",1963,10.86
"15016","Sweden","Europe","Egypt","Africa",1963,0.03
"15218","United Kingdom","Europe","Egypt","Africa",1963,5.99
"15519","United States","North America","Egypt","Africa",1963,174
"15623","United States","North America","El Salvador","North America",1963,11
"15920","Japan","Asia","El Salvador","North America",1963,0.04
"16125","Germany","Europe","El Salvador","North America",1963,0.01
"17184","United States","North America","Ethiopia","Africa",1963,19
"17412","Austria","Europe","Ethiopia","Africa",1963,0.04
"17506","Italy","Europe","Ethiopia","Africa",1963,1.87
"17554","Japan","Asia","Ethiopia","Africa",1963,0.01
"17892","Sweden","Europe","Ethiopia","Africa",1963,0.95
"18079","Germany","Europe","Ethiopia","Africa",1963,0.69
"18151","Switzerland","Europe","Ethiopia","Africa",1963,0.01
"18434","United Kingdom","Europe","Gambia","Africa",1963,5.06
"19581","United States","North America","Ghana","Africa",1963,13
"19707","Japan","Asia","Ghana","Africa",1963,0.05
"19843","United Kingdom","Europe","Ghana","Africa",1963,3.24
