"","source","donor.continent","target","target.continent","time","value"
"138","Germany","Europe","Afghanistan","Asia",1966,16.41
"159","Norway","Europe","Afghanistan","Asia",1966,0.01
"311","Japan","Asia","Afghanistan","Asia",1966,0.1
"427","Canada","North America","Afghanistan","Asia",1966,0.03
"504","Australia","Oceania","Afghanistan","Asia",1966,0.04
"507","Austria","Europe","Afghanistan","Asia",1966,0.03
"534","United States","North America","Afghanistan","Asia",1966,29.97
"885","United Kingdom","Europe","Afghanistan","Asia",1966,0.37
"1114","Portugal","Europe","Angola","Africa",1966,2.86
"3192","Canada","North America","Benin","Africa",1966,0.14
"3193","United Kingdom","Europe","Benin","Africa",1966,0.04
"3438","Germany","Europe","Benin","Africa",1966,0.5
"3721","United States","North America","Benin","Africa",1966,0.79
"3778","Belgium","Europe","Benin","Africa",1966,0.06
"3800","France","Europe","Benin","Africa",1966,8.8
"3852","Switzerland","Europe","Benin","Africa",1966,0.02
"3922","Australia","Oceania","Bhutan","Asia",1966,0.02
"4295","United Kingdom","Europe","Bhutan","Asia",1966,0.02
"4475","Japan","Asia","Bhutan","Asia",1966,0.01
"4536","Germany","Europe","Bolivia","South America",1966,1.08
"4644","Austria","Europe","Bolivia","South America",1966,0.05
"4844","United Kingdom","Europe","Bolivia","South America",1966,0.18
"5067","Japan","Asia","Bolivia","South America",1966,0.04
"5242","United States","North America","Bolivia","South America",1966,21.24
"5375","Belgium","Europe","Bolivia","South America",1966,0.1
"5451","Austria","Europe","Burkina Faso","Africa",1966,0.19
"5607","Canada","North America","Burkina Faso","Africa",1966,0.01
"5823","France","Europe","Burkina Faso","Africa",1966,8.7
"5859","Germany","Europe","Burkina Faso","Africa",1966,0.29
"6138","Switzerland","Europe","Burkina Faso","Africa",1966,0.03
"6213","United States","North America","Burkina Faso","Africa",1966,0.96
"6338","Austria","Europe","Burundi","Africa",1966,0.02
"6440","United States","North America","Burundi","Africa",1966,0.73
"6443","Germany","Europe","Burundi","Africa",1966,0.5
"6825","United Kingdom","Europe","Burundi","Africa",1966,0.03
"6952","Switzerland","Europe","Burundi","Africa",1966,0.03
"7009","France","Europe","Burundi","Africa",1966,0.5
"7018","Denmark","Europe","Burundi","Africa",1966,0.01
"7047","Belgium","Europe","Burundi","Africa",1966,4.94
"7468","Portugal","Europe","Cabo Verde","Africa",1966,2.41
"7761","Australia","Oceania","Cambodia","Asia",1966,0.63
"8169","Canada","North America","Cambodia","Asia",1966,0.12
"8178","United States","North America","Cambodia","Asia",1966,0.46
"8235","France","Europe","Cambodia","Asia",1966,7.9
"8237","Switzerland","Europe","Cambodia","Asia",1966,0.02
"8310","Germany","Europe","Cambodia","Asia",1966,0.61
"8477","Japan","Asia","Cambodia","Asia",1966,0.56
"8879","Germany","Europe","Cameroon","Africa",1966,1.9
"8974","Switzerland","Europe","Cameroon","Africa",1966,0.32
"9136","France","Europe","Cameroon","Africa",1966,18
"9237","Canada","North America","Cameroon","Africa",1966,0.58
"9347","United Kingdom","Europe","Cameroon","Africa",1966,0.3
"9442","United States","North America","Cameroon","Africa",1966,4.49
"9727","Germany","Europe","Central African Republic","Africa",1966,0.1
"9796","Canada","North America","Central African Republic","Africa",1966,0.01
"9992","France","Europe","Central African Republic","Africa",1966,9.9
"10136","United States","North America","Central African Republic","Africa",1966,0.96
"10276","France","Europe","Chad","Africa",1966,12.3
"10395","United States","North America","Chad","Africa",1966,1.31
"10558","Germany","Europe","Chad","Africa",1966,0.58
"10624","Canada","North America","Chad","Africa",1966,0.15
"10812","Switzerland","Europe","Chad","Africa",1966,0.06
"11194","France","Europe","Comoros","Africa",1966,6.1
"11269","Germany","Europe","Congo","Africa",1966,0.91
"11505","Canada","North America","Congo","Africa",1966,0.05
"11592","United Kingdom","Europe","Congo","Africa",1966,0.05
"11839","France","Europe","Congo","Africa",1966,12.7
"11926","United States","North America","Congo","Africa",1966,2.36
"12021","Germany","Europe","Cote d'Ivoire","Africa",1966,1.43
"12125","United Kingdom","Europe","Cote d'Ivoire","Africa",1966,0.03
