"","source","donor.continent","target","target.continent","time","value"
"28","Sweden","Europe","Afghanistan","Asia",1968,0.25
"70","Germany","Europe","Afghanistan","Asia",1968,6.84
"108","Australia","Oceania","Afghanistan","Asia",1968,0.06
"603","Denmark","Europe","Afghanistan","Asia",1968,0.02
"651","Japan","Asia","Afghanistan","Asia",1968,0.16
"652","United States","North America","Afghanistan","Asia",1968,16.92
"695","Italy","Europe","Afghanistan","Asia",1968,0.01
"709","Canada","North America","Afghanistan","Asia",1968,0.01
"807","Switzerland","Europe","Afghanistan","Asia",1968,0.01
"887","Austria","Europe","Afghanistan","Asia",1968,0.02
"900","United Kingdom","Europe","Afghanistan","Asia",1968,0.2
"1095","Germany","Europe","Angola","Africa",1968,0.01
"3140","France","Europe","Benin","Africa",1968,6
"3249","Germany","Europe","Benin","Africa",1968,0.3
"3253","Belgium","Europe","Benin","Africa",1968,0.08
"3266","Canada","North America","Benin","Africa",1968,0.24
"3334","United Kingdom","Europe","Benin","Africa",1968,0.02
"3410","Switzerland","Europe","Benin","Africa",1968,0.21
"3566","United States","North America","Benin","Africa",1968,0.78
"3664","Italy","Europe","Benin","Africa",1968,1.11
"4228","Japan","Asia","Bhutan","Asia",1968,0.03
"4395","Australia","Oceania","Bhutan","Asia",1968,0.11
"4529","Switzerland","Europe","Bolivia","South America",1968,0.02
"4637","Italy","Europe","Bolivia","South America",1968,0.02
"4666","Austria","Europe","Bolivia","South America",1968,0.01
"4765","Japan","Asia","Bolivia","South America",1968,0.08
"4797","Germany","Europe","Bolivia","South America",1968,2.86
"5199","Belgium","Europe","Bolivia","South America",1968,0.15
"5229","United States","North America","Bolivia","South America",1968,37.76
"5368","United Kingdom","Europe","Bolivia","South America",1968,0.13
"5412","Canada","North America","Burkina Faso","Africa",1968,0.02
"5452","Belgium","Europe","Burkina Faso","Africa",1968,0.02
"5592","France","Europe","Burkina Faso","Africa",1968,12.6
"5693","Germany","Europe","Burkina Faso","Africa",1968,1.39
"6053","Switzerland","Europe","Burkina Faso","Africa",1968,0.07
"6126","United States","North America","Burkina Faso","Africa",1968,1.63
"6281","Germany","Europe","Burundi","Africa",1968,0.68
"6603","Switzerland","Europe","Burundi","Africa",1968,0.05
"6703","Canada","North America","Burundi","Africa",1968,0.01
"6709","Belgium","Europe","Burundi","Africa",1968,7.82
"6838","United States","North America","Burundi","Africa",1968,0.22
"6865","France","Europe","Burundi","Africa",1968,1.3
"7042","United Kingdom","Europe","Burundi","Africa",1968,0.01
"7052","Sweden","Europe","Burundi","Africa",1968,0.03
"7964","United States","North America","Cambodia","Asia",1968,0.18
"8072","Germany","Europe","Cambodia","Asia",1968,0.74
"8074","Canada","North America","Cambodia","Asia",1968,0.2
"8153","United Kingdom","Europe","Cambodia","Asia",1968,0.01
"8287","France","Europe","Cambodia","Asia",1968,7
"8517","Japan","Asia","Cambodia","Asia",1968,0.55
"8532","Australia","Oceania","Cambodia","Asia",1968,0.31
"8540","Switzerland","Europe","Cambodia","Asia",1968,0.01
"8594","Belgium","Europe","Cambodia","Asia",1968,0.02
"8657","Germany","Europe","Cameroon","Africa",1968,3.25
"8719","France","Europe","Cameroon","Africa",1968,14.8
"8773","United States","North America","Cameroon","Africa",1968,2.7
"8810","United Kingdom","Europe","Cameroon","Africa",1968,0.63
"8827","Canada","North America","Cameroon","Africa",1968,1.32
"8990","Belgium","Europe","Cameroon","Africa",1968,0.1
"9324","Italy","Europe","Cameroon","Africa",1968,0.01
"9440","Switzerland","Europe","Cameroon","Africa",1968,0.42
"9551","Canada","North America","Central African Republic","Africa",1968,0.02
"9652","Germany","Europe","Central African Republic","Africa",1968,0.76
"9658","Sweden","Europe","Central African Republic","Africa",1968,0.06
"9923","United States","North America","Central African Republic","Africa",1968,0.2
"9952","United Kingdom","Europe","Central African Republic","Africa",1968,0.05
"9953","France","Europe","Central African Republic","Africa",1968,10.7
"9997","Belgium","Europe","Central African Republic","Africa",1968,0.02
"10246","United States","North America","Chad","Africa",1968,1.36
"10356","Switzerland","Europe","Chad","Africa",1968,0.09
"10451","France","Europe","Chad","Africa",1968,11.3
"10462","Belgium","Europe","Chad","Africa",1968,0.02
"10661","Germany","Europe","Chad","Africa",1968,0.44
"10827","United Kingdom","Europe","Chad","Africa",1968,0.02
"10871","Canada","North America","Chad","Africa",1968,0.24
"11127","France","Europe","Comoros","Africa",1968,5.9
"11252","Switzerland","Europe","Congo","Africa",1968,0.39
"11584","France","Europe","Congo","Africa",1968,15
"11613","United States","North America","Congo","Africa",1968,0.61
"11641","Belgium","Europe","Congo","Africa",1968,0.01
"11701","Germany","Europe","Congo","Africa",1968,0.31
"11751","Canada","North America","Congo","Africa",1968,0.03
