"","source","donor.continent","target","target.continent","time","value"
"9","Australia","Oceania","Afghanistan","Asia",2004,21.09
"16","Switzerland","Europe","Afghanistan","Asia",2004,18.81
"27","Canada","North America","Afghanistan","Asia",2004,56.24
"62","Italy","Europe","Afghanistan","Asia",2004,37.31
"66","United Kingdom","Europe","Afghanistan","Asia",2004,224.01
"67","Norway","Europe","Afghanistan","Asia",2004,67.73
"97","Czech Republic","Europe","Afghanistan","Asia",2004,6.08
"140","Austria","Europe","Afghanistan","Asia",2004,8.65
"169","Hungary","Europe","Afghanistan","Asia",2004,1.63
"198","Luxembourg","Europe","Afghanistan","Asia",2004,0.96
"254","Korea","Asia","Afghanistan","Asia",2004,21.54
"350","Japan","Asia","Afghanistan","Asia",2004,172.52
"351","Germany","Europe","Afghanistan","Asia",2004,75.13
"389","Netherlands","Europe","Afghanistan","Asia",2004,90.31
"407","Finland","Europe","Afghanistan","Asia",2004,15.45
"453","Portugal","Europe","Afghanistan","Asia",2004,1.98
"494","Spain","Europe","Afghanistan","Asia",2004,16.56
"502","United States","North America","Afghanistan","Asia",2004,778.29
"568","Slovak Republic","Europe","Afghanistan","Asia",2004,0.38
"570","Ireland","Europe","Afghanistan","Asia",2004,4.55
"627","Greece","Europe","Afghanistan","Asia",2004,9.61
"742","Poland","Europe","Afghanistan","Asia",2004,0.21
"784","New Zealand","Oceania","Afghanistan","Asia",2004,10.01
"861","Sweden","Europe","Afghanistan","Asia",2004,55.68
"867","Belgium","Europe","Afghanistan","Asia",2004,6.96
"947","France","Europe","Afghanistan","Asia",2004,15.03
"962","Denmark","Europe","Afghanistan","Asia",2004,14.18
"1002","Germany","Europe","Angola","Africa",2004,12.95
"1018","Japan","Asia","Angola","Africa",2004,25.47
"1083","Belgium","Europe","Angola","Africa",2004,2.45
"1088","United States","North America","Angola","Africa",2004,121.29
"1090","Spain","Europe","Angola","Africa",2004,9.27
"1094","Austria","Europe","Angola","Africa",2004,0.15
"1116","Switzerland","Europe","Angola","Africa",2004,7.1
"1214","Canada","North America","Angola","Africa",2004,4.82
"1297","Netherlands","Europe","Angola","Africa",2004,19.55
"1309","Greece","Europe","Angola","Africa",2004,0.04
"1351","Denmark","Europe","Angola","Africa",2004,0.12
"1408","Finland","Europe","Angola","Africa",2004,5.26
"1437","Portugal","Europe","Angola","Africa",2004,715.48
"1461","Luxembourg","Europe","Angola","Africa",2004,0.23
"1486","Slovak Republic","Europe","Angola","Africa",2004,0.02
"1494","Norway","Europe","Angola","Africa",2004,24.76
"1508","Poland","Europe","Angola","Africa",2004,0.06
"1603","Italy","Europe","Angola","Africa",2004,8.41
"1608","Czech Republic","Europe","Angola","Africa",2004,0.26
"1610","Ireland","Europe","Angola","Africa",2004,4.09
"1624","Sweden","Europe","Angola","Africa",2004,17.3
"1649","France","Europe","Angola","Africa",2004,21.88
"1680","United Kingdom","Europe","Angola","Africa",2004,15.08
"1759","Canada","North America","Armenia","Europe",2004,0.62
"1770","Greece","Europe","Armenia","Europe",2004,2
"1789","Sweden","Europe","Armenia","Europe",2004,2.32
"1797","Switzerland","Europe","Armenia","Europe",2004,3.07
"1799","Poland","Europe","Armenia","Europe",2004,0.1
"1834","Slovak Republic","Europe","Armenia","Europe",2004,0.08
"1841","Spain","Europe","Armenia","Europe",2004,1.42
"1884","United States","North America","Armenia","Europe",2004,73.14
"1889","Korea","Asia","Armenia","Europe",2004,0.09
"1922","Germany","Europe","Armenia","Europe",2004,18.72
"1974","Luxembourg","Europe","Armenia","Europe",2004,0.25
"1979","Ireland","Europe","Armenia","Europe",2004,0.06
"1990","Belgium","Europe","Armenia","Europe",2004,0.13
"2013","Austria","Europe","Armenia","Europe",2004,3.38
"2029","Netherlands","Europe","Armenia","Europe",2004,9.22
"2031","Japan","Asia","Armenia","Europe",2004,4.68
"2037","Czech Republic","Europe","Armenia","Europe",2004,0.16
"2048","Norway","Europe","Armenia","Europe",2004,3.34
"2060","United Kingdom","Europe","Armenia","Europe",2004,6.56
"2083","Denmark","Europe","Armenia","Europe",2004,0.06
"2118","France","Europe","Armenia","Europe",2004,4
"2120","Italy","Europe","Armenia","Europe",2004,0.17
"2209","Canada","North America","Bangladesh","Asia",2004,48.92
"2291","Luxembourg","Europe","Bangladesh","Asia",2004,0.61
"2309","France","Europe","Bangladesh","Asia",2004,0.87
"2316","Australia","Oceania","Bangladesh","Asia",2004,24.6
"2365","Ireland","Europe","Bangladesh","Asia",2004,1.77
"2407","Finland","Europe","Bangladesh","Asia",2004,0.67
"2441","Netherlands","Europe","Bangladesh","Asia",2004,65.23
"2450","United Kingdom","Europe","Bangladesh","Asia",2004,252.72
"2510","Austria","Europe","Bangladesh","Asia",2004,1.15
"2514","Czech Republic","Europe","Bangladesh","Asia",2004,0.22
"2603","Japan","Asia","Bangladesh","Asia",2004,38.23
"2630","New Zealand","Oceania","Bangladesh","Asia",2004,1
"2660","Switzerland","Europe","Bangladesh","Asia",2004,11.83
"2723","Germany","Europe","Bangladesh","Asia",2004,25.2
"2754","Italy","Europe","Bangladesh","Asia",2004,0.72
"2759","Spain","Europe","Bangladesh","Asia",2004,0.09
"2776","Slovak Republic","Europe","Bangladesh","Asia",2004,0.26
"2802","United States","North America","Bangladesh","Asia",2004,62.85
"2845","Sweden","Europe","Bangladesh","Asia",2004,26.63
"2940","Korea","Asia","Bangladesh","Asia",2004,23.51
"2963","Denmark","Europe","Bangladesh","Asia",2004,45.67
"3106","Greece","Europe","Bangladesh","Asia",2004,0.1
