"","source","donor.continent","target","target.continent","time","value"
"73","Netherlands","Europe","Afghanistan","Asia",1979,0.2
"146","Austria","Europe","Afghanistan","Asia",1979,0.13
"329","Canada","North America","Afghanistan","Asia",1979,6.03
"444","Finland","Europe","Afghanistan","Asia",1979,0.06
"459","Belgium","Europe","Afghanistan","Asia",1979,0.04
"489","Switzerland","Europe","Afghanistan","Asia",1979,0.58
"496","United States","North America","Afghanistan","Asia",1979,12
"575","Australia","Oceania","Afghanistan","Asia",1979,0.2
"606","Japan","Asia","Afghanistan","Asia",1979,11.89
"633","Italy","Europe","Afghanistan","Asia",1979,0.07
"641","Germany","Europe","Afghanistan","Asia",1979,12.94
"886","United Kingdom","Europe","Afghanistan","Asia",1979,2.86
"1009","Germany","Europe","Angola","Africa",1979,0.49
"1172","Austria","Europe","Angola","Africa",1979,0.2
"1247","United States","North America","Angola","Africa",1979,2
"1347","Belgium","Europe","Angola","Africa",1979,3.99
"1349","Italy","Europe","Angola","Africa",1979,0.21
"1385","Japan","Asia","Angola","Africa",1979,0.02
"1456","Netherlands","Europe","Angola","Africa",1979,2.26
"1458","Denmark","Europe","Angola","Africa",1979,1.34
"1533","United Kingdom","Europe","Angola","Africa",1979,0.09
"1682","Switzerland","Europe","Angola","Africa",1979,0.13
"1718","Sweden","Europe","Angola","Africa",1979,18.69
"2212","Denmark","Europe","Bangladesh","Asia",1979,20.33
"2239","Switzerland","Europe","Bangladesh","Asia",1979,3.05
"2294","New Zealand","Oceania","Bangladesh","Asia",1979,0.19
"2326","Italy","Europe","Bangladesh","Asia",1979,0.03
"2435","Ireland","Europe","Bangladesh","Asia",1979,0.06
"2507","France","Europe","Bangladesh","Asia",1979,11.61
"2511","Sweden","Europe","Bangladesh","Asia",1979,39.34
"2527","Austria","Europe","Bangladesh","Asia",1979,0.07
"2545","Canada","North America","Bangladesh","Asia",1979,59.21
"2595","Belgium","Europe","Bangladesh","Asia",1979,14.7
"2666","Australia","Oceania","Bangladesh","Asia",1979,35.04
"2671","United States","North America","Bangladesh","Asia",1979,157
"2821","Finland","Europe","Bangladesh","Asia",1979,0.37
"2841","United Kingdom","Europe","Bangladesh","Asia",1979,71.36
"2849","Norway","Europe","Bangladesh","Asia",1979,23.7
"2900","Netherlands","Europe","Bangladesh","Asia",1979,45.86
"3060","Germany","Europe","Bangladesh","Asia",1979,86.56
"3113","Japan","Asia","Bangladesh","Asia",1979,206.33
"3220","Canada","North America","Benin","Africa",1979,4.85
"3229","Italy","Europe","Benin","Africa",1979,0.08
"3331","Norway","Europe","Benin","Africa",1979,4.07
"3421","United Kingdom","Europe","Benin","Africa",1979,0.11
"3445","Netherlands","Europe","Benin","Africa",1979,1
"3462","Germany","Europe","Benin","Africa",1979,10.35
"3463","Japan","Asia","Benin","Africa",1979,0.01
"3570","Belgium","Europe","Benin","Africa",1979,0.52
"3604","United States","North America","Benin","Africa",1979,3
"3714","Denmark","Europe","Benin","Africa",1979,5.28
"3782","France","Europe","Benin","Africa",1979,18.53
"3890","Switzerland","Europe","Benin","Africa",1979,0.81
"3939","Australia","Oceania","Bhutan","Asia",1979,0.21
"4049","United Kingdom","Europe","Bhutan","Asia",1979,0.05
"4109","Germany","Europe","Bhutan","Asia",1979,0.02
"4169","Switzerland","Europe","Bhutan","Asia",1979,0.46
"4324","New Zealand","Oceania","Bhutan","Asia",1979,0.01
"4353","Japan","Asia","Bhutan","Asia",1979,0.1
"4471","Netherlands","Europe","Bhutan","Asia",1979,0.07
"4472","Denmark","Europe","Bhutan","Asia",1979,0.23
"4473","Austria","Europe","Bhutan","Asia",1979,0.01
"4555","Denmark","Europe","Bolivia","South America",1979,0.2
"4606","Netherlands","Europe","Bolivia","South America",1979,2
"4612","France","Europe","Bolivia","South America",1979,3
"4619","Canada","North America","Bolivia","South America",1979,1.24
"4690","Switzerland","Europe","Bolivia","South America",1979,3.01
"4759","Belgium","Europe","Bolivia","South America",1979,4.87
"4927","Austria","Europe","Bolivia","South America",1979,1.43
"4930","Japan","Asia","Bolivia","South America",1979,21.87
"5036","United States","North America","Bolivia","South America",1979,46
"5170","Germany","Europe","Bolivia","South America",1979,19.28
"5366","Sweden","Europe","Bolivia","South America",1979,0.3
"5374","United Kingdom","Europe","Bolivia","South America",1979,1.85
"5379","Italy","Europe","Bolivia","South America",1979,0.23
"5413","Netherlands","Europe","Burkina Faso","Africa",1979,24.8
"5606","Switzerland","Europe","Burkina Faso","Africa",1979,1.67
"5705","Belgium","Europe","Burkina Faso","Africa",1979,2.16
"5706","Austria","Europe","Burkina Faso","Africa",1979,1.31
"5764","Norway","Europe","Burkina Faso","Africa",1979,1.44
"5784","Japan","Asia","Burkina Faso","Africa",1979,0.12
"5949","Italy","Europe","Burkina Faso","Africa",1979,0.09
"5963","Germany","Europe","Burkina Faso","Africa",1979,27.73
"5979","Canada","North America","Burkina Faso","Africa",1979,13.34
"5980","United States","North America","Burkina Faso","Africa",1979,23
"6102","Denmark","Europe","Burkina Faso","Africa",1979,0.64
"6149","United Kingdom","Europe","Burkina Faso","Africa",1979,0.05
"6177","France","Europe","Burkina Faso","Africa",1979,35.68
"6342","Denmark","Europe","Burundi","Africa",1979,0.38
"6373","France","Europe","Burundi","Africa",1979,7.46
"6433","United States","North America","Burundi","Africa",1979,2
"6455","Sweden","Europe","Burundi","Africa",1979,0.9
"6566","Netherlands","Europe","Burundi","Africa",1979,0.91
"6575","Ireland","Europe","Burundi","Africa",1979,0.01
"6579","Belgium","Europe","Burundi","Africa",1979,25.17
"6667","Austria","Europe","Burundi","Africa",1979,0.02
"6691","Switzerland","Europe","Burundi","Africa",1979,0.74
"6693","Italy","Europe","Burundi","Africa",1979,0.23
"6818","United Kingdom","Europe","Burundi","Africa",1979,0.04
"6832","Germany","Europe","Burundi","Africa",1979,6.29
"7103","Germany","Europe","Cabo Verde","Africa",1979,5.89
"7111","Norway","Europe","Cabo Verde","Africa",1979,0.26
"7126","Switzerland","Europe","Cabo Verde","Africa",1979,0.81
"7252","Austria","Europe","Cabo Verde","Africa",1979,0.04
"7365","Belgium","Europe","Cabo Verde","Africa",1979,1.63
"7375","Netherlands","Europe","Cabo Verde","Africa",1979,5.19
"7402","Italy","Europe","Cabo Verde","Africa",1979,0.28
"7456","Sweden","Europe","Cabo Verde","Africa",1979,6.69
"7457","Canada","North America","Cabo Verde","Africa",1979,0.02
"7511","France","Europe","Cabo Verde","Africa",1979,2.4
"7555","United States","North America","Cabo Verde","Africa",1979,4
"7743","Australia","Oceania","Cambodia","Asia",1979,4.79
"7828","Japan","Asia","Cambodia","Asia",1979,0.14
"7913","Belgium","Europe","Cambodia","Asia",1979,0.35
"8164","Austria","Europe","Cambodia","Asia",1979,0.1
"8171","Norway","Europe","Cambodia","Asia",1979,0.86
"8227","United Kingdom","Europe","Cambodia","Asia",1979,1.49
"8249","Germany","Europe","Cambodia","Asia",1979,8.72
"8432","Denmark","Europe","Cambodia","Asia",1979,0.95
"8438","New Zealand","Oceania","Cambodia","Asia",1979,0.06
"8484","Sweden","Europe","Cambodia","Asia",1979,4.72
"8557","Netherlands","Europe","Cambodia","Asia",1979,1.5
"8607","Finland","Europe","Cambodia","Asia",1979,0.35
"8615","Switzerland","Europe","Cambodia","Asia",1979,0.78
"8626","Netherlands","Europe","Cameroon","Africa",1979,4.35
"8698","France","Europe","Cameroon","Africa",1979,68.42
"8716","Austria","Europe","Cameroon","Africa",1979,0.15
"8742","Ireland","Europe","Cameroon","Africa",1979,0.03
"8761","Germany","Europe","Cameroon","Africa",1979,76.4
"8776","Norway","Europe","Cameroon","Africa",1979,2.9
"8829","Switzerland","Europe","Cameroon","Africa",1979,1.52
"8860","Italy","Europe","Cameroon","Africa",1979,0.08
