"","source","donor.continent","target","target.continent","time","value"
"234","Sweden","Europe","Afghanistan","Asia",1999,10.31
"266","Denmark","Europe","Afghanistan","Asia",1999,2.72
"270","France","Europe","Afghanistan","Asia",1999,1.33
"318","Japan","Asia","Afghanistan","Asia",1999,0.14
"371","Norway","Europe","Afghanistan","Asia",1999,7.13
"418","Canada","North America","Afghanistan","Asia",1999,8.67
"498","Netherlands","Europe","Afghanistan","Asia",1999,9.36
"523","Luxembourg","Europe","Afghanistan","Asia",1999,0.14
"560","Germany","Europe","Afghanistan","Asia",1999,16.46
"566","Spain","Europe","Afghanistan","Asia",1999,0.12
"588","Australia","Oceania","Afghanistan","Asia",1999,0.08
"626","Poland","Europe","Afghanistan","Asia",1999,0.06
"680","United States","North America","Afghanistan","Asia",1999,32.08
"759","New Zealand","Oceania","Afghanistan","Asia",1999,0.01
"790","Ireland","Europe","Afghanistan","Asia",1999,0.42
"849","Switzerland","Europe","Afghanistan","Asia",1999,2.74
"879","Finland","Europe","Afghanistan","Asia",1999,3.6
"901","United Kingdom","Europe","Afghanistan","Asia",1999,6.02
"912","Italy","Europe","Afghanistan","Asia",1999,0.4
"937","Austria","Europe","Afghanistan","Asia",1999,2.37
"993","Japan","Asia","Angola","Africa",1999,21.95
"1008","Ireland","Europe","Angola","Africa",1999,1.66
"1044","Belgium","Europe","Angola","Africa",1999,1.99
"1086","Switzerland","Europe","Angola","Africa",1999,5.78
"1102","Portugal","Europe","Angola","Africa",1999,19.78
"1107","Italy","Europe","Angola","Africa",1999,24.98
"1141","Netherlands","Europe","Angola","Africa",1999,13.67
"1186","Denmark","Europe","Angola","Africa",1999,1.84
"1206","Spain","Europe","Angola","Africa",1999,35.79
"1274","Poland","Europe","Angola","Africa",1999,0.02
"1277","Canada","North America","Angola","Africa",1999,3.07
"1325","Australia","Oceania","Angola","Africa",1999,0.8
"1368","Luxembourg","Europe","Angola","Africa",1999,0.01
"1392","United States","North America","Angola","Africa",1999,48.1
"1405","Norway","Europe","Angola","Africa",1999,19.75
"1473","Austria","Europe","Angola","Africa",1999,1
"1534","Finland","Europe","Angola","Africa",1999,3.62
"1565","Germany","Europe","Angola","Africa",1999,18.02
"1678","France","Europe","Angola","Africa",1999,8.65
"1714","Sweden","Europe","Angola","Africa",1999,17.77
