"","source","donor.continent","target","target.continent","time","value"
"44","France","Europe","Afghanistan","Asia",2002,11.86
"49","Poland","Europe","Afghanistan","Asia",2002,0.3
"90","Sweden","Europe","Afghanistan","Asia",2002,27.52
"100","Ireland","Europe","Afghanistan","Asia",2002,6.57
"149","Austria","Europe","Afghanistan","Asia",2002,13.4
"184","Italy","Europe","Afghanistan","Asia",2002,28.34
"210","Finland","Europe","Afghanistan","Asia",2002,15.26
"258","United Kingdom","Europe","Afghanistan","Asia",2002,130.8
"284","Canada","North America","Afghanistan","Asia",2002,35.81
"334","Denmark","Europe","Afghanistan","Asia",2002,7.75
"385","Korea","Asia","Afghanistan","Asia",2002,4.78
"417","Czech Republic","Europe","Afghanistan","Asia",2002,0.73
"503","Switzerland","Europe","Afghanistan","Asia",2002,13.3
"539","Belgium","Europe","Afghanistan","Asia",2002,7
"608","Portugal","Europe","Afghanistan","Asia",2002,1
"634","Australia","Oceania","Afghanistan","Asia",2002,12.77
"645","Luxembourg","Europe","Afghanistan","Asia",2002,4.72
"667","New Zealand","Oceania","Afghanistan","Asia",2002,2.04
"733","Spain","Europe","Afghanistan","Asia",2002,17.81
"762","United States","North America","Afghanistan","Asia",2002,367.61
"778","Norway","Europe","Afghanistan","Asia",2002,60.86
"840","Japan","Asia","Afghanistan","Asia",2002,31.7
"864","Netherlands","Europe","Afghanistan","Asia",2002,88.28
"920","Greece","Europe","Afghanistan","Asia",2002,8.95
"956","Germany","Europe","Afghanistan","Asia",2002,92.57
"1176","Sweden","Europe","Angola","Africa",2002,14.12
"1231","Denmark","Europe","Angola","Africa",2002,0.97
"1252","Portugal","Europe","Angola","Africa",2002,14.44
"1275","Switzerland","Europe","Angola","Africa",2002,5.91
"1280","United Kingdom","Europe","Angola","Africa",2002,10.23
"1288","Canada","North America","Angola","Africa",2002,2.63
"1310","Belgium","Europe","Angola","Africa",2002,1.34
"1370","Czech Republic","Europe","Angola","Africa",2002,0.02
"1391","Germany","Europe","Angola","Africa",2002,16.48
"1400","Finland","Europe","Angola","Africa",2002,3.16
"1403","United States","North America","Angola","Africa",2002,105.61
"1432","Netherlands","Europe","Angola","Africa",2002,27.67
"1465","France","Europe","Angola","Africa",2002,9.85
"1516","Norway","Europe","Angola","Africa",2002,22.2
"1606","Japan","Asia","Angola","Africa",2002,27.21
"1670","Spain","Europe","Angola","Africa",2002,13.35
"1677","Austria","Europe","Angola","Africa",2002,0.23
"1681","Ireland","Europe","Angola","Africa",2002,3.23
"1707","Luxembourg","Europe","Angola","Africa",2002,0.7
"1723","Italy","Europe","Angola","Africa",2002,7.07
"1764","Poland","Europe","Armenia","Europe",2002,0.06
"1796","Finland","Europe","Armenia","Europe",2002,0.01
"1844","Austria","Europe","Armenia","Europe",2002,2.3
"1849","Czech Republic","Europe","Armenia","Europe",2002,0.75
"1897","Canada","North America","Armenia","Europe",2002,0.72
"1898","Korea","Asia","Armenia","Europe",2002,0.02
"1906","Italy","Europe","Armenia","Europe",2002,0.31
"1912","Denmark","Europe","Armenia","Europe",2002,0.22
"1915","Spain","Europe","Armenia","Europe",2002,0.45
"1916","Portugal","Europe","Armenia","Europe",2002,0.01
"1958","Greece","Europe","Armenia","Europe",2002,2.37
"1983","United States","North America","Armenia","Europe",2002,114.3
"2000","Germany","Europe","Armenia","Europe",2002,19.94
"2039","Ireland","Europe","Armenia","Europe",2002,0.08
"2043","Japan","Asia","Armenia","Europe",2002,11.36
"2049","France","Europe","Armenia","Europe",2002,3.84
"2112","United Kingdom","Europe","Armenia","Europe",2002,1.67
"2130","Netherlands","Europe","Armenia","Europe",2002,7.18
"2137","Switzerland","Europe","Armenia","Europe",2002,2.3
"2144","Sweden","Europe","Armenia","Europe",2002,1.05
"2167","Slovak Republic","Europe","Armenia","Europe",2002,0.01
"2190","Norway","Europe","Armenia","Europe",2002,3.28
"2292","Luxembourg","Europe","Bangladesh","Asia",2002,0.32
"2318","United Kingdom","Europe","Bangladesh","Asia",2002,101.82
"2332","Italy","Europe","Bangladesh","Asia",2002,2.27
"2333","Ireland","Europe","Bangladesh","Asia",2002,1.59
"2354","Switzerland","Europe","Bangladesh","Asia",2002,13.59
"2406","Czech Republic","Europe","Bangladesh","Asia",2002,0.02
"2483","Korea","Asia","Bangladesh","Asia",2002,2.08
"2572","Denmark","Europe","Bangladesh","Asia",2002,37.33
"2641","France","Europe","Bangladesh","Asia",2002,7.33
"2661","Canada","North America","Bangladesh","Asia",2002,30.87
"2670","Spain","Europe","Bangladesh","Asia",2002,1.47
"2672","Norway","Europe","Bangladesh","Asia",2002,16.61
"2727","Austria","Europe","Bangladesh","Asia",2002,1.39
"2834","Finland","Europe","Bangladesh","Asia",2002,0.61
"2914","Australia","Oceania","Bangladesh","Asia",2002,22.89
"2931","New Zealand","Oceania","Bangladesh","Asia",2002,0.6
"2974","Germany","Europe","Bangladesh","Asia",2002,30.04
"3019","Japan","Asia","Bangladesh","Asia",2002,122.72
"3039","United States","North America","Bangladesh","Asia",2002,72.14
"3059","Netherlands","Europe","Bangladesh","Asia",2002,44.31
"3072","Sweden","Europe","Bangladesh","Asia",2002,14.95
"3133","Italy","Europe","Benin","Africa",2002,2.54
"3147","Korea","Asia","Benin","Africa",2002,0.06
"3164","Finland","Europe","Benin","Africa",2002,0.14
"3242","Czech Republic","Europe","Benin","Africa",2002,0.05
"3276","United Kingdom","Europe","Benin","Africa",2002,0.06
"3315","Japan","Asia","Benin","Africa",2002,4.53
"3328","Canada","North America","Benin","Africa",2002,2.4
"3333","Spain","Europe","Benin","Africa",2002,0.32
