"","source","donor.continent","target","target.continent","time","value"
"174","Sweden","Europe","Afghanistan","Asia",1987,5.44
"274","Norway","Europe","Afghanistan","Asia",1987,0.19
"287","United Kingdom","Europe","Afghanistan","Asia",1987,0.97
"411","Germany","Europe","Afghanistan","Asia",1987,0.44
"463","France","Europe","Afghanistan","Asia",1987,0.85
"486","Austria","Europe","Afghanistan","Asia",1987,0.11
"683","Netherlands","Europe","Afghanistan","Asia",1987,0.89
"793","Hungary","Europe","Afghanistan","Asia",1987,0.4
"802","Australia","Oceania","Afghanistan","Asia",1987,0.02
"949","United States","North America","Afghanistan","Asia",1987,29
"1016","United States","North America","Angola","Africa",1987,6
"1047","Italy","Europe","Angola","Africa",1987,28.38
"1081","Norway","Europe","Angola","Africa",1987,0.88
"1112","Sweden","Europe","Angola","Africa",1987,23.76
"1123","Switzerland","Europe","Angola","Africa",1987,0.8
"1167","Canada","North America","Angola","Africa",1987,0.46
"1253","Austria","Europe","Angola","Africa",1987,1.41
"1254","Germany","Europe","Angola","Africa",1987,6
"1335","United Kingdom","Europe","Angola","Africa",1987,0.43
"1401","Denmark","Europe","Angola","Africa",1987,6.03
"1449","Netherlands","Europe","Angola","Africa",1987,15.58
"1509","Belgium","Europe","Angola","Africa",1987,0.13
"1550","France","Europe","Angola","Africa",1987,3.73
"1562","Finland","Europe","Angola","Africa",1987,2.79
"1656","Japan","Asia","Angola","Africa",1987,1.38
"1703","Spain","Europe","Angola","Africa",1987,0.6
"1728","Australia","Oceania","Angola","Africa",1987,0.01
"2217","Canada","North America","Bangladesh","Asia",1987,101.95
"2241","Switzerland","Europe","Bangladesh","Asia",1987,2.32
"2287","United States","North America","Bangladesh","Asia",1987,146
"2395","Denmark","Europe","Bangladesh","Asia",1987,27.49
"2416","Ireland","Europe","Bangladesh","Asia",1987,0.17
"2417","Finland","Europe","Bangladesh","Asia",1987,2.73
"2423","United Kingdom","Europe","Bangladesh","Asia",1987,55.65
"2495","Netherlands","Europe","Bangladesh","Asia",1987,66.97
"2516","Belgium","Europe","Bangladesh","Asia",1987,5.23
"2530","Sweden","Europe","Bangladesh","Asia",1987,41.8
"2616","Korea","Asia","Bangladesh","Asia",1987,0.01
"2629","Austria","Europe","Bangladesh","Asia",1987,0.16
"2718","New Zealand","Oceania","Bangladesh","Asia",1987,0.12
"2745","Japan","Asia","Bangladesh","Asia",1987,334.2
"2758","France","Europe","Bangladesh","Asia",1987,30.19
"2878","Germany","Europe","Bangladesh","Asia",1987,66.13
"2950","Italy","Europe","Bangladesh","Asia",1987,4.05
"2985","Norway","Europe","Bangladesh","Asia",1987,33.15
"3050","Australia","Oceania","Bangladesh","Asia",1987,8.37
"3185","Italy","Europe","Benin","Africa",1987,2.71
"3190","Canada","North America","Benin","Africa",1987,2.69
"3226","Denmark","Europe","Benin","Africa",1987,0.29
"3453","Belgium","Europe","Benin","Africa",1987,2.05
"3510","France","Europe","Benin","Africa",1987,23.9
"3517","United Kingdom","Europe","Benin","Africa",1987,0.22
"3520","Japan","Asia","Benin","Africa",1987,3.75
"3562","Netherlands","Europe","Benin","Africa",1987,5.35
"3718","Switzerland","Europe","Benin","Africa",1987,1.96
"3803","Germany","Europe","Benin","Africa",1987,30.87
"3805","United States","North America","Benin","Africa",1987,3
"3837","Norway","Europe","Benin","Africa",1987,0.18
"3854","Austria","Europe","Benin","Africa",1987,0.01
"3981","Finland","Europe","Bhutan","Asia",1987,0.19
"4021","Norway","Europe","Bhutan","Asia",1987,3.06
"4031","Italy","Europe","Bhutan","Asia",1987,0.09
"4046","Germany","Europe","Bhutan","Asia",1987,0.16
"4063","Ireland","Europe","Bhutan","Asia",1987,0.01
"4067","New Zealand","Oceania","Bhutan","Asia",1987,0.02
"4075","Belgium","Europe","Bhutan","Asia",1987,0.08
"4081","United Kingdom","Europe","Bhutan","Asia",1987,0.44
"4086","Austria","Europe","Bhutan","Asia",1987,0.03
"4089","Japan","Asia","Bhutan","Asia",1987,4.23
"4145","Australia","Oceania","Bhutan","Asia",1987,0.03
"4192","Denmark","Europe","Bhutan","Asia",1987,0.61
"4207","Netherlands","Europe","Bhutan","Asia",1987,0.16
"4378","Canada","North America","Bhutan","Asia",1987,0.08
"4450","Switzerland","Europe","Bhutan","Asia",1987,2.37
"4498","Austria","Europe","Bolivia","South America",1987,0.14
"4508","United Kingdom","Europe","Bolivia","South America",1987,2.76
"4533","United States","North America","Bolivia","South America",1987,77
"4573","Sweden","Europe","Bolivia","South America",1987,0.24
"4590","Germany","Europe","Bolivia","South America",1987,31.05
"4616","Norway","Europe","Bolivia","South America",1987,2.23
"4645","Switzerland","Europe","Bolivia","South America",1987,16.23
"4753","Canada","North America","Bolivia","South America",1987,2.1
"4799","Belgium","Europe","Bolivia","South America",1987,2.04
"4941","Italy","Europe","Bolivia","South America",1987,6.95
"4948","Ireland","Europe","Bolivia","South America",1987,0.03
"4984","Denmark","Europe","Bolivia","South America",1987,2.34
"5030","France","Europe","Bolivia","South America",1987,2.35
"5108","Japan","Asia","Bolivia","South America",1987,53.81
"5152","Finland","Europe","Bolivia","South America",1987,0.04
"5327","Netherlands","Europe","Bolivia","South America",1987,13.68
"5526","Denmark","Europe","Burkina Faso","Africa",1987,1.18
"5536","Canada","North America","Burkina Faso","Africa",1987,11.97
"5611","Austria","Europe","Burkina Faso","Africa",1987,0.44
"5624","Belgium","Europe","Burkina Faso","Africa",1987,2.98
"5679","France","Europe","Burkina Faso","Africa",1987,64.62
"5686","Japan","Asia","Burkina Faso","Africa",1987,7.72
"5734","Switzerland","Europe","Burkina Faso","Africa",1987,3.06
"5773","United Kingdom","Europe","Burkina Faso","Africa",1987,0.25
"5976","United States","North America","Burkina Faso","Africa",1987,19
"6050","Italy","Europe","Burkina Faso","Africa",1987,20.55
"6051","Germany","Europe","Burkina Faso","Africa",1987,36.25
"6183","Netherlands","Europe","Burkina Faso","Africa",1987,27.61
"6262","Switzerland","Europe","Burundi","Africa",1987,2.66
"6288","United States","North America","Burundi","Africa",1987,4
"6351","Ireland","Europe","Burundi","Africa",1987,0.18
"6601","Japan","Asia","Burundi","Africa",1987,10.95
"6629","Belgium","Europe","Burundi","Africa",1987,19.65
"6646","Netherlands","Europe","Burundi","Africa",1987,1.61
"6649","United Kingdom","Europe","Burundi","Africa",1987,0.15
"6795","Italy","Europe","Burundi","Africa",1987,5.14
"6854","Austria","Europe","Burundi","Africa",1987,0.48
"6892","Finland","Europe","Burundi","Africa",1987,0.02
"6905","Canada","North America","Burundi","Africa",1987,0.99
"6910","France","Europe","Burundi","Africa",1987,24.24
"6922","Norway","Europe","Burundi","Africa",1987,1.2
"6996","Germany","Europe","Burundi","Africa",1987,16.23
"7073","France","Europe","Cabo Verde","Africa",1987,4.85
"7086","Switzerland","Europe","Cabo Verde","Africa",1987,1.55
"7178","Germany","Europe","Cabo Verde","Africa",1987,13.2
"7180","Canada","North America","Cabo Verde","Africa",1987,0.35
"7188","United Kingdom","Europe","Cabo Verde","Africa",1987,0.06
"7220","Finland","Europe","Cabo Verde","Africa",1987,1.64
"7342","Norway","Europe","Cabo Verde","Africa",1987,1.37
"7343","Italy","Europe","Cabo Verde","Africa",1987,8.58
"7348","Japan","Asia","Cabo Verde","Africa",1987,2.3
"7398","Austria","Europe","Cabo Verde","Africa",1987,2.31
"7467","Spain","Europe","Cabo Verde","Africa",1987,1.1
"7537","United States","North America","Cabo Verde","Africa",1987,6
"7542","Denmark","Europe","Cabo Verde","Africa",1987,0.18
"7589","Netherlands","Europe","Cabo Verde","Africa",1987,8.24
"7733","Sweden","Europe","Cabo Verde","Africa",1987,7.93
"7734","Belgium","Europe","Cabo Verde","Africa",1987,4.07
"7781","Switzerland","Europe","Cambodia","Asia",1987,0.1
"7968","Belgium","Europe","Cambodia","Asia",1987,0.34
"8000","Hungary","Europe","Cambodia","Asia",1987,2.8
"8007","Sweden","Europe","Cambodia","Asia",1987,2.07
"8103","Finland","Europe","Cambodia","Asia",1987,0.52
"8135","Norway","Europe","Cambodia","Asia",1987,0.35
"8325","Germany","Europe","Cambodia","Asia",1987,0.18
"8332","Australia","Oceania","Cambodia","Asia",1987,1.64
"8345","France","Europe","Cambodia","Asia",1987,1.45
"8384","United States","North America","Cambodia","Asia",1987,2
"8459","Netherlands","Europe","Cambodia","Asia",1987,0.21
"8472","Poland","Europe","Cambodia","Asia",1987,0.3
"8798","Switzerland","Europe","Cameroon","Africa",1987,5.77
"8806","Canada","North America","Cameroon","Africa",1987,11.89
"8840","United States","North America","Cameroon","Africa",1987,20
"8883","France","Europe","Cameroon","Africa",1987,59.88
"9009","United Kingdom","Europe","Cameroon","Africa",1987,4.42
"9014","Germany","Europe","Cameroon","Africa",1987,49.97
"9078","Finland","Europe","Cameroon","Africa",1987,0.02
"9085","Japan","Asia","Cameroon","Africa",1987,12.5
"9124","Netherlands","Europe","Cameroon","Africa",1987,4.69
"9233","Denmark","Europe","Cameroon","Africa",1987,0.4
"9317","Belgium","Europe","Cameroon","Africa",1987,7.52
"9328","Ireland","Europe","Cameroon","Africa",1987,0.02
"9378","Norway","Europe","Cameroon","Africa",1987,0.27
"9483","Italy","Europe","Cameroon","Africa",1987,2.77
"9506","Belgium","Europe","Central African Republic","Africa",1987,0.15
"9526","Japan","Asia","Central African Republic","Africa",1987,1.44
"9646","Switzerland","Europe","Central African Republic","Africa",1987,0.08
"9756","France","Europe","Central African Republic","Africa",1987,84.72
"9810","Canada","North America","Central African Republic","Africa",1987,0.32
"9847","United States","North America","Central African Republic","Africa",1987,4
"10012","Netherlands","Europe","Central African Republic","Africa",1987,0.44
"10040","Austria","Europe","Central African Republic","Africa",1987,0.11
"10077","Denmark","Europe","Central African Republic","Africa",1987,1.17
"10094","Germany","Europe","Central African Republic","Africa",1987,16.04
"10155","Italy","Europe","Central African Republic","Africa",1987,0.36
"10202","France","Europe","Chad","Africa",1987,73.92
"10271","United States","North America","Chad","Africa",1987,16
"10320","Canada","North America","Chad","Africa",1987,0.8
"10321","Switzerland","Europe","Chad","Africa",1987,4.64
"10343","Italy","Europe","Chad","Africa",1987,7.33
"10380","Australia","Oceania","Chad","Africa",1987,0.02
"10410","Germany","Europe","Chad","Africa",1987,6.83
"10497","Norway","Europe","Chad","Africa",1987,0.14
"10641","Finland","Europe","Chad","Africa",1987,0.27
"10731","Japan","Asia","Chad","Africa",1987,0.05
"10751","Netherlands","Europe","Chad","Africa",1987,8.78
"10804","United Kingdom","Europe","Chad","Africa",1987,0.29
"10833","Belgium","Europe","Chad","Africa",1987,0.28
"10894","Sweden","Europe","Chad","Africa",1987,0.25
"10906","United States","North America","Comoros","Africa",1987,1
"10909","Japan","Asia","Comoros","Africa",1987,3.25
"10934","France","Europe","Comoros","Africa",1987,22.6
"10970","Italy","Europe","Comoros","Africa",1987,0.12
"11025","Australia","Oceania","Comoros","Africa",1987,0.38
"11062","Germany","Europe","Comoros","Africa",1987,3.04
"11082","Netherlands","Europe","Comoros","Africa",1987,0.22
