"","source","donor.continent","target","target.continent","time","value"
"32","Slovenia","Europe","Afghanistan","Asia",2014,0.16
"63","Switzerland","Europe","Afghanistan","Asia",2014,32.07
"104","United States","North America","Afghanistan","Asia",2014,1928.08
"127","Norway","Europe","Afghanistan","Asia",2014,118.05
"142","Australia","Oceania","Afghanistan","Asia",2014,148.78
"190","Greece","Europe","Afghanistan","Asia",2014,0.4
"233","Korea","Asia","Afghanistan","Asia",2014,64.36
"251","Poland","Europe","Afghanistan","Asia",2014,1.29
"256","Germany","Europe","Afghanistan","Asia",2014,529.39
"288","Czech Republic","Europe","Afghanistan","Asia",2014,5.7
"367","Portugal","Europe","Afghanistan","Asia",2014,0.05
"405","Canada","North America","Afghanistan","Asia",2014,84.19
"413","Finland","Europe","Afghanistan","Asia",2014,37.77
"477","Iceland","Europe","Afghanistan","Asia",2014,0.72
"552","Austria","Europe","Afghanistan","Asia",2014,1.36
"572","Denmark","Europe","Afghanistan","Asia",2014,77.77
"618","Netherlands","Europe","Afghanistan","Asia",2014,50.75
"688","Italy","Europe","Afghanistan","Asia",2014,31.6
"707","United Kingdom","Europe","Afghanistan","Asia",2014,325.23
"720","Spain","Europe","Afghanistan","Asia",2014,5.54
"727","Ireland","Europe","Afghanistan","Asia",2014,3.36
"741","Luxembourg","Europe","Afghanistan","Asia",2014,4.7
"745","New Zealand","Oceania","Afghanistan","Asia",2014,3.72
"753","Belgium","Europe","Afghanistan","Asia",2014,5.34
"767","Japan","Asia","Afghanistan","Asia",2014,386.67
"770","Sweden","Europe","Afghanistan","Asia",2014,137.07
"782","Hungary","Europe","Afghanistan","Asia",2014,0.08
"822","France","Europe","Afghanistan","Asia",2014,38.42
"875","Slovak Republic","Europe","Afghanistan","Asia",2014,0.56
"1057","Ireland","Europe","Angola","Africa",2014,0.6
"1079","France","Europe","Angola","Africa",2014,5.32
"1098","Switzerland","Europe","Angola","Africa",2014,0.15
"1118","Belgium","Europe","Angola","Africa",2014,0.06
"1217","Poland","Europe","Angola","Africa",2014,14.45
"1246","Canada","North America","Angola","Africa",2014,0.29
"1282","United Kingdom","Europe","Angola","Africa",2014,1.51
"1292","Norway","Europe","Angola","Africa",2014,12.19
"1326","Germany","Europe","Angola","Africa",2014,4.23
"1328","Japan","Asia","Angola","Africa",2014,8
"1340","Denmark","Europe","Angola","Africa",2014,1.25
"1362","Korea","Asia","Angola","Africa",2014,5.38
"1365","Austria","Europe","Angola","Africa",2014,0.02
"1397","Australia","Oceania","Angola","Africa",2014,0.12
"1414","United States","North America","Angola","Africa",2014,58.71
"1488","Spain","Europe","Angola","Africa",2014,1.75
"1556","Sweden","Europe","Angola","Africa",2014,1.45
"1655","Finland","Europe","Angola","Africa",2014,0.79
"1686","Italy","Europe","Angola","Africa",2014,1.67
"1688","Hungary","Europe","Angola","Africa",2014,0.05
"1698","Greece","Europe","Angola","Africa",2014,0.01
"1722","Czech Republic","Europe","Angola","Africa",2014,0.06
"1737","Switzerland","Europe","Armenia","Europe",2014,5.44
"1744","Denmark","Europe","Armenia","Europe",2014,0.59
"1761","Austria","Europe","Armenia","Europe",2014,5.22
"1807","United States","North America","Armenia","Europe",2014,30.48
"1809","Japan","Asia","Armenia","Europe",2014,1.69
"1856","Belgium","Europe","Armenia","Europe",2014,0.24
"1876","Spain","Europe","Armenia","Europe",2014,0.03
"1879","Korea","Asia","Armenia","Europe",2014,0.03
"1885","Norway","Europe","Armenia","Europe",2014,1.56
"1919","Sweden","Europe","Armenia","Europe",2014,0.97
"1924","Hungary","Europe","Armenia","Europe",2014,0.01
"2026","France","Europe","Armenia","Europe",2014,17.19
"2035","Netherlands","Europe","Armenia","Europe",2014,0.21
"2058","Finland","Europe","Armenia","Europe",2014,0.29
"2067","Czech Republic","Europe","Armenia","Europe",2014,0.39
