"","source","donor.continent","target","target.continent","time","value"
"5","United States","North America","Afghanistan","Asia",2012,2714.09
"11","Finland","Europe","Afghanistan","Asia",2012,33.72
"54","Slovak Republic","Europe","Afghanistan","Asia",2012,0.82
"61","Korea","Asia","Afghanistan","Asia",2012,78.5
"68","Greece","Europe","Afghanistan","Asia",2012,0.77
"81","Iceland","Europe","Afghanistan","Asia",2012,0.91
"91","Japan","Asia","Afghanistan","Asia",2012,873.58
"96","France","Europe","Afghanistan","Asia",2012,67.58
"122","Luxembourg","Europe","Afghanistan","Asia",2012,3.02
"154","Denmark","Europe","Afghanistan","Asia",2012,81.48
"220","Slovenia","Europe","Afghanistan","Asia",2012,0.44
"262","Germany","Europe","Afghanistan","Asia",2012,515.54
"269","New Zealand","Oceania","Afghanistan","Asia",2012,15.87
"289","Ireland","Europe","Afghanistan","Asia",2012,7.18
"305","Netherlands","Europe","Afghanistan","Asia",2012,68.5
"338","Norway","Europe","Afghanistan","Asia",2012,126.03
"364","Czech Republic","Europe","Afghanistan","Asia",2012,12.7
"373","Australia","Oceania","Afghanistan","Asia",2012,226.68
"378","Italy","Europe","Afghanistan","Asia",2012,47.5
"402","Austria","Europe","Afghanistan","Asia",2012,1.29
"605","Spain","Europe","Afghanistan","Asia",2012,31.19
"646","Canada","North America","Afghanistan","Asia",2012,101.4
"686","Switzerland","Europe","Afghanistan","Asia",2012,28.36
"698","Portugal","Europe","Afghanistan","Asia",2012,2.36
"725","Hungary","Europe","Afghanistan","Asia",2012,1.83
"752","Poland","Europe","Afghanistan","Asia",2012,9.07
"810","United Kingdom","Europe","Afghanistan","Asia",2012,433.92
"872","Sweden","Europe","Afghanistan","Asia",2012,107.6
"890","Belgium","Europe","Afghanistan","Asia",2012,11.79
"1026","Japan","Asia","Angola","Africa",2012,13.79
"1034","France","Europe","Angola","Africa",2012,5.31
"1092","Germany","Europe","Angola","Africa",2012,4.83
"1140","Korea","Asia","Angola","Africa",2012,7.98
"1215","Australia","Oceania","Angola","Africa",2012,0.19
"1222","Norway","Europe","Angola","Africa",2012,12.13
"1225","Finland","Europe","Angola","Africa",2012,1.86
"1234","Italy","Europe","Angola","Africa",2012,1.35
"1237","United Kingdom","Europe","Angola","Africa",2012,0.56
"1249","Ireland","Europe","Angola","Africa",2012,0.57
"1332","Czech Republic","Europe","Angola","Africa",2012,0.46
"1338","Greece","Europe","Angola","Africa",2012,0.02
"1382","Sweden","Europe","Angola","Africa",2012,1.34
"1452","Canada","North America","Angola","Africa",2012,0.2
"1529","Austria","Europe","Angola","Africa",2012,0.04
"1567","Portugal","Europe","Angola","Africa",2012,1.54
"1594","Belgium","Europe","Angola","Africa",2012,0.14
"1614","Denmark","Europe","Angola","Africa",2012,0.01
"1619","Spain","Europe","Angola","Africa",2012,5.91
"1645","Switzerland","Europe","Angola","Africa",2012,0.42
"1669","United States","North America","Angola","Africa",2012,77.29
"1731","United Kingdom","Europe","Armenia","Europe",2012,1.32
"1732","Slovak Republic","Europe","Armenia","Europe",2012,0.12
"1750","United States","North America","Armenia","Europe",2012,35.95
"1778","Czech Republic","Europe","Armenia","Europe",2012,0.51
"1804","Spain","Europe","Armenia","Europe",2012,0.01
"1810","Japan","Asia","Armenia","Europe",2012,0.31
"1816","Finland","Europe","Armenia","Europe",2012,0.2
"1821","Greece","Europe","Armenia","Europe",2012,1.29
