"","source","donor.continent","target","target.continent","time","value"
"15","Denmark","Europe","Afghanistan","Asia",1972,0.05
"57","Sweden","Europe","Afghanistan","Asia",1972,0.81
"124","New Zealand","Oceania","Afghanistan","Asia",1972,0.01
"206","United Kingdom","Europe","Afghanistan","Asia",1972,0.22
"218","Japan","Asia","Afghanistan","Asia",1972,2.4
"419","Finland","Europe","Afghanistan","Asia",1972,0.04
"468","Australia","Oceania","Afghanistan","Asia",1972,0.15
"509","Netherlands","Europe","Afghanistan","Asia",1972,0.16
"518","Norway","Europe","Afghanistan","Asia",1972,0.01
"548","Switzerland","Europe","Afghanistan","Asia",1972,0.07
"666","United States","North America","Afghanistan","Asia",1972,25
"714","Germany","Europe","Afghanistan","Asia",1972,10.84
"728","Canada","North America","Afghanistan","Asia",1972,1.14
"791","Italy","Europe","Afghanistan","Asia",1972,0.05
"1229","Switzerland","Europe","Angola","Africa",1972,0.04
"1605","Germany","Europe","Angola","Africa",1972,0.05
"2222","New Zealand","Oceania","Bangladesh","Asia",1972,0.8
"2246","United Kingdom","Europe","Bangladesh","Asia",1972,6.33
"2275","Denmark","Europe","Bangladesh","Asia",1972,2.13
"2307","Norway","Europe","Bangladesh","Asia",1972,6.47
"2378","Australia","Oceania","Bangladesh","Asia",1972,9.84
"2397","Netherlands","Europe","Bangladesh","Asia",1972,5.58
"2405","Japan","Asia","Bangladesh","Asia",1972,17.36
"2658","Canada","North America","Bangladesh","Asia",1972,26.42
"2811","France","Europe","Bangladesh","Asia",1972,2.34
"2888","Germany","Europe","Bangladesh","Asia",1972,10.68
"2954","United States","North America","Bangladesh","Asia",1972,78
"2955","Switzerland","Europe","Bangladesh","Asia",1972,6.18
"3022","Sweden","Europe","Bangladesh","Asia",1972,27.33
"3058","Finland","Europe","Bangladesh","Asia",1972,0.22
"3210","Germany","Europe","Benin","Africa",1972,1.27
"3347","United Kingdom","Europe","Benin","Africa",1972,0.03
"3469","Denmark","Europe","Benin","Africa",1972,0.24
"3486","Switzerland","Europe","Benin","Africa",1972,0.39
"3492","United States","North America","Benin","Africa",1972,1
"3590","Japan","Asia","Benin","Africa",1972,0.01
"3694","Netherlands","Europe","Benin","Africa",1972,0.03
"3702","Belgium","Europe","Benin","Africa",1972,0.18
"3712","Canada","North America","Benin","Africa",1972,2.25
"3841","France","Europe","Benin","Africa",1972,6.87
"4111","Australia","Oceania","Bhutan","Asia",1972,0.12
"4135","New Zealand","Oceania","Bhutan","Asia",1972,0.02
"4278","Japan","Asia","Bhutan","Asia",1972,0.05
