"","source","donor.continent","target","target.continent","time","value"
"196","United States","North America","Afghanistan","Asia",1980,2
"219","Switzerland","Europe","Afghanistan","Asia",1980,0.2
"239","United Kingdom","Europe","Afghanistan","Asia",1980,1.13
"271","Denmark","Europe","Afghanistan","Asia",1980,1.83
"410","Sweden","Europe","Afghanistan","Asia",1980,1.05
"423","Netherlands","Europe","Afghanistan","Asia",1980,0.18
"487","Germany","Europe","Afghanistan","Asia",1980,1.35
"545","Italy","Europe","Afghanistan","Asia",1980,0.01
"621","Australia","Oceania","Afghanistan","Asia",1980,0.05
"630","Canada","North America","Afghanistan","Asia",1980,2.22
"644","Hungary","Europe","Afghanistan","Asia",1980,1.2
"748","Austria","Europe","Afghanistan","Asia",1980,0.29
"761","France","Europe","Afghanistan","Asia",1980,0.7
"816","Finland","Europe","Afghanistan","Asia",1980,0.01
"910","Japan","Asia","Afghanistan","Asia",1980,0.41
"1033","Netherlands","Europe","Angola","Africa",1980,7.97
"1069","Denmark","Europe","Angola","Africa",1980,2.33
"1096","Sweden","Europe","Angola","Africa",1980,16.92
"1143","Austria","Europe","Angola","Africa",1980,0.21
"1223","France","Europe","Angola","Africa",1980,0.2
"1232","Italy","Europe","Angola","Africa",1980,0.16
"1272","Finland","Europe","Angola","Africa",1980,0.03
"1406","Switzerland","Europe","Angola","Africa",1980,0.15
"1417","Germany","Europe","Angola","Africa",1980,0.24
"1463","Norway","Europe","Angola","Africa",1980,0.1
"1576","Belgium","Europe","Angola","Africa",1980,0.47
"1636","United Kingdom","Europe","Angola","Africa",1980,0.03
"1689","United States","North America","Angola","Africa",1980,7
"2272","Germany","Europe","Bangladesh","Asia",1980,114.62
"2305","Sweden","Europe","Bangladesh","Asia",1980,27.57
"2375","Belgium","Europe","Bangladesh","Asia",1980,8.84
"2439","Italy","Europe","Bangladesh","Asia",1980,1.17
"2519","Switzerland","Europe","Bangladesh","Asia",1980,11.2
"2522","Denmark","Europe","Bangladesh","Asia",1980,28.88
"2541","New Zealand","Oceania","Bangladesh","Asia",1980,0.19
"2542","United States","North America","Bangladesh","Asia",1980,174
"2706","United Kingdom","Europe","Bangladesh","Asia",1980,99.02
"2725","Australia","Oceania","Bangladesh","Asia",1980,13.27
"2744","Japan","Asia","Bangladesh","Asia",1980,215.14
"2762","France","Europe","Bangladesh","Asia",1980,20.45
"2847","Austria","Europe","Bangladesh","Asia",1980,0.1
"2853","Ireland","Europe","Bangladesh","Asia",1980,0.03
"2922","Canada","North America","Bangladesh","Asia",1980,57.12
"2965","Norway","Europe","Bangladesh","Asia",1980,23.43
"2973","Hungary","Europe","Bangladesh","Asia",1980,10
"2987","Netherlands","Europe","Bangladesh","Asia",1980,53.16
"2995","Finland","Europe","Bangladesh","Asia",1980,2.05
"3128","Switzerland","Europe","Benin","Africa",1980,0.55
"3216","Germany","Europe","Benin","Africa",1980,10.28
"3239","Denmark","Europe","Benin","Africa",1980,1.59
"3332","Netherlands","Europe","Benin","Africa",1980,1.01
"3373","Canada","North America","Benin","Africa",1980,1.49
"3429","Japan","Asia","Benin","Africa",1980,0.02
"3599","United States","North America","Benin","Africa",1980,1
"3647","Norway","Europe","Benin","Africa",1980,2.33
"3665","France","Europe","Benin","Africa",1980,16.75
"3704","Belgium","Europe","Benin","Africa",1980,0.52
"3780","United Kingdom","Europe","Benin","Africa",1980,0.15
"3960","Japan","Asia","Bhutan","Asia",1980,0.17
"4000","Denmark","Europe","Bhutan","Asia",1980,0.1
"4092","United Kingdom","Europe","Bhutan","Asia",1980,0.15
"4168","New Zealand","Oceania","Bhutan","Asia",1980,0.03
"4187","Switzerland","Europe","Bhutan","Asia",1980,0.69
"4188","Austria","Europe","Bhutan","Asia",1980,0.14
"4210","Norway","Europe","Bhutan","Asia",1980,0.04
"4326","Germany","Europe","Bhutan","Asia",1980,0.11
"4381","Australia","Oceania","Bhutan","Asia",1980,0.27
"4525","Sweden","Europe","Bolivia","South America",1980,0.82
"4622","United States","North America","Bolivia","South America",1980,40
"4786","Switzerland","Europe","Bolivia","South America",1980,3.32
"4850","Netherlands","Europe","Bolivia","South America",1980,3.15
"4851","Austria","Europe","Bolivia","South America",1980,0.4
"4857","Denmark","Europe","Bolivia","South America",1980,3.11
"4863","Belgium","Europe","Bolivia","South America",1980,1.53
"4873","Germany","Europe","Bolivia","South America",1980,21.54
"4962","Norway","Europe","Bolivia","South America",1980,0.29
"4969","Italy","Europe","Bolivia","South America",1980,0.08
"5088","Japan","Asia","Bolivia","South America",1980,19.16
"5164","Canada","North America","Bolivia","South America",1980,0.89
"5247","United Kingdom","Europe","Bolivia","South America",1980,2.65
"5295","France","Europe","Bolivia","South America",1980,2.08
"5396","Switzerland","Europe","Burkina Faso","Africa",1980,1.96
"5456","Austria","Europe","Burkina Faso","Africa",1980,0.59
"5570","Norway","Europe","Burkina Faso","Africa",1980,0.19
"5704","Italy","Europe","Burkina Faso","Africa",1980,0.02
"5716","France","Europe","Burkina Faso","Africa",1980,55.85
"5737","Japan","Asia","Burkina Faso","Africa",1980,1.87
"5760","Netherlands","Europe","Burkina Faso","Africa",1980,18.05
"5762","Denmark","Europe","Burkina Faso","Africa",1980,3.36
"5763","Canada","North America","Burkina Faso","Africa",1980,8.15
"5767","Belgium","Europe","Burkina Faso","Africa",1980,1.61
"5897","United Kingdom","Europe","Burkina Faso","Africa",1980,0.22
"5904","Germany","Europe","Burkina Faso","Africa",1980,31.27
"6098","United States","North America","Burkina Faso","Africa",1980,28
"6307","Sweden","Europe","Burundi","Africa",1980,0.3
"6319","Germany","Europe","Burundi","Africa",1980,10.04
"6330","Japan","Asia","Burundi","Africa",1980,2.21
"6364","United States","North America","Burundi","Africa",1980,4
"6377","Italy","Europe","Burundi","Africa",1980,0.18
"6425","Canada","North America","Burundi","Africa",1980,0.01
"6542","Ireland","Europe","Burundi","Africa",1980,0.13
"6632","Denmark","Europe","Burundi","Africa",1980,0.35
"6704","Finland","Europe","Burundi","Africa",1980,0.22
"6751","France","Europe","Burundi","Africa",1980,12.85
"6793","Netherlands","Europe","Burundi","Africa",1980,0.69
"6928","Belgium","Europe","Burundi","Africa",1980,27.68
"6988","Switzerland","Europe","Burundi","Africa",1980,1.12
"6995","United Kingdom","Europe","Burundi","Africa",1980,0.05
"7110","Italy","Europe","Cabo Verde","Africa",1980,0.61
"7136","Sweden","Europe","Cabo Verde","Africa",1980,7.47
"7225","United States","North America","Cabo Verde","Africa",1980,6
"7315","Belgium","Europe","Cabo Verde","Africa",1980,0.56
"7324","Japan","Asia","Cabo Verde","Africa",1980,1.82
"7369","Norway","Europe","Cabo Verde","Africa",1980,0.29
