"","source","donor.continent","target","target.continent","time","value"
"23","Hungary","Europe","Afghanistan","Asia",2008,4.07
"39","Poland","Europe","Afghanistan","Asia",2008,1.89
"46","Belgium","Europe","Afghanistan","Asia",2008,10.15
"92","Spain","Europe","Afghanistan","Asia",2008,71.79
"125","Italy","Europe","Afghanistan","Asia",2008,116.71
"156","Netherlands","Europe","Afghanistan","Asia",2008,111.97
"240","Czech Republic","Europe","Afghanistan","Asia",2008,42.1
"276","Denmark","Europe","Afghanistan","Asia",2008,50.38
"301","Austria","Europe","Afghanistan","Asia",2008,0.84
"312","Australia","Oceania","Afghanistan","Asia",2008,138.44
"313","Japan","Asia","Afghanistan","Asia",2008,208.03
"341","France","Europe","Afghanistan","Asia",2008,19.9
"391","Greece","Europe","Afghanistan","Asia",2008,10.13
"399","Korea","Asia","Afghanistan","Asia",2008,4.02
"464","Iceland","Europe","Afghanistan","Asia",2008,2.68
"485","United Kingdom","Europe","Afghanistan","Asia",2008,322.31
"501","Finland","Europe","Afghanistan","Asia",2008,26.07
"561","United States","North America","Afghanistan","Asia",2008,2111.58
"582","Slovenia","Europe","Afghanistan","Asia",2008,0.15
"655","Ireland","Europe","Afghanistan","Asia",2008,6.31
"690","Switzerland","Europe","Afghanistan","Asia",2008,15.79
"744","Luxembourg","Europe","Afghanistan","Asia",2008,3.59
"773","Slovak Republic","Europe","Afghanistan","Asia",2008,0.26
"777","Sweden","Europe","Afghanistan","Asia",2008,73.89
"785","Canada","North America","Afghanistan","Asia",2008,207.86
"821","Norway","Europe","Afghanistan","Asia",2008,129.05
"841","Portugal","Europe","Afghanistan","Asia",2008,14.18
"871","Germany","Europe","Afghanistan","Asia",2008,294.02
"918","New Zealand","Oceania","Afghanistan","Asia",2008,7.8
"987","Denmark","Europe","Angola","Africa",2008,5.98
"1006","Greece","Europe","Angola","Africa",2008,0.02
"1036","Switzerland","Europe","Angola","Africa",2008,1.38
"1059","France","Europe","Angola","Africa",2008,2.92
"1068","Italy","Europe","Angola","Africa",2008,32.01
"1174","United Kingdom","Europe","Angola","Africa",2008,9.55
"1191","Czech Republic","Europe","Angola","Africa",2008,1.87
"1204","Poland","Europe","Angola","Africa",2008,6.87
"1227","Canada","North America","Angola","Africa",2008,0.44
"1279","Austria","Europe","Angola","Africa",2008,0.05
"1324","Korea","Asia","Angola","Africa",2008,25.92
"1354","Norway","Europe","Angola","Africa",2008,17.79
"1387","Ireland","Europe","Angola","Africa",2008,3.46
"1396","Germany","Europe","Angola","Africa",2008,11.65
"1474","Finland","Europe","Angola","Africa",2008,2.4
"1580","Sweden","Europe","Angola","Africa",2008,4.96
"1665","United States","North America","Angola","Africa",2008,42.68
"1700","Portugal","Europe","Angola","Africa",2008,19.11
"1716","Belgium","Europe","Angola","Africa",2008,0.9
"1725","Japan","Asia","Angola","Africa",2008,17.75
"1726","Spain","Europe","Angola","Africa",2008,13.57
"1736","Greece","Europe","Armenia","Europe",2008,3.01
"1801","Denmark","Europe","Armenia","Europe",2008,2.09
"1808","Japan","Asia","Armenia","Europe",2008,57.7
"1827","United Kingdom","Europe","Armenia","Europe",2008,6.6
"1861","Norway","Europe","Armenia","Europe",2008,3.31
"1883","France","Europe","Armenia","Europe",2008,5.53
"1907","Korea","Asia","Armenia","Europe",2008,0.16
"1927","Spain","Europe","Armenia","Europe",2008,0.7
"1933","Sweden","Europe","Armenia","Europe",2008,2.67
"1959","Austria","Europe","Armenia","Europe",2008,0.45
