"","source","donor.continent","target","target.continent","time","value"
"10","Belgium","Europe","Afghanistan","Asia",1994,0.22
"35","Italy","Europe","Afghanistan","Asia",1994,0.62
"80","United Kingdom","Europe","Afghanistan","Asia",1994,5.26
"113","New Zealand","Oceania","Afghanistan","Asia",1994,0.03
"201","Norway","Europe","Afghanistan","Asia",1994,8.89
"221","Ireland","Europe","Afghanistan","Asia",1994,0.07
"325","United States","North America","Afghanistan","Asia",1994,53
"377","France","Europe","Afghanistan","Asia",1994,4.39
"387","Finland","Europe","Afghanistan","Asia",1994,1.3
"428","Germany","Europe","Afghanistan","Asia",1994,21.64
"455","Luxembourg","Europe","Afghanistan","Asia",1994,0.18
"544","Denmark","Europe","Afghanistan","Asia",1994,1.98
"647","Switzerland","Europe","Afghanistan","Asia",1994,1.6
"673","Australia","Oceania","Afghanistan","Asia",1994,2.9
"684","Sweden","Europe","Afghanistan","Asia",1994,12.35
"776","Canada","North America","Afghanistan","Asia",1994,7.17
"823","Netherlands","Europe","Afghanistan","Asia",1994,12.37
"919","Austria","Europe","Afghanistan","Asia",1994,0.64
"1021","Ireland","Europe","Angola","Africa",1994,1.13
"1037","Spain","Europe","Angola","Africa",1994,10.97
"1085","Finland","Europe","Angola","Africa",1994,1.45
"1111","Portugal","Europe","Angola","Africa",1994,18.1
"1163","Sweden","Europe","Angola","Africa",1994,32.02
"1165","Switzerland","Europe","Angola","Africa",1994,3.93
"1182","New Zealand","Oceania","Angola","Africa",1994,0.06
"1184","Germany","Europe","Angola","Africa",1994,18.22
"1238","Netherlands","Europe","Angola","Africa",1994,5.88
"1260","Italy","Europe","Angola","Africa",1994,19.15
"1261","Australia","Oceania","Angola","Africa",1994,1.93
"1287","United States","North America","Angola","Africa",1994,34
"1322","United Kingdom","Europe","Angola","Africa",1994,25.14
"1345","France","Europe","Angola","Africa",1994,27.44
"1554","Norway","Europe","Angola","Africa",1994,14.89
"1561","Belgium","Europe","Angola","Africa",1994,3.33
"1646","Canada","North America","Angola","Africa",1994,5.95
"1709","Japan","Asia","Angola","Africa",1994,0.11
"1715","Korea","Asia","Angola","Africa",1994,0.12
"1784","Norway","Europe","Armenia","Europe",1994,0.3
"1793","Luxembourg","Europe","Armenia","Europe",1994,0.18
"1826","Korea","Asia","Armenia","Europe",1994,0.02
"1832","France","Europe","Armenia","Europe",1994,1.6
"1892","United Kingdom","Europe","Armenia","Europe",1994,1.91
"1977","United States","North America","Armenia","Europe",1994,86
"1995","Switzerland","Europe","Armenia","Europe",1994,0.16
"1997","Canada","North America","Armenia","Europe",1994,0.37
"2017","Sweden","Europe","Armenia","Europe",1994,5.57
