"","source","donor.continent","target","target.continent","time","value"
"74","Canada","North America","Afghanistan","Asia",1978,4.19
"130","Italy","Europe","Afghanistan","Asia",1978,0.06
"162","Austria","Europe","Afghanistan","Asia",1978,0.08
"176","United Kingdom","Europe","Afghanistan","Asia",1978,1.67
"188","Switzerland","Europe","Afghanistan","Asia",1978,0.67
"238","Japan","Asia","Afghanistan","Asia",1978,4.86
"247","Australia","Oceania","Afghanistan","Asia",1978,1.03
"290","Belgium","Europe","Afghanistan","Asia",1978,0.06
"346","Netherlands","Europe","Afghanistan","Asia",1978,1.72
"352","United States","North America","Afghanistan","Asia",1978,11
"643","Sweden","Europe","Afghanistan","Asia",1978,0.45
"671","Germany","Europe","Afghanistan","Asia",1978,5.8
"732","Denmark","Europe","Afghanistan","Asia",1978,0.41
"1030","Germany","Europe","Angola","Africa",1978,0.22
"1060","Netherlands","Europe","Angola","Africa",1978,10.71
"1101","Japan","Asia","Angola","Africa",1978,0.01
"1199","Italy","Europe","Angola","Africa",1978,0.58
"1331","United Kingdom","Europe","Angola","Africa",1978,0.17
"1376","Denmark","Europe","Angola","Africa",1978,1.96
"1380","Switzerland","Europe","Angola","Africa",1978,0.14
"1443","Sweden","Europe","Angola","Africa",1978,13.57
"1520","United States","North America","Angola","Africa",1978,1
"1558","Belgium","Europe","Angola","Africa",1978,0.5
"2301","Canada","North America","Bangladesh","Asia",1978,77.57
"2321","United States","North America","Bangladesh","Asia",1978,165
"2341","Switzerland","Europe","Bangladesh","Asia",1978,14.79
"2426","Ireland","Europe","Bangladesh","Asia",1978,0.05
"2474","Japan","Asia","Bangladesh","Asia",1978,119.62
"2486","Italy","Europe","Bangladesh","Asia",1978,1.27
"2590","United Kingdom","Europe","Bangladesh","Asia",1978,84.39
"2599","Germany","Europe","Bangladesh","Asia",1978,49.58
"2626","Norway","Europe","Bangladesh","Asia",1978,15.5
"2694","Austria","Europe","Bangladesh","Asia",1978,0.09
"2700","Denmark","Europe","Bangladesh","Asia",1978,23.58
"2710","New Zealand","Oceania","Bangladesh","Asia",1978,0.2
"2764","Belgium","Europe","Bangladesh","Asia",1978,0.22
"2848","Netherlands","Europe","Bangladesh","Asia",1978,63.61
"3018","Australia","Oceania","Bangladesh","Asia",1978,16.15
"3051","France","Europe","Bangladesh","Asia",1978,8.39
"3056","Poland","Europe","Bangladesh","Asia",1978,1
"3063","Sweden","Europe","Bangladesh","Asia",1978,26.38
"3077","Finland","Europe","Bangladesh","Asia",1978,0.18
"3172","Belgium","Europe","Benin","Africa",1978,0.52
"3179","Canada","North America","Benin","Africa",1978,2.34
"3245","United Kingdom","Europe","Benin","Africa",1978,0.11
"3271","Norway","Europe","Benin","Africa",1978,1.94
"3277","Japan","Asia","Benin","Africa",1978,0.17
"3284","Netherlands","Europe","Benin","Africa",1978,0.65
"3382","Switzerland","Europe","Benin","Africa",1978,1.68
"3494","France","Europe","Benin","Africa",1978,13.28
"3505","United States","North America","Benin","Africa",1978,3
"3615","Germany","Europe","Benin","Africa",1978,4.85
"3623","Italy","Europe","Benin","Africa",1978,0.05
"3644","Denmark","Europe","Benin","Africa",1978,1.66
"4012","Japan","Asia","Bhutan","Asia",1978,0.09
"4013","Australia","Oceania","Bhutan","Asia",1978,0.16
"4216","United Kingdom","Europe","Bhutan","Asia",1978,0.08
"4247","Switzerland","Europe","Bhutan","Asia",1978,0.25
"4321","Denmark","Europe","Bhutan","Asia",1978,0.1
"4442","New Zealand","Oceania","Bhutan","Asia",1978,0.02
"4504","United Kingdom","Europe","Bolivia","South America",1978,2.03
"4510","Canada","North America","Bolivia","South America",1978,0.94
"4566","Belgium","Europe","Bolivia","South America",1978,3.83
"4587","United States","North America","Bolivia","South America",1978,45
"4811","Austria","Europe","Bolivia","South America",1978,0.61
"4869","Denmark","Europe","Bolivia","South America",1978,1.81
"4926","Italy","Europe","Bolivia","South America",1978,0.26
"4942","Switzerland","Europe","Bolivia","South America",1978,1.88
"5097","France","Europe","Bolivia","South America",1978,0.75
"5128","Germany","Europe","Bolivia","South America",1978,12.48
"5256","Netherlands","Europe","Bolivia","South America",1978,1.53
"5293","Japan","Asia","Bolivia","South America",1978,14.47
"5427","Canada","North America","Burkina Faso","Africa",1978,3.57
"5468","Denmark","Europe","Burkina Faso","Africa",1978,0.31
"5540","United States","North America","Burkina Faso","Africa",1978,20
"5576","Norway","Europe","Burkina Faso","Africa",1978,0.11
"5591","Japan","Asia","Burkina Faso","Africa",1978,0.26
"5608","Germany","Europe","Burkina Faso","Africa",1978,16.71
