"","source","donor.continent","target","target.continent","time","value"
"193","Japan","Asia","Afghanistan","Asia",2006,107.42
"228","Luxembourg","Europe","Afghanistan","Asia",2006,2.13
"273","Ireland","Europe","Afghanistan","Asia",2006,4.59
"279","Denmark","Europe","Afghanistan","Asia",2006,29.63
"303","Czech Republic","Europe","Afghanistan","Asia",2006,4.2
"320","Norway","Europe","Afghanistan","Asia",2006,69.68
"359","Poland","Europe","Afghanistan","Asia",2006,0.55
"381","Canada","North America","Afghanistan","Asia",2006,140.27
"433","Finland","Europe","Afghanistan","Asia",2006,15.26
"500","Hungary","Europe","Afghanistan","Asia",2006,0.39
"513","Austria","Europe","Afghanistan","Asia",2006,1.24
"557","Italy","Europe","Afghanistan","Asia",2006,32.5
"607","Belgium","Europe","Afghanistan","Asia",2006,7.63
"640","Switzerland","Europe","Afghanistan","Asia",2006,17.58
"657","Iceland","Europe","Afghanistan","Asia",2006,4.42
"692","New Zealand","Oceania","Afghanistan","Asia",2006,3.32
"700","Korea","Asia","Afghanistan","Asia",2006,2.15
"747","Australia","Oceania","Afghanistan","Asia",2006,21.15
"766","Netherlands","Europe","Afghanistan","Asia",2006,87.34
"774","Slovak Republic","Europe","Afghanistan","Asia",2006,1.54
"787","Germany","Europe","Afghanistan","Asia",2006,117.99
"846","United Kingdom","Europe","Afghanistan","Asia",2006,246.49
"855","Portugal","Europe","Afghanistan","Asia",2006,6.58
"866","Sweden","Europe","Afghanistan","Asia",2006,46.42
"873","France","Europe","Afghanistan","Asia",2006,14.62
"876","United States","North America","Afghanistan","Asia",2006,1403.71
"905","Spain","Europe","Afghanistan","Asia",2006,18.11
"917","Greece","Europe","Afghanistan","Asia",2006,10.91
"999","New Zealand","Oceania","Angola","Africa",2006,0.08
"1082","Denmark","Europe","Angola","Africa",2006,7
"1121","Sweden","Europe","Angola","Africa",2006,7.2
"1265","Canada","North America","Angola","Africa",2006,1.39
"1293","Portugal","Europe","Angola","Africa",2006,20.08
"1300","Norway","Europe","Angola","Africa",2006,23.39
"1311","Poland","Europe","Angola","Africa",2006,92.35
"1360","United Kingdom","Europe","Angola","Africa",2006,12.62
"1366","Japan","Asia","Angola","Africa",2006,12.41
"1425","Korea","Asia","Angola","Africa",2006,10.09
"1431","Australia","Oceania","Angola","Africa",2006,0.05
"1472","Germany","Europe","Angola","Africa",2006,11.35
"1507","Belgium","Europe","Angola","Africa",2006,0.36
"1514","United States","North America","Angola","Africa",2006,32.85
"1525","Austria","Europe","Angola","Africa",2006,0.03
"1557","Greece","Europe","Angola","Africa",2006,0.03
"1573","Czech Republic","Europe","Angola","Africa",2006,0.79
"1581","Ireland","Europe","Angola","Africa",2006,2.9
"1598","Switzerland","Europe","Angola","Africa",2006,3.51
"1634","Netherlands","Europe","Angola","Africa",2006,2.11
"1640","Finland","Europe","Angola","Africa",2006,2.41
"1781","Canada","North America","Armenia","Europe",2006,0.13
"1791","Finland","Europe","Armenia","Europe",2006,0.25
"1831","Netherlands","Europe","Armenia","Europe",2006,8.49
"1835","Korea","Asia","Armenia","Europe",2006,0.13
"1874","Czech Republic","Europe","Armenia","Europe",2006,0.43
"1925","Italy","Europe","Armenia","Europe",2006,0.07
"1947","Belgium","Europe","Armenia","Europe",2006,0.95
"1984","Sweden","Europe","Armenia","Europe",2006,2.32
"1988","Denmark","Europe","Armenia","Europe",2006,0.94
